"0";"1";"p";"test";"SMD"
"   Bages i Solsonès";" 2591 (  2.9) ";" 2591 (  2.9) ";"";"";""
"   Baix Camp i Priorat";" 1718 (  1.9) ";" 1718 (  1.9) ";"";"";""
"   Baix Ebre";" 1235 (  1.4) ";" 1235 (  1.4) ";"";"";""
"   Baix Empordà";"  443 (  0.5) ";"  443 (  0.5) ";"";"";""
"   Baix Llobregat Centre i Fontsanta -L'H N";" 5953 (  6.7) ";" 5953 (  6.7) ";"";"";""
"   Baix Llobregat Litoral i Sant Boi";" 1792 (  2.0) ";" 1792 (  2.0) ";"";"";""
"   Baix Llobregat Litoral i Viladecans";" 2433 (  2.7) ";" 2433 (  2.7) ";"";"";""
"   Baix Llobregat Nord";" 1845 (  2.1) ";" 1845 (  2.1) ";"";"";""
"   Baix Montseny";"  739 (  0.8) ";"  739 (  0.8) ";"";"";""
"   Baix Penedès";"    4 (  0.0) ";"    4 (  0.0) ";"";"";""
"   Baix Vallès";" 2667 (  3.0) ";" 2667 (  3.0) ";"";"";""
"   Barcelona Dreta";" 4559 (  5.1) ";" 4559 (  5.1) ";"";"";""
"   Barcelona Esquerra";" 6471 (  7.3) ";" 6471 (  7.3) ";"";"";""
"   Barcelona Litoral Mar";" 3823 (  4.3) ";" 3823 (  4.3) ";"";"";""
"   Barcelona Nord";" 6315 (  7.1) ";" 6315 (  7.1) ";"";"";""
"   Barcelonès Nord i Baix Maresme";" 5035 (  5.7) ";" 5035 (  5.7) ";"";"";""
"   Berguedà";"  550 (  0.6) ";"  550 (  0.6) ";"";"";""
"   Garraf";" 2184 (  2.5) ";" 2184 (  2.5) ";"";"";""
"   Garrotxa";"  499 (  0.6) ";"  499 (  0.6) ";"";"";""
"   Gironès Nord i Pla de l'Estany";" 2143 (  2.4) ";" 2143 (  2.4) ";"";"";""
"   Gironès Sud i Selva Interior";" 1180 (  1.3) ";" 1180 (  1.3) ";"";"";""
"   L'Hospitalet Sud i el Prat de Llobregat";" 3453 (  3.9) ";" 3453 (  3.9) ";"";"";""
"   Lleida";" 5238 (  5.9) ";" 5238 (  5.9) ";"";"";""
"   Maresme Central";" 3276 (  3.7) ";" 3276 (  3.7) ";"";"";""
"   Montsià";"  957 (  1.1) ";"  957 (  1.1) ";"";"";""
"   Osona";" 1583 (  1.8) ";" 1583 (  1.8) ";"";"";""
"   Pallars";"  230 (  0.3) ";"  230 (  0.3) ";"";"";""
"   Ripollès";"  197 (  0.2) ";"  197 (  0.2) ";"";"";""
"   Selva Marítima";"  520 (  0.6) ";"  520 (  0.6) ";"";"";""
"   Tarragonès";" 2521 (  2.8) ";" 2521 (  2.8) ";"";"";""
"   Vallès Occidental Est";" 6237 (  7.0) ";" 6237 (  7.0) ";"";"";""
"   Vallès Occidental Oest";"  374 (  0.4) ";"  374 (  0.4) ";"";"";""
"   Vallès Oriental Central";" 3316 (  3.7) ";" 3316 (  3.7) ";"";"";""
"   NA";"   29 (  0.0) ";"   29 (  0.0) ";"";"";""
"vac_concept_id_1 (%)";"";"";"<0.001";"";" 0.970"
"   Pfizer-mRNA-BNT162b";"41472 ( 46.6) ";"54266 ( 61.0) ";"";"";""
"   Moderna-mRNA-1273";" 9541 ( 10.7) ";"17375 ( 19.5) ";"";"";""
"   AZ-ChAdOx1";" 9999 ( 11.2) ";"17319 ( 19.5) ";"";"";""
"   Jansen-Ad26";" 4202 (  4.7) ";"    0 (  0.0) ";"";"";""
"   NA";"23746 ( 26.7) ";"    0 (  0.0) ";"";"";""
"vac_concept_id_2 (%)";"";"";"   NaN";"";" 0.924"
"   Pfizer-mRNA-BNT162b";"40723 ( 45.8) ";"53731 ( 60.4) ";"";"";""
"   Moderna-mRNA-1273";" 9190 ( 10.3) ";"16962 ( 19.1) ";"";"";""
"   AZ-ChAdOx1";" 9701 ( 10.9) ";"16820 ( 18.9) ";"";"";""
"   Jansen-Ad26";"    0 (  0.0) ";"    0 (  0.0) ";"";"";""
"   NA";"29346 ( 33.0) ";" 1447 (  1.6) ";"";"";""
"vac_concept_id_3 (%)";"";"";"   NaN";"";" 0.303"
"   Pfizer-mRNA-BNT162b";" 7151 (  8.0) ";"12706 ( 14.3) ";"";"";""
"   Moderna-mRNA-1273";" 3060 (  3.4) ";" 7363 (  8.3) ";"";"";""
"   AZ-ChAdOx1";"    2 (  0.0) ";"    2 (  0.0) ";"";"";""
"   Jansen-Ad26";"    0 (  0.0) ";"    0 (  0.0) ";"";"";""
"   NA";"78747 ( 88.5) ";"68889 ( 77.4) ";"";"";""
"vac_scheme (%)";"";"";"<0.001";"";" 0.976"
"   AZ-ChAdOx1-AZ-ChAdOx1";" 9700 ( 10.9) ";"16819 ( 18.9) ";"";"";""
"   AZ-ChAdOx1-Moderna-mRNA-1273";"    1 (  0.0) ";"    5 (  0.0) ";"";"";""
"   AZ-ChAdOx1-NA";"  216 (  0.2) ";"  239 (  0.3) ";"";"";""
"   AZ-ChAdOx1-Pfizer-mRNA-BNT162b";"   82 (  0.1) ";"  256 (  0.3) ";"";"";""
"   Jansen-Ad26-Moderna-mRNA-1273";"   70 (  0.1) ";"    0 (  0.0) ";"";"";""
"   Jansen-Ad26-NA";" 3808 (  4.3) ";"    0 (  0.0) ";"";"";""
"   Jansen-Ad26-Pfizer-mRNA-BNT162b";"  324 (  0.4) ";"    0 (  0.0) ";"";"";""
"   Moderna-mRNA-1273-AZ-ChAdOx1";"    1 (  0.0) ";"    1 (  0.0) ";"";"";""
"   Moderna-mRNA-1273-Moderna-mRNA-1273";" 9110 ( 10.2) ";"16946 ( 19.0) ";"";"";""
"   Moderna-mRNA-1273-NA";"  427 (  0.5) ";"  419 (  0.5) ";"";"";""
"   Moderna-mRNA-1273-Pfizer-mRNA-BNT162b";"    3 (  0.0) ";"    9 (  0.0) ";"";"";""
"   NA-NA";"23746 ( 26.7) ";"    0 (  0.0) ";"";"";""
"   Pfizer-mRNA-BNT162b-Moderna-mRNA-1273";"    9 (  0.0) ";"   11 (  0.0) ";"";"";""
"   Pfizer-mRNA-BNT162b-NA";" 1149 (  1.3) ";"  789 (  0.9) ";"";"";""
"   Pfizer-mRNA-BNT162b-Pfizer-mRNA-BNT162b";"40314 ( 45.3) ";"53466 ( 60.1) ";"";"";""
"vac_heterologous (mean (SD))";" 0.34 (0.47)";" 0.02 (0.14)";"<0.001";"";" 0.909"
"cancer_diagnosis_time (%)";"";"";" 1.000";"";"<0.001"
"   0";"22986 ( 25.8) ";"22986 ( 25.8) ";"";"";""
"   1";"18122 ( 20.4) ";"18122 ( 20.4) ";"";"";""
"   2";"16936 ( 19.0) ";"16936 ( 19.0) ";"";"";""
"   3";"15678 ( 17.6) ";"15678 ( 17.6) ";"";"";""
"   4";"15238 ( 17.1) ";"15238 ( 17.1) ";"";"";""
"cancer_dx_breast = 1 (%)";"14618 ( 16.4) ";"15184 ( 17.1) ";"<0.001";"";" 0.017"
"cancer_dx_prostate = 1 (%)";"10860 ( 12.2) ";"10923 ( 12.3) ";" 0.654";"";" 0.002"
"cancer_dx_colorectal = 1 (%)";"11674 ( 13.1) ";"11729 ( 13.2) ";" 0.705";"";" 0.002"
"cancer_dx_lung = 1 (%)";" 5266 (  5.9) ";" 5045 (  5.7) ";" 0.026";"";" 0.011"
"cancer_dx_head_neck = 1 (%)";" 2726 (  3.1) ";" 2580 (  2.9) ";" 0.043";"";" 0.010"
"cancer_dx_endometrium = 1 (%)";" 1972 (  2.2) ";" 1840 (  2.1) ";" 0.032";"";" 0.010"
"cancer_dx_cervix_uterus = 1 (%)";" 2060 (  2.3) ";" 1745 (  2.0) ";"<0.001";"";" 0.024"
"cancer_dx_bladder = 1 (%)";" 7958 (  8.9) ";" 7910 (  8.9) ";" 0.696";"";" 0.002"
"cancer_dx_liver_biliary = 1 (%)";" 1730 (  1.9) ";" 1590 (  1.8) ";" 0.015";"";" 0.012"
"cancer_dx_melanoma = 1 (%)";" 3342 (  3.8) ";" 3478 (  3.9) ";" 0.096";"";" 0.008"
"cancer_dx_pancreas = 1 (%)";" 1395 (  1.6) ";" 1307 (  1.5) ";" 0.092";"";" 0.008"
"cancer_dx_kidney = 1 (%)";" 3168 (  3.6) ";" 3255 (  3.7) ";" 0.274";"";" 0.005"
"cancer_dx_gastric = 1 (%)";" 1590 (  1.8) ";" 1453 (  1.6) ";" 0.013";"";" 0.012"
"cancer_dx_esophagus = 1 (%)";"  503 (  0.6) ";"  462 (  0.5) ";" 0.197";"";" 0.006"
"cancer_dx_testis = 1 (%)";"  586 (  0.7) ";"  568 (  0.6) ";" 0.616";"";" 0.003"
"cancer_dx_thyroid = 1 (%)";" 1701 (  1.9) ";" 1585 (  1.8) ";" 0.043";"";" 0.010"
"cancer_dx_CNS = 1 (%)";"  861 (  1.0) ";"  878 (  1.0) ";" 0.700";"";" 0.002"
"cancer_dx_neuroendocrine = 1 (%)";"  375 (  0.4) ";"  417 (  0.5) ";" 0.144";"";" 0.007"
"cancer_dx_sarcomas = 1 (%)";"  935 (  1.1) ";"  883 (  1.0) ";" 0.229";"";" 0.006"
"cancer_dx_leukemia = 1 (%)";" 2196 (  2.5) ";" 2369 (  2.7) ";" 0.010";"";" 0.012"
"cancer_dx_myeloma = 1 (%)";"  844 (  0.9) ";" 1115 (  1.3) ";"<0.001";"";" 0.029"
"cancer_dx_lymphoma = 1 (%)";" 2856 (  3.2) ";" 3097 (  3.5) ";" 0.002";"";" 0.015"
"cancer_dx_other = 1 (%)";" 2222 (  2.5) ";" 2168 (  2.4) ";" 0.418";"";" 0.004"
"cancer_dx_other_2 = 1 (%)";" 7545 (  8.5) ";" 7475 (  8.4) ";" 0.556";"";" 0.003"
"cancer_dx_undefined = 1 (%)";" 8564 (  9.6) ";" 8636 (  9.7) ";" 0.569";"";" 0.003"
"cancer_group_gastro_intestinal = 1 (%)";"16738 ( 18.8) ";"16472 ( 18.5) ";" 0.107";"";" 0.008"
"cancer_group_genito_urinary = 1 (%)";"21771 ( 24.5) ";"21808 ( 24.5) ";" 0.843";"";" 0.001"
"cancer_group_thyroid = 1 (%)";" 1701 (  1.9) ";" 1585 (  1.8) ";" 0.043";"";" 0.010"
"cancer_group_breast = 1 (%)";"14618 ( 16.4) ";"15184 ( 17.1) ";"<0.001";"";" 0.017"
"cancer_group_sarcomas = 1 (%)";" 1092 (  1.2) ";" 1044 (  1.2) ";" 0.306";"";" 0.005"
"cancer_group_thorax = 1 (%)";" 5495 (  6.2) ";" 5275 (  5.9) ";" 0.029";"";" 0.010"
"cancer_group_gynecology = 1 (%)";" 4870 (  5.5) ";" 4429 (  5.0) ";"<0.001";"";" 0.022"
"cancer_group_head_neck = 1 (%)";" 2726 (  3.1) ";" 2580 (  2.9) ";" 0.043";"";" 0.010"
"cancer_group_hemathological = 1 (%)";" 5797 (  6.5) ";" 6461 (  7.3) ";"<0.001";"";" 0.029"
"cancer_group_skin = 1 (%)";" 9022 ( 10.1) ";" 9266 ( 10.4) ";" 0.058";"";" 0.009"
"cancer_group_CNS = 1 (%)";" 1069 (  1.2) ";" 1095 (  1.2) ";" 0.589";"";" 0.003"
"cancer_group_undefined = 1 (%)";" 2099 (  2.4) ";" 2033 (  2.3) ";" 0.306";"";" 0.005"
"cancer_group_nasopharynx = 1 (%)";"   66 (  0.1) ";"   63 (  0.1) ";" 0.860";"";" 0.001"
"cancer_group_neuroendocrine = 1 (%)";"  375 (  0.4) ";"  417 (  0.5) ";" 0.144";"";" 0.007"
"cancer_group_other = 1 (%)";"  639 (  0.7) ";"  614 (  0.7) ";" 0.496";"";" 0.003"
"cancer_group_other_2 = 1 (%)";" 7545 (  8.5) ";" 7475 (  8.4) ";" 0.556";"";" 0.003"
"charlson_index (median [IQR])";" 3.00 [2.00, 6.00]";" 3.00 [2.00, 6.00]";" 0.012";"nonnorm";" 0.007"
"CCI_Rheumatologic_Disease = 1 (%)";" 2590 (  2.9) ";" 2671 (  3.0) ";" 0.263";"";" 0.005"
"CCI_Any_Malignancy = 1 (%)";"88960 (100.0) ";"88960 (100.0) ";"    NA";"";"<0.001"
"CCI_Metastatic_Solid_Tumor = 1 (%)";"13279 ( 14.9) ";"13137 ( 14.8) ";" 0.347";"";" 0.004"
"CCI_Diabetes_Mild = 1 (%)";"19698 ( 22.1) ";"20093 ( 22.6) ";" 0.025";"";" 0.011"
"CCI_Mild_Liver_Disease = 1 (%)";" 2964 (  3.3) ";" 2808 (  3.2) ";" 0.038";"";" 0.010"
"CCI_Peptic_Ulcer_Disease = 1 (%)";" 5013 (  5.6) ";" 5131 (  5.8) ";" 0.232";"";" 0.006"
"CCI_Chronic_Pulmonary_Disease = 1 (%)";"15853 ( 17.8) ";"15910 ( 17.9) ";" 0.729";"";" 0.002"
"CCI_Renal_Disease = 1 (%)";"14797 ( 16.6) ";"15419 ( 17.3) ";"<0.001";"";" 0.019"
"CCI_Cerebrovascular_Disease = 1 (%)";" 5716 (  6.4) ";" 5824 (  6.5) ";" 0.303";"";" 0.005"
"CCI_Diabetes_With_Complications = 1 (%)";" 5459 (  6.1) ";" 5694 (  6.4) ";" 0.022";"";" 0.011"
"CCI_Congestive_Heart_Failure = 1 (%)";" 6761 (  7.6) ";" 7134 (  8.0) ";" 0.001";"";" 0.016"
"CCI_Dementia = 1 (%)";" 2264 (  2.5) ";" 2298 (  2.6) ";" 0.621";"";" 0.002"
"CCI_Peripheral_Artery_Disease = 1 (%)";" 4676 (  5.3) ";" 4729 (  5.3) ";" 0.582";"";" 0.003"
"CCI_Myocardial_Infarction = 1 (%)";" 3919 (  4.4) ";" 4013 (  4.5) ";" 0.285";"";" 0.005"
"CCI_Moderate_Severe_Liver_Disease = 1 (%)";" 1456 (  1.6) ";" 1510 (  1.7) ";" 0.326";"";" 0.005"
"CCI_Hemiplegia_Paraplegia = 1 (%)";" 1276 (  1.4) ";" 1303 (  1.5) ";" 0.606";"";" 0.003"
"CCI_AIDS = 1 (%)";"  543 (  0.6) ";"  484 (  0.5) ";" 0.070";"";" 0.009"
"n_visits_outpatient (mean (SD))";" 7.09 (8.55)";" 7.27 (8.42)";"<0.001";"";" 0.022"
"n_visits_telehealth (mean (SD))";" 7.54 (8.77)";" 8.07 (8.92)";"<0.001";"";" 0.060"
"visits_outpatient_cat (%)";"";"";"<0.001";"";" 0.081"
"   0";"10801 ( 12.1) ";" 8572 (  9.6) ";"";"";""
"   1";" 8463 (  9.5) ";" 8661 (  9.7) ";"";"";""
"   2";" 8298 (  9.3) ";" 8361 (  9.4) ";"";"";""
"   3+";"61398 ( 69.0) ";"63366 ( 71.2) ";"";"";""
