"level";"0";"1";"p";"test"
"cancer_dx_leukemia (%)";"0";"86764 ( 97.5) ";"86591 ( 97.3) ";" 0.010";""
"";"1";" 2196 (  2.5) ";" 2369 (  2.7) ";"";""
"cancer_dx_myeloma (%)";"0";"88116 ( 99.1) ";"87845 ( 98.7) ";"<0.001";""
"";"1";"  844 (  0.9) ";" 1115 (  1.3) ";"";""
"cancer_dx_lymphoma (%)";"0";"86104 ( 96.8) ";"85863 ( 96.5) ";" 0.002";""
"";"1";" 2856 (  3.2) ";" 3097 (  3.5) ";"";""
"cancer_dx_other (%)";"0";"86738 ( 97.5) ";"86792 ( 97.6) ";" 0.418";""
"";"1";" 2222 (  2.5) ";" 2168 (  2.4) ";"";""
"cancer_dx_other_2 (%)";"0";"81415 ( 91.5) ";"81485 ( 91.6) ";" 0.556";""
"";"1";" 7545 (  8.5) ";" 7475 (  8.4) ";"";""
"cancer_dx_undefined (%)";"0";"80396 ( 90.4) ";"80324 ( 90.3) ";" 0.569";""
"";"1";" 8564 (  9.6) ";" 8636 (  9.7) ";"";""
"cancer_group_gastro_intestinal (%)";"0";"72222 ( 81.2) ";"72488 ( 81.5) ";" 0.107";""
"";"1";"16738 ( 18.8) ";"16472 ( 18.5) ";"";""
"cancer_group_genito_urinary (%)";"0";"67189 ( 75.5) ";"67152 ( 75.5) ";" 0.843";""
"";"1";"21771 ( 24.5) ";"21808 ( 24.5) ";"";""
"cancer_group_thyroid (%)";"0";"87259 ( 98.1) ";"87375 ( 98.2) ";" 0.043";""
"";"1";" 1701 (  1.9) ";" 1585 (  1.8) ";"";""
"cancer_group_breast (%)";"0";"74342 ( 83.6) ";"73776 ( 82.9) ";"<0.001";""
"";"1";"14618 ( 16.4) ";"15184 ( 17.1) ";"";""
"cancer_group_sarcomas (%)";"0";"87868 ( 98.8) ";"87916 ( 98.8) ";" 0.306";""
"";"1";" 1092 (  1.2) ";" 1044 (  1.2) ";"";""
"cancer_group_thorax (%)";"0";"83465 ( 93.8) ";"83685 ( 94.1) ";" 0.029";""
"";"1";" 5495 (  6.2) ";" 5275 (  5.9) ";"";""
"cancer_group_gynecology (%)";"0";"84090 ( 94.5) ";"84531 ( 95.0) ";"<0.001";""
"";"1";" 4870 (  5.5) ";" 4429 (  5.0) ";"";""
"cancer_group_head_neck (%)";"0";"86234 ( 96.9) ";"86380 ( 97.1) ";" 0.043";""
"";"1";" 2726 (  3.1) ";" 2580 (  2.9) ";"";""
"cancer_group_hemathological (%)";"0";"83163 ( 93.5) ";"82499 ( 92.7) ";"<0.001";""
"";"1";" 5797 (  6.5) ";" 6461 (  7.3) ";"";""
"cancer_group_skin (%)";"0";"79938 ( 89.9) ";"79694 ( 89.6) ";" 0.058";""
"";"1";" 9022 ( 10.1) ";" 9266 ( 10.4) ";"";""
"cancer_group_CNS (%)";"0";"87891 ( 98.8) ";"87865 ( 98.8) ";" 0.589";""
"";"1";" 1069 (  1.2) ";" 1095 (  1.2) ";"";""
"cancer_group_undefined (%)";"0";"86861 ( 97.6) ";"86927 ( 97.7) ";" 0.306";""
"";"1";" 2099 (  2.4) ";" 2033 (  2.3) ";"";""
"cancer_group_nasopharynx (%)";"0";"88894 ( 99.9) ";"88897 ( 99.9) ";" 0.860";""
"";"1";"   66 (  0.1) ";"   63 (  0.1) ";"";""
"cancer_group_neuroendocrine (%)";"0";"88585 ( 99.6) ";"88543 ( 99.5) ";" 0.144";""
"";"1";"  375 (  0.4) ";"  417 (  0.5) ";"";""
"cancer_group_other (%)";"0";"88321 ( 99.3) ";"88346 ( 99.3) ";" 0.496";""
"";"1";"  639 (  0.7) ";"  614 (  0.7) ";"";""
"cancer_group_other_2 (%)";"0";"81415 ( 91.5) ";"81485 ( 91.6) ";" 0.556";""
"";"1";" 7545 (  8.5) ";" 7475 (  8.4) ";"";""
"charlson_index (median [IQR])";"";" 3.00 [2.00, 6.00]";" 3.00 [2.00, 6.00]";" 0.012";"nonnorm"
"CCI_Rheumatologic_Disease (%)";"0";"86370 ( 97.1) ";"86289 ( 97.0) ";" 0.263";""
"";"1";" 2590 (  2.9) ";" 2671 (  3.0) ";"";""
"CCI_Any_Malignancy (%)";"1";"88960 (100.0) ";"88960 (100.0) ";"    NA";""
"CCI_Metastatic_Solid_Tumor (%)";"0";"75681 ( 85.1) ";"75823 ( 85.2) ";" 0.347";""
"";"1";"13279 ( 14.9) ";"13137 ( 14.8) ";"";""
"CCI_Diabetes_Mild (%)";"0";"69262 ( 77.9) ";"68867 ( 77.4) ";" 0.025";""
"";"1";"19698 ( 22.1) ";"20093 ( 22.6) ";"";""
"CCI_Mild_Liver_Disease (%)";"0";"85996 ( 96.7) ";"86152 ( 96.8) ";" 0.038";""
"";"1";" 2964 (  3.3) ";" 2808 (  3.2) ";"";""
"CCI_Peptic_Ulcer_Disease (%)";"0";"83947 ( 94.4) ";"83829 ( 94.2) ";" 0.232";""
"";"1";" 5013 (  5.6) ";" 5131 (  5.8) ";"";""
"CCI_Chronic_Pulmonary_Disease (%)";"0";"73107 ( 82.2) ";"73050 ( 82.1) ";" 0.729";""
"";"1";"15853 ( 17.8) ";"15910 ( 17.9) ";"";""
"CCI_Renal_Disease (%)";"0";"74163 ( 83.4) ";"73541 ( 82.7) ";"<0.001";""
"";"1";"14797 ( 16.6) ";"15419 ( 17.3) ";"";""
"CCI_Cerebrovascular_Disease (%)";"0";"83244 ( 93.6) ";"83136 ( 93.5) ";" 0.303";""
"";"1";" 5716 (  6.4) ";" 5824 (  6.5) ";"";""
"CCI_Diabetes_With_Complications (%)";"0";"83501 ( 93.9) ";"83266 ( 93.6) ";" 0.022";""
"";"1";" 5459 (  6.1) ";" 5694 (  6.4) ";"";""
"CCI_Congestive_Heart_Failure (%)";"0";"82199 ( 92.4) ";"81826 ( 92.0) ";" 0.001";""
"";"1";" 6761 (  7.6) ";" 7134 (  8.0) ";"";""
"CCI_Dementia (%)";"0";"86696 ( 97.5) ";"86662 ( 97.4) ";" 0.621";""
"";"1";" 2264 (  2.5) ";" 2298 (  2.6) ";"";""
"CCI_Peripheral_Artery_Disease (%)";"0";"84284 ( 94.7) ";"84231 ( 94.7) ";" 0.582";""
"";"1";" 4676 (  5.3) ";" 4729 (  5.3) ";"";""
"CCI_Myocardial_Infarction (%)";"0";"85041 ( 95.6) ";"84947 ( 95.5) ";" 0.285";""
"";"1";" 3919 (  4.4) ";" 4013 (  4.5) ";"";""
"CCI_Moderate_Severe_Liver_Disease (%)";"0";"87504 ( 98.4) ";"87450 ( 98.3) ";" 0.326";""
"";"1";" 1456 (  1.6) ";" 1510 (  1.7) ";"";""
"CCI_Hemiplegia_Paraplegia (%)";"0";"87684 ( 98.6) ";"87657 ( 98.5) ";" 0.606";""
"";"1";" 1276 (  1.4) ";" 1303 (  1.5) ";"";""
"CCI_AIDS (%)";"0";"88417 ( 99.4) ";"88476 ( 99.5) ";" 0.070";""
"";"1";"  543 (  0.6) ";"  484 (  0.5) ";"";""
"n_visits_outpatient (mean (SD))";"";" 7.09 (8.55)";" 7.27 (8.42)";"<0.001";""
"n_visits_telehealth (mean (SD))";"";" 7.54 (8.77)";" 8.07 (8.92)";"<0.001";""
"visits_outpatient_cat (%)";"0";"10801 ( 12.1) ";" 8572 (  9.6) ";"<0.001";""
"";"1";" 8463 (  9.5) ";" 8661 (  9.7) ";"";""
"";"2";" 8298 (  9.3) ";" 8361 (  9.4) ";"";""
"";"3+";"61398 ( 69.0) ";"63366 ( 71.2) ";"";""
