"0";"1";"p";"test";"SMD"
"cancer_dx_CNS = 1 (%)";"  316 (  0.6) ";"  301 (  0.6) ";" 0.572";"";" 0.004"
"cancer_dx_neuroendocrine = 1 (%)";"  245 (  0.5) ";"  230 (  0.4) ";" 0.520";"";" 0.004"
"cancer_dx_sarcomas = 1 (%)";"  443 (  0.8) ";"  461 (  0.8) ";" 0.570";"";" 0.004"
"cancer_dx_leukemia = 1 (%)";" 1244 (  2.3) ";" 1259 (  2.3) ";" 0.777";"";" 0.002"
"cancer_dx_myeloma = 1 (%)";"  538 (  1.0) ";"  462 (  0.9) ";" 0.017";"";" 0.015"
"cancer_dx_lymphoma = 1 (%)";" 1544 (  2.8) ";" 1437 (  2.6) ";" 0.049";"";" 0.012"
"cancer_dx_other = 1 (%)";" 1227 (  2.3) ";" 1234 (  2.3) ";" 0.903";"";" 0.001"
"cancer_dx_other_2 = 1 (%)";" 4168 (  7.7) ";" 4122 (  7.6) ";" 0.607";"";" 0.003"
"cancer_dx_undefined = 1 (%)";" 5460 ( 10.1) ";" 5602 ( 10.3) ";" 0.157";"";" 0.009"
"cancer_group_gastro_intestinal = 1 (%)";"10217 ( 18.8) ";"10093 ( 18.6) ";" 0.338";"";" 0.006"
"cancer_group_genito_urinary = 1 (%)";"15034 ( 27.7) ";"15159 ( 27.9) ";" 0.401";"";" 0.005"
"cancer_group_thyroid = 1 (%)";"  852 (  1.6) ";"  828 (  1.5) ";" 0.572";"";" 0.004"
"cancer_group_breast = 1 (%)";" 8911 ( 16.4) ";" 9137 ( 16.8) ";" 0.067";"";" 0.011"
"cancer_group_sarcomas = 1 (%)";"  512 (  0.9) ";"  546 (  1.0) ";" 0.308";"";" 0.006"
"cancer_group_thorax = 1 (%)";" 2799 (  5.2) ";" 2607 (  4.8) ";" 0.008";"";" 0.016"
"cancer_group_gynecology = 1 (%)";" 2667 (  4.9) ";" 2495 (  4.6) ";" 0.015";"";" 0.015"
"cancer_group_head_neck = 1 (%)";" 1617 (  3.0) ";" 1539 (  2.8) ";" 0.164";"";" 0.009"
"cancer_group_hemathological = 1 (%)";" 3310 (  6.1) ";" 3106 (  5.7) ";" 0.009";"";" 0.016"
"cancer_group_skin = 1 (%)";" 5877 ( 10.8) ";" 6295 ( 11.6) ";"<0.001";"";" 0.024"
"cancer_group_CNS = 1 (%)";"  453 (  0.8) ";"  436 (  0.8) ";" 0.590";"";" 0.003"
"cancer_group_undefined = 1 (%)";" 1137 (  2.1) ";" 1044 (  1.9) ";" 0.047";"";" 0.012"
"cancer_group_nasopharynx = 1 (%)";"   21 (  0.0) ";"   29 (  0.1) ";" 0.322";"";" 0.007"
"cancer_group_neuroendocrine = 1 (%)";"  245 (  0.5) ";"  230 (  0.4) ";" 0.520";"";" 0.004"
"cancer_group_other = 1 (%)";"  342 (  0.6) ";"  362 (  0.7) ";" 0.472";"";" 0.005"
"cancer_group_other_2 = 1 (%)";" 4168 (  7.7) ";" 4122 (  7.6) ";" 0.607";"";" 0.003"
"charlson_index (median [IQR])";" 3.00 [2.00, 5.00]";" 3.00 [2.00, 5.00]";" 0.014";"nonnorm";" 0.022"
"CCI_Rheumatologic_Disease = 1 (%)";" 1633 (  3.0) ";" 1768 (  3.3) ";" 0.020";"";" 0.014"
"CCI_Any_Malignancy = 1 (%)";"54267 (100.0) ";"54267 (100.0) ";"    NA";"";"<0.001"
"CCI_Metastatic_Solid_Tumor = 1 (%)";" 6399 ( 11.8) ";" 5952 ( 11.0) ";"<0.001";"";" 0.026"
"CCI_Diabetes_Mild = 1 (%)";"13368 ( 24.6) ";"13295 ( 24.5) ";" 0.612";"";" 0.003"
"CCI_Mild_Liver_Disease = 1 (%)";" 1594 (  2.9) ";" 1488 (  2.7) ";" 0.055";"";" 0.012"
"CCI_Peptic_Ulcer_Disease = 1 (%)";" 3099 (  5.7) ";" 3268 (  6.0) ";" 0.030";"";" 0.013"
"CCI_Chronic_Pulmonary_Disease = 1 (%)";"10192 ( 18.8) ";"10137 ( 18.7) ";" 0.674";"";" 0.003"
"CCI_Renal_Disease = 1 (%)";"10024 ( 18.5) ";" 9997 ( 18.4) ";" 0.839";"";" 0.001"
"CCI_Cerebrovascular_Disease = 1 (%)";" 3953 (  7.3) ";" 3889 (  7.2) ";" 0.460";"";" 0.005"
"CCI_Diabetes_With_Complications = 1 (%)";" 3719 (  6.9) ";" 3611 (  6.7) ";" 0.196";"";" 0.008"
"CCI_Congestive_Heart_Failure = 1 (%)";" 4678 (  8.6) ";" 4566 (  8.4) ";" 0.227";"";" 0.007"
"CCI_Dementia = 1 (%)";" 1638 (  3.0) ";" 1572 (  2.9) ";" 0.244";"";" 0.007"
"CCI_Peripheral_Artery_Disease = 1 (%)";" 3118 (  5.7) ";" 3098 (  5.7) ";" 0.804";"";" 0.002"
"CCI_Myocardial_Infarction = 1 (%)";" 2695 (  5.0) ";" 2673 (  4.9) ";" 0.769";"";" 0.002"
"CCI_Moderate_Severe_Liver_Disease = 1 (%)";"  709 (  1.3) ";"  653 (  1.2) ";" 0.134";"";" 0.009"
"CCI_Hemiplegia_Paraplegia = 1 (%)";"  731 (  1.3) ";"  735 (  1.4) ";" 0.937";"";" 0.001"
"CCI_AIDS = 1 (%)";"  194 (  0.4) ";"  199 (  0.4) ";" 0.840";"";" 0.002"
"n_visits_outpatient (mean (SD))";" 7.22 (8.36)";" 7.43 (8.62)";"<0.001";"";" 0.024"
"n_visits_telehealth (mean (SD))";" 7.62 (8.25)";" 7.89 (8.46)";"<0.001";"";" 0.033"
"visits_outpatient_cat (%)";"";"";"<0.001";"";" 0.043"
"   0";" 4982 (  9.2) ";" 4380 (  8.1) ";"";"";""
"   1";" 5208 (  9.6) ";" 5137 (  9.5) ";"";"";""
"   2";" 5157 (  9.5) ";" 5025 (  9.3) ";"";"";""
"   3+";"38920 ( 71.7) ";"39725 ( 73.2) ";"";"";""
