"level";"Overall"
"";"Garraf";" 1879 (  2.5) "
"";"Garrotxa";"  586 (  0.8) "
"";"Gironès Nord i Pla de l'Estany";" 1925 (  2.5) "
"";"Gironès Sud i Selva Interior";" 1108 (  1.4) "
"";"L'Hospitalet Sud i el Prat de Llobregat";" 2967 (  3.9) "
"";"Lleida";" 4577 (  6.0) "
"";"Maresme Central";" 2629 (  3.4) "
"";"Montsià";"  941 (  1.2) "
"";"Osona";" 1465 (  1.9) "
"";"Pallars";"  306 (  0.4) "
"";"Ripollès";"  293 (  0.4) "
"";"Selva Marítima";"  545 (  0.7) "
"";"Tarragonès";" 2250 (  2.9) "
"";"Vallès Occidental Est";" 5052 (  6.6) "
"";"Vallès Occidental Oest";"  447 (  0.6) "
"";"Vallès Oriental Central";" 2950 (  3.9) "
"";NA;"   44 (  0.1) "
"vac_day (%)";"0";"12185 ( 15.9) "
"";"1";"64373 ( 84.1) "
"cancer_diagnosis_time (%)";"0";"17753 ( 23.2) "
"";"1";"15672 ( 20.5) "
"";"2";"15036 ( 19.6) "
"";"3";"14127 ( 18.5) "
"";"4";"13970 ( 18.2) "
"cancer_dx_breast (%)";"0";"63462 ( 82.9) "
"";"1";"13096 ( 17.1) "
"cancer_dx_prostate (%)";"0";"66574 ( 87.0) "
"";"1";" 9984 ( 13.0) "
"cancer_dx_colorectal (%)";"0";"66302 ( 86.6) "
"";"1";"10256 ( 13.4) "
"cancer_dx_lung (%)";"0";"72859 ( 95.2) "
"";"1";" 3699 (  4.8) "
"cancer_dx_head_neck (%)";"0";"74375 ( 97.1) "
"";"1";" 2183 (  2.9) "
"cancer_dx_endometrium (%)";"0";"74898 ( 97.8) "
"";"1";" 1660 (  2.2) "
"cancer_dx_cervix_uterus (%)";"0";"75072 ( 98.1) "
"";"1";" 1486 (  1.9) "
"cancer_dx_bladder (%)";"0";"69431 ( 90.7) "
"";"1";" 7127 (  9.3) "
"cancer_dx_liver_biliary (%)";"0";"75372 ( 98.5) "
"";"1";" 1186 (  1.5) "
"cancer_dx_melanoma (%)";"0";"73426 ( 95.9) "
"";"1";" 3132 (  4.1) "
"cancer_dx_pancreas (%)";"0";"75664 ( 98.8) "
"";"1";"  894 (  1.2) "
"cancer_dx_kidney (%)";"0";"73764 ( 96.4) "
"";"1";" 2794 (  3.6) "
"cancer_dx_gastric (%)";"0";"75407 ( 98.5) "
"";"1";" 1151 (  1.5) "
"cancer_dx_esophagus (%)";"0";"76214 ( 99.6) "
"";"1";"  344 (  0.4) "
"cancer_dx_testis (%)";"0";"76074 ( 99.4) "
"";"1";"  484 (  0.6) "
"cancer_dx_thyroid (%)";"0";"75189 ( 98.2) "
"";"1";" 1369 (  1.8) "
"cancer_dx_CNS (%)";"0";"75936 ( 99.2) "
"";"1";"  622 (  0.8) "
"cancer_dx_neuroendocrine (%)";"0";"76220 ( 99.6) "
"";"1";"  338 (  0.4) "
"cancer_dx_sarcomas (%)";"0";"75838 ( 99.1) "
"";"1";"  720 (  0.9) "
"cancer_dx_leukemia (%)";"0";"74705 ( 97.6) "
"";"1";" 1853 (  2.4) "
"cancer_dx_myeloma (%)";"0";"75804 ( 99.0) "
"";"1";"  754 (  1.0) "
"cancer_dx_lymphoma (%)";"0";"74233 ( 97.0) "
"";"1";" 2325 (  3.0) "
"cancer_dx_other (%)";"0";"74739 ( 97.6) "
"";"1";" 1819 (  2.4) "
"cancer_dx_other_2 (%)";"0";"70092 ( 91.6) "
"";"1";" 6466 (  8.4) "
"cancer_dx_undefined (%)";"0";"68725 ( 89.8) "
"";"1";" 7833 ( 10.2) "
"cancer_group_gastro_intestinal (%)";"0";"62744 ( 82.0) "
"";"1";"13814 ( 18.0) "
"cancer_group_genito_urinary (%)";"0";"56897 ( 74.3) "
"";"1";"19661 ( 25.7) "
"cancer_group_thyroid (%)";"0";"75189 ( 98.2) "
"";"1";" 1369 (  1.8) "
"cancer_group_breast (%)";"0";"63462 ( 82.9) "
"";"1";"13096 ( 17.1) "
"cancer_group_sarcomas (%)";"0";"75720 ( 98.9) "
"";"1";"  838 (  1.1) "
"cancer_group_thorax (%)";"0";"72705 ( 95.0) "
"";"1";" 3853 (  5.0) "
"cancer_group_gynecology (%)";"0";"72793 ( 95.1) "
"";"1";" 3765 (  4.9) "
"cancer_group_head_neck (%)";"0";"74375 ( 97.1) "
"";"1";" 2183 (  2.9) "
"cancer_group_hemathological (%)";"0";"71692 ( 93.6) "
"";"1";" 4866 (  6.4) "
"cancer_group_skin (%)";"0";"67901 ( 88.7) "
"";"1";" 8657 ( 11.3) "
"cancer_group_CNS (%)";"0";"75750 ( 98.9) "
"";"1";"  808 (  1.1) "
"cancer_group_undefined (%)";"0";"74911 ( 97.8) "
"";"1";" 1647 (  2.2) "
"cancer_group_nasopharynx (%)";"0";"76511 ( 99.9) "
"";"1";"   47 (  0.1) "
"cancer_group_neuroendocrine (%)";"0";"76220 ( 99.6) "
"";"1";"  338 (  0.4) "
"cancer_group_other (%)";"0";"76021 ( 99.3) "
"";"1";"  537 (  0.7) "
"cancer_group_other_2 (%)";"0";"70092 ( 91.6) "
"";"1";" 6466 (  8.4) "
"charlson_index (median [IQR])";"";" 3.00 [2.00, 5.00]"
"CCI_Rheumatologic_Disease (%)";"0";"74247 ( 97.0) "
"";"1";" 2311 (  3.0) "
"CCI_Any_Malignancy (%)";"1";"76558 (100.0) "
"CCI_Metastatic_Solid_Tumor (%)";"0";"67157 ( 87.7) "
"";"1";" 9401 ( 12.3) "
"CCI_Diabetes_Mild (%)";"0";"59225 ( 77.4) "
"";"1";"17333 ( 22.6) "
"CCI_Mild_Liver_Disease (%)";"0";"74408 ( 97.2) "
"";"1";" 2150 (  2.8) "
"CCI_Peptic_Ulcer_Disease (%)";"0";"72288 ( 94.4) "
"";"1";" 4270 (  5.6) "
"CCI_Chronic_Pulmonary_Disease (%)";"0";"63132 ( 82.5) "
"";"1";"13426 ( 17.5) "
"CCI_Renal_Disease (%)";"0";"63256 ( 82.6) "
"";"1";"13302 ( 17.4) "
"CCI_Cerebrovascular_Disease (%)";"0";"71467 ( 93.4) "
"";"1";" 5091 (  6.6) "
"CCI_Diabetes_With_Complications (%)";"0";"71766 ( 93.7) "
"";"1";" 4792 (  6.3) "
"CCI_Congestive_Heart_Failure (%)";"0";"70434 ( 92.0) "
"";"1";" 6124 (  8.0) "
"CCI_Dementia (%)";"0";"74511 ( 97.3) "
"";"1";" 2047 (  2.7) "
"CCI_Peripheral_Artery_Disease (%)";"0";"72532 ( 94.7) "
"";"1";" 4026 (  5.3) "
"CCI_Myocardial_Infarction (%)";"0";"73055 ( 95.4) "
"";"1";" 3503 (  4.6) "
"CCI_Moderate_Severe_Liver_Disease (%)";"0";"75540 ( 98.7) "
"";"1";" 1018 (  1.3) "
"CCI_Hemiplegia_Paraplegia (%)";"0";"75520 ( 98.6) "
"";"1";" 1038 (  1.4) "
"CCI_AIDS (%)";"0";"76198 ( 99.5) "
"";"1";"  360 (  0.5) "
"n_visits_outpatient (mean (SD))";"";" 7.24 (8.49)"
"n_visits_telehealth (mean (SD))";"";" 7.85 (8.63)"
"visits_outpatient_cat (%)";"0";" 7313 (  9.6) "
"";"1";" 7493 (  9.8) "
"";"2";" 7250 (  9.5) "
"";"3+";"54502 ( 71.2) "
