"Overall"
"n";"126419"
"   Berguedà";"   946 (  0.7) "
"   Cerdanya";"     3 (  0.0) "
"   Garraf";"  3078 (  2.4) "
"   Garrotxa";"   896 (  0.7) "
"   Gironès Nord i Pla de l'Estany";"  3086 (  2.4) "
"   Gironès Sud i Selva Interior";"  1794 (  1.4) "
"   L'Hospitalet Sud i el Prat de Llobregat";"  4765 (  3.8) "
"   Lleida";"  7190 (  5.7) "
"   Maresme Central";"  4525 (  3.6) "
"   Montsià";"  1484 (  1.2) "
"   Osona";"  2367 (  1.9) "
"   Pallars";"   479 (  0.4) "
"   Ripollès";"   442 (  0.3) "
"   Selva Marítima";"   883 (  0.7) "
"   Tarragonès";"  3488 (  2.8) "
"   Vallès Occidental Est";"  8299 (  6.6) "
"   Vallès Occidental Oest";"   668 (  0.5) "
"   Vallès Oriental Central";"  4588 (  3.6) "
"   NA";"   128 (  0.1) "
"vac_day = 1 (%)";" 97262 ( 76.9) "
"cancer_diagnosis_time (%)";""
"   0";" 40628 ( 32.1) "
"   1";" 24448 ( 19.3) "
"   2";" 21540 ( 17.0) "
"   3";" 20395 ( 16.1) "
"   4";" 19408 ( 15.4) "
"cancer_dx_breast = 1 (%)";" 20843 ( 16.5) "
"cancer_dx_prostate = 1 (%)";" 14534 ( 11.5) "
"cancer_dx_colorectal = 1 (%)";" 16377 ( 13.0) "
"cancer_dx_lung = 1 (%)";"  7656 (  6.1) "
"cancer_dx_head_neck = 1 (%)";"  3726 (  2.9) "
"cancer_dx_endometrium = 1 (%)";"  2559 (  2.0) "
"cancer_dx_cervix_uterus = 1 (%)";"  2699 (  2.1) "
"cancer_dx_bladder = 1 (%)";" 10907 (  8.6) "
"cancer_dx_liver_biliary = 1 (%)";"  2504 (  2.0) "
"cancer_dx_melanoma = 1 (%)";"  4795 (  3.8) "
"cancer_dx_pancreas = 1 (%)";"  2091 (  1.7) "
"cancer_dx_kidney = 1 (%)";"  4463 (  3.5) "
"cancer_dx_gastric = 1 (%)";"  2211 (  1.7) "
"cancer_dx_esophagus = 1 (%)";"   707 (  0.6) "
"cancer_dx_testis = 1 (%)";"   964 (  0.8) "
"cancer_dx_thyroid = 1 (%)";"  2427 (  1.9) "
"cancer_dx_CNS = 1 (%)";"  1438 (  1.1) "
"cancer_dx_neuroendocrine = 1 (%)";"   593 (  0.5) "
"cancer_dx_sarcomas = 1 (%)";"  1367 (  1.1) "
"cancer_dx_leukemia = 1 (%)";"  3429 (  2.7) "
"cancer_dx_myeloma = 1 (%)";"  1486 (  1.2) "
"cancer_dx_lymphoma = 1 (%)";"  4385 (  3.5) "
"cancer_dx_other = 1 (%)";"  3252 (  2.6) "
"cancer_dx_other_2 = 1 (%)";" 11116 (  8.8) "
"cancer_dx_undefined = 1 (%)";" 12479 (  9.9) "
"cancer_group_gastro_intestinal = 1 (%)";" 23763 ( 18.8) "
"cancer_group_genito_urinary = 1 (%)";" 29737 ( 23.5) "
"cancer_group_thyroid = 1 (%)";"  2427 (  1.9) "
"cancer_group_breast = 1 (%)";" 20843 ( 16.5) "
"cancer_group_sarcomas = 1 (%)";"  1619 (  1.3) "
"cancer_group_thorax = 1 (%)";"  8006 (  6.3) "
"cancer_group_gynecology = 1 (%)";"  6479 (  5.1) "
"cancer_group_head_neck = 1 (%)";"  3726 (  2.9) "
"cancer_group_hemathological = 1 (%)";"  9118 (  7.2) "
"cancer_group_skin = 1 (%)";" 13008 ( 10.3) "
"cancer_group_CNS = 1 (%)";"  1731 (  1.4) "
"cancer_group_undefined = 1 (%)";"  3124 (  2.5) "
"cancer_group_nasopharynx = 1 (%)";"   101 (  0.1) "
"cancer_group_neuroendocrine = 1 (%)";"   593 (  0.5) "
"cancer_group_other = 1 (%)";"   906 (  0.7) "
"cancer_group_other_2 = 1 (%)";" 11116 (  8.8) "
"charlson_index (median [IQR])";"  3.00 [2.00, 6.00]"
"CCI_Rheumatologic_Disease = 1 (%)";"  3707 (  2.9) "
"CCI_Any_Malignancy = 1 (%)";"126419 (100.0) "
"CCI_Metastatic_Solid_Tumor = 1 (%)";" 20264 ( 16.0) "
"CCI_Diabetes_Mild = 1 (%)";" 27835 ( 22.0) "
"CCI_Mild_Liver_Disease = 1 (%)";"  4138 (  3.3) "
"CCI_Peptic_Ulcer_Disease = 1 (%)";"  7216 (  5.7) "
"CCI_Chronic_Pulmonary_Disease = 1 (%)";" 22426 ( 17.7) "
"CCI_Renal_Disease = 1 (%)";" 22256 ( 17.6) "
"CCI_Cerebrovascular_Disease = 1 (%)";"  8297 (  6.6) "
"CCI_Diabetes_With_Complications = 1 (%)";"  8095 (  6.4) "
"CCI_Congestive_Heart_Failure = 1 (%)";" 10556 (  8.4) "
"CCI_Dementia = 1 (%)";"  3441 (  2.7) "
"CCI_Peripheral_Artery_Disease = 1 (%)";"  6708 (  5.3) "
"CCI_Myocardial_Infarction = 1 (%)";"  5608 (  4.4) "
"CCI_Moderate_Severe_Liver_Disease = 1 (%)";"  2382 (  1.9) "
"CCI_Hemiplegia_Paraplegia = 1 (%)";"  2007 (  1.6) "
"CCI_AIDS = 1 (%)";"   798 (  0.6) "
"n_visits_outpatient (mean (SD))";"  7.13 (8.60)"
"n_visits_telehealth (mean (SD))";"  8.01 (9.38)"
"visits_outpatient_cat (%)";""
"   0";" 14726 ( 11.6) "
"   1";" 12328 (  9.8) "
"   2";" 11833 (  9.4) "
"   3+";" 87532 ( 69.2) "
