"level";"0";"1";"p";"test"
"";NA;"   98 (  0.3) ";"   30 (  0.0) ";"";""
"cancer_diagnosis_time (%)";"0";"10897 ( 32.0) ";"29731 ( 32.2) ";"<0.001";""
"";"1";" 5322 ( 15.6) ";"19126 ( 20.7) ";"";""
"";"2";" 4550 ( 13.4) ";"16990 ( 18.4) ";"";""
"";"3";" 4282 ( 12.6) ";"16113 ( 17.4) ";"";""
"";"4";" 8996 ( 26.4) ";"10412 ( 11.3) ";"";""
"cancer_dx_breast (%)";"0";"28894 ( 84.9) ";"76682 ( 83.0) ";"<0.001";""
"";"1";" 5153 ( 15.1) ";"15690 ( 17.0) ";"";""
"cancer_dx_prostate (%)";"0";"30851 ( 90.6) ";"81034 ( 87.7) ";"<0.001";""
"";"1";" 3196 (  9.4) ";"11338 ( 12.3) ";"";""
"cancer_dx_colorectal (%)";"0";"29795 ( 87.5) ";"80247 ( 86.9) ";" 0.003";""
"";"1";" 4252 ( 12.5) ";"12125 ( 13.1) ";"";""
"cancer_dx_lung (%)";"0";"31589 ( 92.8) ";"87174 ( 94.4) ";"<0.001";""
"";"1";" 2458 (  7.2) ";" 5198 (  5.6) ";"";""
"cancer_dx_head_neck (%)";"0";"33024 ( 97.0) ";"89669 ( 97.1) ";" 0.476";""
"";"1";" 1023 (  3.0) ";" 2703 (  2.9) ";"";""
"cancer_dx_endometrium (%)";"0";"33417 ( 98.1) ";"90443 ( 97.9) ";" 0.008";""
"";"1";"  630 (  1.9) ";" 1929 (  2.1) ";"";""
"cancer_dx_cervix_uterus (%)";"0";"33183 ( 97.5) ";"90537 ( 98.0) ";"<0.001";""
"";"1";"  864 (  2.5) ";" 1835 (  2.0) ";"";""
"cancer_dx_bladder (%)";"0";"31349 ( 92.1) ";"84163 ( 91.1) ";"<0.001";""
"";"1";" 2698 (  7.9) ";" 8209 (  8.9) ";"";""
"cancer_dx_liver_biliary (%)";"0";"33196 ( 97.5) ";"90719 ( 98.2) ";"<0.001";""
"";"1";"  851 (  2.5) ";" 1653 (  1.8) ";"";""
"cancer_dx_melanoma (%)";"0";"32849 ( 96.5) ";"88775 ( 96.1) ";" 0.002";""
"";"1";" 1198 (  3.5) ";" 3597 (  3.9) ";"";""
"cancer_dx_pancreas (%)";"0";"33298 ( 97.8) ";"91030 ( 98.5) ";"<0.001";""
"";"1";"  749 (  2.2) ";" 1342 (  1.5) ";"";""
"cancer_dx_kidney (%)";"0";"32966 ( 96.8) ";"88990 ( 96.3) ";"<0.001";""
"";"1";" 1081 (  3.2) ";" 3382 (  3.7) ";"";""
"cancer_dx_gastric (%)";"0";"33338 ( 97.9) ";"90870 ( 98.4) ";"<0.001";""
"";"1";"  709 (  2.1) ";" 1502 (  1.6) ";"";""
"cancer_dx_esophagus (%)";"0";"33817 ( 99.3) ";"91895 ( 99.5) ";" 0.001";""
"";"1";"  230 (  0.7) ";"  477 (  0.5) ";"";""
"cancer_dx_testis (%)";"0";"33690 ( 99.0) ";"91765 ( 99.3) ";"<0.001";""
"";"1";"  357 (  1.0) ";"  607 (  0.7) ";"";""
"cancer_dx_thyroid (%)";"0";"33287 ( 97.8) ";"90705 ( 98.2) ";"<0.001";""
"";"1";"  760 (  2.2) ";" 1667 (  1.8) ";"";""
"cancer_dx_CNS (%)";"0";"33521 ( 98.5) ";"91460 ( 99.0) ";"<0.001";""
"";"1";"  526 (  1.5) ";"  912 (  1.0) ";"";""
"cancer_dx_neuroendocrine (%)";"0";"33883 ( 99.5) ";"91943 ( 99.5) ";" 0.725";""
"";"1";"  164 (  0.5) ";"  429 (  0.5) ";"";""
"cancer_dx_sarcomas (%)";"0";"33600 ( 98.7) ";"91452 ( 99.0) ";"<0.001";""
"";"1";"  447 (  1.3) ";"  920 (  1.0) ";"";""
"cancer_dx_leukemia (%)";"0";"33049 ( 97.1) ";"89941 ( 97.4) ";" 0.004";""
"";"1";"  998 (  2.9) ";" 2431 (  2.6) ";"";""
"cancer_dx_myeloma (%)";"0";"33692 ( 99.0) ";"91241 ( 98.8) ";" 0.009";""
"";"1";"  355 (  1.0) ";" 1131 (  1.2) ";"";""
"cancer_dx_lymphoma (%)";"0";"32832 ( 96.4) ";"89202 ( 96.6) ";" 0.245";""
"";"1";" 1215 (  3.6) ";" 3170 (  3.4) ";"";""
"cancer_dx_other (%)";"0";"33057 ( 97.1) ";"90110 ( 97.6) ";"<0.001";""
"";"1";"  990 (  2.9) ";" 2262 (  2.4) ";"";""
"cancer_dx_other_2 (%)";"0";"30820 ( 90.5) ";"84483 ( 91.5) ";"<0.001";""
"";"1";" 3227 (  9.5) ";" 7889 (  8.5) ";"";""
"cancer_dx_undefined (%)";"0";"30517 ( 89.6) ";"83423 ( 90.3) ";"<0.001";""
"";"1";" 3530 ( 10.4) ";" 8949 (  9.7) ";"";""
"cancer_group_gastro_intestinal (%)";"0";"27317 ( 80.2) ";"75339 ( 81.6) ";"<0.001";""
"";"1";" 6730 ( 19.8) ";"17033 ( 18.4) ";"";""
"cancer_group_genito_urinary (%)";"0";"26973 ( 79.2) ";"69709 ( 75.5) ";"<0.001";""
"";"1";" 7074 ( 20.8) ";"22663 ( 24.5) ";"";""
"cancer_group_thyroid (%)";"0";"33287 ( 97.8) ";"90705 ( 98.2) ";"<0.001";""
"";"1";"  760 (  2.2) ";" 1667 (  1.8) ";"";""
"cancer_group_breast (%)";"0";"28894 ( 84.9) ";"76682 ( 83.0) ";"<0.001";""
"";"1";" 5153 ( 15.1) ";"15690 ( 17.0) ";"";""
"cancer_group_sarcomas (%)";"0";"33513 ( 98.4) ";"91287 ( 98.8) ";"<0.001";""
"";"1";"  534 (  1.6) ";" 1085 (  1.2) ";"";""
"cancer_group_thorax (%)";"0";"31483 ( 92.5) ";"86930 ( 94.1) ";"<0.001";""
"";"1";" 2564 (  7.5) ";" 5442 (  5.9) ";"";""
"cancer_group_gynecology (%)";"0";"32204 ( 94.6) ";"87736 ( 95.0) ";" 0.005";""
"";"1";" 1843 (  5.4) ";" 4636 (  5.0) ";"";""
"cancer_group_head_neck (%)";"0";"33024 ( 97.0) ";"89669 ( 97.1) ";" 0.476";""
"";"1";" 1023 (  3.0) ";" 2703 (  2.9) ";"";""
"cancer_group_hemathological (%)";"0";"31540 ( 92.6) ";"85761 ( 92.8) ";" 0.213";""
"";"1";" 2507 (  7.4) ";" 6611 (  7.2) ";"";""
"cancer_group_skin (%)";"0";"30626 ( 90.0) ";"82785 ( 89.6) ";" 0.088";""
"";"1";" 3421 ( 10.0) ";" 9587 ( 10.4) ";"";""
"cancer_group_CNS (%)";"0";"33454 ( 98.3) ";"91234 ( 98.8) ";"<0.001";""
"";"1";"  593 (  1.7) ";" 1138 (  1.2) ";"";""
"cancer_group_undefined (%)";"0";"33042 ( 97.0) ";"90253 ( 97.7) ";"<0.001";""
"";"1";" 1005 (  3.0) ";" 2119 (  2.3) ";"";""
"cancer_group_nasopharynx (%)";"0";"34012 ( 99.9) ";"92306 ( 99.9) ";" 0.101";""
"";"1";"   35 (  0.1) ";"   66 (  0.1) ";"";""
"cancer_group_neuroendocrine (%)";"0";"33883 ( 99.5) ";"91943 ( 99.5) ";" 0.725";""
"";"1";"  164 (  0.5) ";"  429 (  0.5) ";"";""
"cancer_group_other (%)";"0";"33779 ( 99.2) ";"91734 ( 99.3) ";" 0.077";""
"";"1";"  268 (  0.8) ";"  638 (  0.7) ";"";""
"cancer_group_other_2 (%)";"0";"30820 ( 90.5) ";"84483 ( 91.5) ";"<0.001";""
"";"1";" 3227 (  9.5) ";" 7889 (  8.5) ";"";""
"charlson_index (median [IQR])";"";" 3.00 [2.00, 7.00]";" 3.00 [2.00, 6.00]";"<0.001";"nonnorm"
"CCI_Rheumatologic_Disease (%)";"0";"33076 ( 97.1) ";"89636 ( 97.0) ";" 0.313";""
"";"1";"  971 (  2.9) ";" 2736 (  3.0) ";"";""
"CCI_Any_Malignancy (%)";"1";"34047 (100.0) ";"92372 (100.0) ";"    NA";""
"CCI_Metastatic_Solid_Tumor (%)";"0";"27290 ( 80.2) ";"78865 ( 85.4) ";"<0.001";""
"";"1";" 6757 ( 19.8) ";"13507 ( 14.6) ";"";""
"CCI_Diabetes_Mild (%)";"0";"26954 ( 79.2) ";"71630 ( 77.5) ";"<0.001";""
"";"1";" 7093 ( 20.8) ";"20742 ( 22.5) ";"";""
"CCI_Mild_Liver_Disease (%)";"0";"32830 ( 96.4) ";"89451 ( 96.8) ";"<0.001";""
"";"1";" 1217 (  3.6) ";" 2921 (  3.2) ";"";""
"CCI_Peptic_Ulcer_Disease (%)";"0";"32173 ( 94.5) ";"87030 ( 94.2) ";" 0.060";""
"";"1";" 1874 (  5.5) ";" 5342 (  5.8) ";"";""
"CCI_Chronic_Pulmonary_Disease (%)";"0";"28059 ( 82.4) ";"75934 ( 82.2) ";" 0.395";""
"";"1";" 5988 ( 17.6) ";"16438 ( 17.8) ";"";""
"CCI_Renal_Disease (%)";"0";"27558 ( 80.9) ";"76605 ( 82.9) ";"<0.001";""
"";"1";" 6489 ( 19.1) ";"15767 ( 17.1) ";"";""
"CCI_Cerebrovascular_Disease (%)";"0";"31726 ( 93.2) ";"86396 ( 93.5) ";" 0.028";""
"";"1";" 2321 (  6.8) ";" 5976 (  6.5) ";"";""
"CCI_Diabetes_With_Complications (%)";"0";"31804 ( 93.4) ";"86520 ( 93.7) ";" 0.106";""
"";"1";" 2243 (  6.6) ";" 5852 (  6.3) ";"";""
"CCI_Congestive_Heart_Failure (%)";"0";"30775 ( 90.4) ";"85088 ( 92.1) ";"<0.001";""
"";"1";" 3272 (  9.6) ";" 7284 (  7.9) ";"";""
"CCI_Dementia (%)";"0";"32948 ( 96.8) ";"90030 ( 97.5) ";"<0.001";""
"";"1";" 1099 (  3.2) ";" 2342 (  2.5) ";"";""
"CCI_Peripheral_Artery_Disease (%)";"0";"32224 ( 94.6) ";"87487 ( 94.7) ";" 0.653";""
"";"1";" 1823 (  5.4) ";" 4885 (  5.3) ";"";""
"CCI_Myocardial_Infarction (%)";"0";"32563 ( 95.6) ";"88248 ( 95.5) ";" 0.426";""
"";"1";" 1484 (  4.4) ";" 4124 (  4.5) ";"";""
"CCI_Moderate_Severe_Liver_Disease (%)";"0";"33220 ( 97.6) ";"90817 ( 98.3) ";"<0.001";""
"";"1";"  827 (  2.4) ";" 1555 (  1.7) ";"";""
"CCI_Hemiplegia_Paraplegia (%)";"0";"33384 ( 98.1) ";"91028 ( 98.5) ";"<0.001";""
"";"1";"  663 (  1.9) ";" 1344 (  1.5) ";"";""
"CCI_AIDS (%)";"0";"33766 ( 99.2) ";"91855 ( 99.4) ";"<0.001";""
"";"1";"  281 (  0.8) ";"  517 (  0.6) ";"";""
"n_visits_outpatient (mean (SD))";"";" 6.84 (9.15)";" 7.24 (8.38)";"<0.001";""
"n_visits_telehealth (mean (SD))";"";" 8.02 (10.62)";" 8.01 (8.88)";" 0.854";""
"visits_outpatient_cat (%)";"0";" 5697 ( 16.7) ";" 9029 (  9.8) ";"<0.001";""
"";"1";" 3330 (  9.8) ";" 8998 (  9.7) ";"";""
"";"2";" 3139 (  9.2) ";" 8694 (  9.4) ";"";""
"";"3+";"21881 ( 64.3) ";"65651 ( 71.1) ";"";""
