"0";"1";"p";"test";"SMD"
"cancer_dx_sarcomas = 1 (%)";"  968 (  1.0) ";"  920 (  1.0) ";" 0.277";"";" 0.005"
"cancer_dx_leukemia = 1 (%)";" 2270 (  2.5) ";" 2431 (  2.6) ";" 0.018";"";" 0.011"
"cancer_dx_myeloma = 1 (%)";"  876 (  0.9) ";" 1131 (  1.2) ";"<0.001";"";" 0.027"
"cancer_dx_lymphoma = 1 (%)";" 2970 (  3.2) ";" 3170 (  3.4) ";" 0.010";"";" 0.012"
"cancer_dx_other = 1 (%)";" 2316 (  2.5) ";" 2262 (  2.4) ";" 0.428";"";" 0.004"
"cancer_dx_other_2 = 1 (%)";" 7877 (  8.5) ";" 7889 (  8.5) ";" 0.927";"";"<0.001"
"cancer_dx_undefined = 1 (%)";" 8833 (  9.6) ";" 8949 (  9.7) ";" 0.364";"";" 0.004"
"cancer_group_gastro_intestinal = 1 (%)";"17367 ( 18.8) ";"17033 ( 18.4) ";" 0.047";"";" 0.009"
"cancer_group_genito_urinary = 1 (%)";"22579 ( 24.4) ";"22663 ( 24.5) ";" 0.653";"";" 0.002"
"cancer_group_thyroid = 1 (%)";" 1778 (  1.9) ";" 1667 (  1.8) ";" 0.059";"";" 0.009"
"cancer_group_breast = 1 (%)";"15159 ( 16.4) ";"15690 ( 17.0) ";" 0.001";"";" 0.015"
"cancer_group_sarcomas = 1 (%)";" 1132 (  1.2) ";" 1085 (  1.2) ";" 0.326";"";" 0.005"
"cancer_group_thorax = 1 (%)";" 5730 (  6.2) ";" 5442 (  5.9) ";" 0.005";"";" 0.013"
"cancer_group_gynecology = 1 (%)";" 5063 (  5.5) ";" 4636 (  5.0) ";"<0.001";"";" 0.021"
"cancer_group_head_neck = 1 (%)";" 2827 (  3.1) ";" 2703 (  2.9) ";" 0.093";"";" 0.008"
"cancer_group_hemathological = 1 (%)";" 6017 (  6.5) ";" 6611 (  7.2) ";"<0.001";"";" 0.025"
"cancer_group_skin = 1 (%)";" 9301 ( 10.1) ";" 9587 ( 10.4) ";" 0.029";"";" 0.010"
"cancer_group_CNS = 1 (%)";" 1123 (  1.2) ";" 1138 (  1.2) ";" 0.767";"";" 0.001"
"cancer_group_undefined = 1 (%)";" 2186 (  2.4) ";" 2119 (  2.3) ";" 0.309";"";" 0.005"
"cancer_group_nasopharynx = 1 (%)";"   68 (  0.1) ";"   66 (  0.1) ";" 0.931";"";" 0.001"
"cancer_group_neuroendocrine = 1 (%)";"  394 (  0.4) ";"  429 (  0.5) ";" 0.235";"";" 0.006"
"cancer_group_other = 1 (%)";"  671 (  0.7) ";"  638 (  0.7) ";" 0.375";"";" 0.004"
"cancer_group_other_2 = 1 (%)";" 7877 (  8.5) ";" 7889 (  8.5) ";" 0.927";"";"<0.001"
"charlson_index (median [IQR])";" 3.00 [2.00, 6.00]";" 3.00 [2.00, 6.00]";" 0.094";"nonnorm";" 0.002"
"CCI_Rheumatologic_Disease = 1 (%)";" 2647 (  2.9) ";" 2736 (  3.0) ";" 0.223";"";" 0.006"
"CCI_Any_Malignancy = 1 (%)";"92372 (100.0) ";"92372 (100.0) ";"    NA";"";"<0.001"
"CCI_Metastatic_Solid_Tumor = 1 (%)";"13852 ( 15.0) ";"13507 ( 14.6) ";" 0.024";"";" 0.011"
"CCI_Diabetes_Mild = 1 (%)";"20349 ( 22.0) ";"20742 ( 22.5) ";" 0.028";"";" 0.010"
"CCI_Mild_Liver_Disease = 1 (%)";" 3097 (  3.4) ";" 2921 (  3.2) ";" 0.022";"";" 0.011"
"CCI_Peptic_Ulcer_Disease = 1 (%)";" 5183 (  5.6) ";" 5342 (  5.8) ";" 0.113";"";" 0.007"
"CCI_Chronic_Pulmonary_Disease = 1 (%)";"16368 ( 17.7) ";"16438 ( 17.8) ";" 0.674";"";" 0.002"
"CCI_Renal_Disease = 1 (%)";"15178 ( 16.4) ";"15767 ( 17.1) ";"<0.001";"";" 0.017"
"CCI_Cerebrovascular_Disease = 1 (%)";" 5866 (  6.4) ";" 5976 (  6.5) ";" 0.300";"";" 0.005"
"CCI_Diabetes_With_Complications = 1 (%)";" 5616 (  6.1) ";" 5852 (  6.3) ";" 0.023";"";" 0.011"
"CCI_Congestive_Heart_Failure = 1 (%)";" 6925 (  7.5) ";" 7284 (  7.9) ";" 0.002";"";" 0.015"
"CCI_Dementia = 1 (%)";" 2301 (  2.5) ";" 2342 (  2.5) ";" 0.552";"";" 0.003"
"CCI_Peripheral_Artery_Disease = 1 (%)";" 4806 (  5.2) ";" 4885 (  5.3) ";" 0.416";"";" 0.004"
"CCI_Myocardial_Infarction = 1 (%)";" 4040 (  4.4) ";" 4124 (  4.5) ";" 0.347";"";" 0.004"
"CCI_Moderate_Severe_Liver_Disease = 1 (%)";" 1523 (  1.6) ";" 1555 (  1.7) ";" 0.573";"";" 0.003"
"CCI_Hemiplegia_Paraplegia = 1 (%)";" 1306 (  1.4) ";" 1344 (  1.5) ";" 0.469";"";" 0.003"
"CCI_AIDS = 1 (%)";"  574 (  0.6) ";"  517 (  0.6) ";" 0.089";"";" 0.008"
"n_visits_outpatient (mean (SD))";" 7.06 (8.52)";" 7.24 (8.38)";"<0.001";"";" 0.022"
"n_visits_telehealth (mean (SD))";" 7.49 (8.73)";" 8.01 (8.88)";"<0.001";"";" 0.059"
"visits_outpatient_cat (%)";"";"";"<0.001";"";" 0.080"
"   0";"11333 ( 12.3) ";" 9029 (  9.8) ";"";"";""
"   1";" 8834 (  9.6) ";" 8998 (  9.7) ";"";"";""
"   2";" 8632 (  9.3) ";" 8694 (  9.4) ";"";"";""
"   3+";"63573 ( 68.8) ";"65651 ( 71.1) ";"";"";""
