"0";"1";"p";"test";"SMD"
"cancer_dx_sarcomas = 1 (%)";"  447 (  1.3) ";"  920 (  1.0) ";"<0.001";"";" 0.030"
"cancer_dx_leukemia = 1 (%)";"  998 (  2.9) ";" 2431 (  2.6) ";" 0.004";"";" 0.018"
"cancer_dx_myeloma = 1 (%)";"  355 (  1.0) ";" 1131 (  1.2) ";" 0.009";"";" 0.017"
"cancer_dx_lymphoma = 1 (%)";" 1215 (  3.6) ";" 3170 (  3.4) ";" 0.245";"";" 0.007"
"cancer_dx_other = 1 (%)";"  990 (  2.9) ";" 2262 (  2.4) ";"<0.001";"";" 0.028"
"cancer_dx_other_2 = 1 (%)";" 3227 (  9.5) ";" 7889 (  8.5) ";"<0.001";"";" 0.033"
"cancer_dx_undefined = 1 (%)";" 3530 ( 10.4) ";" 8949 (  9.7) ";"<0.001";"";" 0.023"
"cancer_group_gastro_intestinal = 1 (%)";" 6730 ( 19.8) ";"17033 ( 18.4) ";"<0.001";"";" 0.034"
"cancer_group_genito_urinary = 1 (%)";" 7074 ( 20.8) ";"22663 ( 24.5) ";"<0.001";"";" 0.090"
"cancer_group_thyroid = 1 (%)";"  760 (  2.2) ";" 1667 (  1.8) ";"<0.001";"";" 0.030"
"cancer_group_breast = 1 (%)";" 5153 ( 15.1) ";"15690 ( 17.0) ";"<0.001";"";" 0.050"
"cancer_group_sarcomas = 1 (%)";"  534 (  1.6) ";" 1085 (  1.2) ";"<0.001";"";" 0.034"
"cancer_group_thorax = 1 (%)";" 2564 (  7.5) ";" 5442 (  5.9) ";"<0.001";"";" 0.066"
"cancer_group_gynecology = 1 (%)";" 1843 (  5.4) ";" 4636 (  5.0) ";" 0.005";"";" 0.018"
"cancer_group_head_neck = 1 (%)";" 1023 (  3.0) ";" 2703 (  2.9) ";" 0.476";"";" 0.005"
"cancer_group_hemathological = 1 (%)";" 2507 (  7.4) ";" 6611 (  7.2) ";" 0.213";"";" 0.008"
"cancer_group_skin = 1 (%)";" 3421 ( 10.0) ";" 9587 ( 10.4) ";" 0.088";"";" 0.011"
"cancer_group_CNS = 1 (%)";"  593 (  1.7) ";" 1138 (  1.2) ";"<0.001";"";" 0.042"
"cancer_group_undefined = 1 (%)";" 1005 (  3.0) ";" 2119 (  2.3) ";"<0.001";"";" 0.041"
"cancer_group_nasopharynx = 1 (%)";"   35 (  0.1) ";"   66 (  0.1) ";" 0.101";"";" 0.011"
"cancer_group_neuroendocrine = 1 (%)";"  164 (  0.5) ";"  429 (  0.5) ";" 0.725";"";" 0.003"
"cancer_group_other = 1 (%)";"  268 (  0.8) ";"  638 (  0.7) ";" 0.077";"";" 0.011"
"cancer_group_other_2 = 1 (%)";" 3227 (  9.5) ";" 7889 (  8.5) ";"<0.001";"";" 0.033"
"charlson_index (median [IQR])";" 3.00 [2.00, 7.00]";" 3.00 [2.00, 6.00]";"<0.001";"nonnorm";" 0.133"
"CCI_Rheumatologic_Disease = 1 (%)";"  971 (  2.9) ";" 2736 (  3.0) ";" 0.313";"";" 0.007"
"CCI_Any_Malignancy = 1 (%)";"34047 (100.0) ";"92372 (100.0) ";"    NA";"";"<0.001"
"CCI_Metastatic_Solid_Tumor = 1 (%)";" 6757 ( 19.8) ";"13507 ( 14.6) ";"<0.001";"";" 0.139"
"CCI_Diabetes_Mild = 1 (%)";" 7093 ( 20.8) ";"20742 ( 22.5) ";"<0.001";"";" 0.039"
"CCI_Mild_Liver_Disease = 1 (%)";" 1217 (  3.6) ";" 2921 (  3.2) ";"<0.001";"";" 0.023"
"CCI_Peptic_Ulcer_Disease = 1 (%)";" 1874 (  5.5) ";" 5342 (  5.8) ";" 0.060";"";" 0.012"
"CCI_Chronic_Pulmonary_Disease = 1 (%)";" 5988 ( 17.6) ";"16438 ( 17.8) ";" 0.395";"";" 0.005"
"CCI_Renal_Disease = 1 (%)";" 6489 ( 19.1) ";"15767 ( 17.1) ";"<0.001";"";" 0.052"
"CCI_Cerebrovascular_Disease = 1 (%)";" 2321 (  6.8) ";" 5976 (  6.5) ";" 0.028";"";" 0.014"
"CCI_Diabetes_With_Complications = 1 (%)";" 2243 (  6.6) ";" 5852 (  6.3) ";" 0.106";"";" 0.010"
"CCI_Congestive_Heart_Failure = 1 (%)";" 3272 (  9.6) ";" 7284 (  7.9) ";"<0.001";"";" 0.061"
"CCI_Dementia = 1 (%)";" 1099 (  3.2) ";" 2342 (  2.5) ";"<0.001";"";" 0.041"
"CCI_Peripheral_Artery_Disease = 1 (%)";" 1823 (  5.4) ";" 4885 (  5.3) ";" 0.653";"";" 0.003"
"CCI_Myocardial_Infarction = 1 (%)";" 1484 (  4.4) ";" 4124 (  4.5) ";" 0.426";"";" 0.005"
"CCI_Moderate_Severe_Liver_Disease = 1 (%)";"  827 (  2.4) ";" 1555 (  1.7) ";"<0.001";"";" 0.053"
"CCI_Hemiplegia_Paraplegia = 1 (%)";"  663 (  1.9) ";" 1344 (  1.5) ";"<0.001";"";" 0.038"
"CCI_AIDS = 1 (%)";"  281 (  0.8) ";"  517 (  0.6) ";"<0.001";"";" 0.032"
"n_visits_outpatient (mean (SD))";" 6.84 (9.15)";" 7.24 (8.38)";"<0.001";"";" 0.047"
"n_visits_telehealth (mean (SD))";" 8.02 (10.62)";" 8.01 (8.88)";" 0.854";"";" 0.001"
"visits_outpatient_cat (%)";"";"";"<0.001";"";" 0.210"
"   0";" 5697 ( 16.7) ";" 9029 (  9.8) ";"";"";""
"   1";" 3330 (  9.8) ";" 8998 (  9.7) ";"";"";""
"   2";" 3139 (  9.2) ";" 8694 (  9.4) ";"";"";""
"   3+";"21881 ( 64.3) ";"65651 ( 71.1) ";"";"";""
