"level";"0";"1";"p";"test"
"";"AZ-ChAdOx1";" 9216 ( 10.6) ";"15830 ( 18.2) ";"";""
"";"Jansen-Ad26";"    0 (  0.0) ";"    0 (  0.0) ";"";""
"";NA;"29730 ( 34.1) ";" 4204 (  4.8) ";"";""
"vac_concept_id_3 (%)";"Pfizer-mRNA-BNT162b";" 6544 (  7.5) ";"11634 ( 13.4) ";"   NaN";""
"";"Moderna-mRNA-1273";" 3044 (  3.5) ";" 7230 (  8.3) ";"";""
"";"AZ-ChAdOx1";"    2 (  0.0) ";"    2 (  0.0) ";"";""
"";"Jansen-Ad26";"    0 (  0.0) ";"    0 (  0.0) ";"";""
"";NA;"77547 ( 89.0) ";"68168 ( 78.3) ";"";""
"vac_scheme (%)";"AZ-ChAdOx1-AZ-ChAdOx1";" 9215 ( 10.6) ";"15829 ( 18.2) ";"<0.001";""
"";"AZ-ChAdOx1-Moderna-mRNA-1273";"    1 (  0.0) ";"    5 (  0.0) ";"";""
"";"AZ-ChAdOx1-NA";"  206 (  0.2) ";"  227 (  0.3) ";"";""
"";"AZ-ChAdOx1-Pfizer-mRNA-BNT162b";"   82 (  0.1) ";"  244 (  0.3) ";"";""
"";"Jansen-Ad26-Moderna-mRNA-1273";"   71 (  0.1) ";"   74 (  0.1) ";"";""
"";"Jansen-Ad26-NA";" 3825 (  4.4) ";" 2798 (  3.2) ";"";""
"";"Jansen-Ad26-Pfizer-mRNA-BNT162b";"  326 (  0.4) ";"  346 (  0.4) ";"";""
"";"Moderna-mRNA-1273-AZ-ChAdOx1";"    1 (  0.0) ";"    1 (  0.0) ";"";""
"";"Moderna-mRNA-1273-Moderna-mRNA-1273";" 9121 ( 10.5) ";"16629 ( 19.1) ";"";""
"";"Moderna-mRNA-1273-NA";"  444 (  0.5) ";"  412 (  0.5) ";"";""
"";"Moderna-mRNA-1273-Pfizer-mRNA-BNT162b";"    3 (  0.0) ";"    9 (  0.0) ";"";""
"";"NA-NA";"24096 ( 27.7) ";"    0 (  0.0) ";"";""
"";"Pfizer-mRNA-BNT162b-Moderna-mRNA-1273";"    9 (  0.0) ";"   11 (  0.0) ";"";""
"";"Pfizer-mRNA-BNT162b-NA";" 1159 (  1.3) ";"  767 (  0.9) ";"";""
"";"Pfizer-mRNA-BNT162b-Pfizer-mRNA-BNT162b";"38578 ( 44.3) ";"49682 ( 57.1) ";"";""
"vac_heterologous (mean (SD))";"";" 0.35 (0.48)";" 0.06 (0.23)";"<0.001";""
"cancer_diagnosis_time (%)";"0";"23225 ( 26.7) ";"23161 ( 26.6) ";" 0.989";""
"";"1";"17892 ( 20.5) ";"17828 ( 20.5) ";"";""
"";"2";"16390 ( 18.8) ";"16403 ( 18.8) ";"";""
"";"3";"15157 ( 17.4) ";"15115 ( 17.4) ";"";""
"";"4";"14473 ( 16.6) ";"14527 ( 16.7) ";"";""
"cancer_dx_breast (%)";"0";"71984 ( 82.6) ";"71350 ( 82.0) ";" 0.001";""
"";"1";"15153 ( 17.4) ";"15684 ( 18.0) ";"";""
"cancer_dx_prostate (%)";"0";"75878 ( 87.1) ";"75696 ( 87.0) ";" 0.515";""
"";"1";"11259 ( 12.9) ";"11338 ( 13.0) ";"";""
"cancer_dx_colorectal (%)";"0";"75063 ( 86.1) ";"74909 ( 86.1) ";" 0.656";""
"";"1";"12074 ( 13.9) ";"12125 ( 13.9) ";"";""
"cancer_dx_lung (%)";"0";"81646 ( 93.7) ";"81836 ( 94.0) ";" 0.004";""
"";"1";" 5491 (  6.3) ";" 5198 (  6.0) ";"";""
"cancer_dx_head_neck (%)";"0";"84333 ( 96.8) ";"84351 ( 96.9) ";" 0.109";""
"";"1";" 2804 (  3.2) ";" 2683 (  3.1) ";"";""
"cancer_dx_endometrium (%)";"0";"85096 ( 97.7) ";"85105 ( 97.8) ";" 0.081";""
"";"1";" 2041 (  2.3) ";" 1929 (  2.2) ";"";""
"cancer_dx_cervix_uterus (%)";"0";"84995 ( 97.5) ";"85199 ( 97.9) ";"<0.001";""
"";"1";" 2142 (  2.5) ";" 1835 (  2.1) ";"";""
"cancer_dx_bladder (%)";"0";"78894 ( 90.5) ";"78825 ( 90.6) ";" 0.849";""
"";"1";" 8243 (  9.5) ";" 8209 (  9.4) ";"";""
"cancer_dx_liver_biliary (%)";"0";"85317 ( 97.9) ";"85381 ( 98.1) ";" 0.005";""
"";"1";" 1820 (  2.1) ";" 1653 (  1.9) ";"";""
"cancer_dx_melanoma (%)";"0";"83680 ( 96.0) ";"83438 ( 95.9) ";" 0.084";""
"";"1";" 3457 (  4.0) ";" 3596 (  4.1) ";"";""
"cancer_dx_pancreas (%)";"0";"85681 ( 98.3) ";"85692 ( 98.5) ";" 0.034";""
"";"1";" 1456 (  1.7) ";" 1342 (  1.5) ";"";""
"cancer_dx_kidney (%)";"0";"83858 ( 96.2) ";"83652 ( 96.1) ";" 0.186";""
"";"1";" 3279 (  3.8) ";" 3382 (  3.9) ";"";""
"cancer_dx_gastric (%)";"0";"85480 ( 98.1) ";"85532 ( 98.3) ";" 0.006";""
"";"1";" 1657 (  1.9) ";" 1502 (  1.7) ";"";""
"cancer_dx_esophagus (%)";"0";"86619 ( 99.4) ";"86557 ( 99.5) ";" 0.210";""
"";"1";"  518 (  0.6) ";"  477 (  0.5) ";"";""
"cancer_dx_testis (%)";"0";"86513 ( 99.3) ";"86427 ( 99.3) ";" 0.662";""
"";"1";"  624 (  0.7) ";"  607 (  0.7) ";"";""
"cancer_dx_thyroid (%)";"0";"85359 ( 98.0) ";"85367 ( 98.1) ";" 0.063";""
"";"1";" 1778 (  2.0) ";" 1667 (  1.9) ";"";""
"cancer_dx_CNS (%)";"0";"86235 ( 99.0) ";"86122 ( 99.0) ";" 0.812";""
"";"1";"  902 (  1.0) ";"  912 (  1.0) ";"";""
"cancer_dx_neuroendocrine (%)";"0";"86743 ( 99.5) ";"86605 ( 99.5) ";" 0.228";""
"";"1";"  394 (  0.5) ";"  429 (  0.5) ";"";""
"cancer_dx_sarcomas (%)";"0";"86169 ( 98.9) ";"86114 ( 98.9) ";" 0.288";""
"";"1";"  968 (  1.1) ";"  920 (  1.1) ";"";""
"cancer_dx_leukemia (%)";"0";"84867 ( 97.4) ";"84603 ( 97.2) ";" 0.016";""
"";"1";" 2270 (  2.6) ";" 2431 (  2.8) ";"";""
"cancer_dx_myeloma (%)";"0";"86261 ( 99.0) ";"85903 ( 98.7) ";"<0.001";""
"";"1";"  876 (  1.0) ";" 1131 (  1.3) ";"";""
"cancer_dx_lymphoma (%)";"0";"84185 ( 96.6) ";"83880 ( 96.4) ";" 0.008";""
"";"1";" 2952 (  3.4) ";" 3154 (  3.6) ";"";""
"cancer_dx_other (%)";"0";"84821 ( 97.3) ";"84772 ( 97.4) ";" 0.451";""
"";"1";" 2316 (  2.7) ";" 2262 (  2.6) ";"";""
"cancer_dx_other_2 (%)";"0";"79453 ( 91.2) ";"79335 ( 91.2) ";" 0.845";""
"";"1";" 7684 (  8.8) ";" 7699 (  8.8) ";"";""
"cancer_dx_undefined (%)";"0";"83300 ( 95.6) ";"83192 ( 95.6) ";" 0.921";""
"";"1";" 3837 (  4.4) ";" 3842 (  4.4) ";"";""
"cancer_group_gastro_intestinal (%)";"0";"69770 ( 80.1) ";"70001 ( 80.4) ";" 0.060";""
"";"1";"17367 ( 19.9) ";"17033 ( 19.6) ";"";""
"cancer_group_genito_urinary (%)";"0";"64558 ( 74.1) ";"64371 ( 74.0) ";" 0.549";""
"";"1";"22579 ( 25.9) ";"22663 ( 26.0) ";"";""
"cancer_group_thyroid (%)";"0";"85359 ( 98.0) ";"85367 ( 98.1) ";" 0.063";""
"";"1";" 1778 (  2.0) ";" 1667 (  1.9) ";"";""
"cancer_group_breast (%)";"0";"71984 ( 82.6) ";"71350 ( 82.0) ";" 0.001";""
"";"1";"15153 ( 17.4) ";"15684 ( 18.0) ";"";""
"cancer_group_sarcomas (%)";"0";"86005 ( 98.7) ";"85949 ( 98.8) ";" 0.339";""
"";"1";" 1132 (  1.3) ";" 1085 (  1.2) ";"";""
"cancer_group_thorax (%)";"0";"81407 ( 93.4) ";"81592 ( 93.7) ";" 0.006";""
"";"1";" 5730 (  6.6) ";" 5442 (  6.3) ";"";""
"cancer_group_gynecology (%)";"0";"82074 ( 94.2) ";"82398 ( 94.7) ";"<0.001";""
"";"1";" 5063 (  5.8) ";" 4636 (  5.3) ";"";""
"cancer_group_head_neck (%)";"0";"84333 ( 96.8) ";"84351 ( 96.9) ";" 0.109";""
"";"1";" 2804 (  3.2) ";" 2683 (  3.1) ";"";""
"cancer_group_hemathological (%)";"0";"81138 ( 93.1) ";"80439 ( 92.4) ";"<0.001";""
"";"1";" 5999 (  6.9) ";" 6595 (  7.6) ";"";""
"cancer_group_skin (%)";"0";"82835 ( 95.1) ";"82555 ( 94.9) ";" 0.047";""
"";"1";" 4302 (  4.9) ";" 4479 (  5.1) ";"";""
"cancer_group_CNS (%)";"0";"86014 ( 98.7) ";"85896 ( 98.7) ";" 0.745";""
"";"1";" 1123 (  1.3) ";" 1138 (  1.3) ";"";""
"cancer_group_undefined (%)";"0";"84951 ( 97.5) ";"84915 ( 97.6) ";" 0.327";""
"";"1";" 2186 (  2.5) ";" 2119 (  2.4) ";"";""
"cancer_group_nasopharynx (%)";"0";"87069 ( 99.9) ";"86968 ( 99.9) ";" 0.937";""
"";"1";"   68 (  0.1) ";"   66 (  0.1) ";"";""
"cancer_group_neuroendocrine (%)";"0";"86743 ( 99.5) ";"86605 ( 99.5) ";" 0.228";""
"";"1";"  394 (  0.5) ";"  429 (  0.5) ";"";""
"cancer_group_other (%)";"0";"86466 ( 99.2) ";"86396 ( 99.3) ";" 0.386";""
"";"1";"  671 (  0.8) ";"  638 (  0.7) ";"";""
"cancer_group_other_2 (%)";"0";"79453 ( 91.2) ";"79335 ( 91.2) ";" 0.845";""
"";"1";" 7684 (  8.8) ";" 7699 (  8.8) ";"";""
"charlson_index (median [IQR])";"";" 3.00 [2.00, 6.00]";" 3.00 [2.00, 6.00]";" 0.250";"nonnorm"
"CCI_Rheumatologic_Disease (%)";"0";"84668 ( 97.2) ";"84505 ( 97.1) ";" 0.374";""
"";"1";" 2469 (  2.8) ";" 2529 (  2.9) ";"";""
"CCI_Any_Malignancy (%)";"1";"87137 (100.0) ";"87034 (100.0) ";"    NA";""
"CCI_Metastatic_Solid_Tumor (%)";"0";"73285 ( 84.1) ";"73529 ( 84.5) ";" 0.030";""
"";"1";"13852 ( 15.9) ";"13505 ( 15.5) ";"";""
"CCI_Diabetes_Mild (%)";"0";"67787 ( 77.8) ";"67398 ( 77.4) ";" 0.077";""
"";"1";"19350 ( 22.2) ";"19636 ( 22.6) ";"";""
"CCI_Mild_Liver_Disease (%)";"0";"84192 ( 96.6) ";"84239 ( 96.8) ";" 0.051";""
"";"1";" 2945 (  3.4) ";" 2795 (  3.2) ";"";""
"CCI_Peptic_Ulcer_Disease (%)";"0";"82234 ( 94.4) ";"81963 ( 94.2) ";" 0.075";""
"";"1";" 4903 (  5.6) ";" 5071 (  5.8) ";"";""
"CCI_Chronic_Pulmonary_Disease (%)";"0";"71474 ( 82.0) ";"71370 ( 82.0) ";" 0.908";""
"";"1";"15663 ( 18.0) ";"15664 ( 18.0) ";"";""
"CCI_Renal_Disease (%)";"0";"72778 ( 83.5) ";"72197 ( 83.0) ";" 0.002";""
"";"1";"14359 ( 16.5) ";"14837 ( 17.0) ";"";""
"CCI_Cerebrovascular_Disease (%)";"0";"81619 ( 93.7) ";"81468 ( 93.6) ";" 0.599";""
"";"1";" 5518 (  6.3) ";" 5566 (  6.4) ";"";""
"CCI_Diabetes_With_Complications (%)";"0";"81808 ( 93.9) ";"81485 ( 93.6) ";" 0.026";""
"";"1";" 5329 (  6.1) ";" 5549 (  6.4) ";"";""
"CCI_Congestive_Heart_Failure (%)";"0";"80627 ( 92.5) ";"80218 ( 92.2) ";" 0.005";""
"";"1";" 6510 (  7.5) ";" 6816 (  7.8) ";"";""
"CCI_Dementia (%)";"0";"85016 ( 97.6) ";"84899 ( 97.5) ";" 0.810";""
"";"1";" 2121 (  2.4) ";" 2135 (  2.5) ";"";""
"CCI_Peripheral_Artery_Disease (%)";"0";"82564 ( 94.8) ";"82416 ( 94.7) ";" 0.596";""
"";"1";" 4573 (  5.2) ";" 4618 (  5.3) ";"";""
"CCI_Myocardial_Infarction (%)";"0";"83272 ( 95.6) ";"83110 ( 95.5) ";" 0.468";""
"";"1";" 3865 (  4.4) ";" 3924 (  4.5) ";"";""
"CCI_Moderate_Severe_Liver_Disease (%)";"0";"85650 ( 98.3) ";"85513 ( 98.3) ";" 0.522";""
"";"1";" 1487 (  1.7) ";" 1521 (  1.7) ";"";""
"CCI_Hemiplegia_Paraplegia (%)";"0";"85897 ( 98.6) ";"85755 ( 98.5) ";" 0.428";""
"";"1";" 1240 (  1.4) ";" 1279 (  1.5) ";"";""
"CCI_AIDS (%)";"0";"86601 ( 99.4) ";"86549 ( 99.4) ";" 0.121";""
"";"1";"  536 (  0.6) ";"  485 (  0.6) ";"";""
"n_visits_outpatient (mean (SD))";"";" 7.09 (8.57)";" 7.26 (8.39)";"<0.001";""
"n_visits_telehealth (mean (SD))";"";" 7.56 (8.75)";" 8.07 (8.92)";"<0.001";""
"visits_outpatient_cat (%)";"0";"10525 ( 12.1) ";" 8411 (  9.7) ";"<0.001";""
"";"1";" 8341 (  9.6) ";" 8482 (  9.7) ";"";""
"";"2";" 8156 (  9.4) ";" 8206 (  9.4) ";"";""
"";"3+";"60115 ( 69.0) ";"61935 ( 71.2) ";"";""
