"0";"1";"p";"test"
"   Jansen-Ad26";"    0 (  0.0) ";"    0 (  0.0) ";"";""
"vac_concept_id_3 (%)";"";"";"   NaN";""
"   Pfizer-mRNA-BNT162b";" 5756 ( 11.3) ";"12521 ( 24.7) ";"";""
"   Moderna-mRNA-1273";"34993 ( 68.9) ";"38142 ( 75.3) ";"";""
"   AZ-ChAdOx1";"    5 (  0.0) ";"    4 (  0.0) ";"";""
"   Jansen-Ad26";"    0 (  0.0) ";"    0 (  0.0) ";"";""
"   NA";"10059 ( 19.8) ";"    0 (  0.0) ";"";""
"vac_scheme (%)";"";"";" 0.746";""
"   AZ-ChAdOx1-AZ-ChAdOx1";"12032 ( 23.7) ";"12083 ( 23.8) ";"";""
"   Moderna-mRNA-1273-Moderna-mRNA-1273";" 4901 (  9.6) ";" 4916 (  9.7) ";"";""
"   Pfizer-mRNA-BNT162b-Pfizer-mRNA-BNT162b";"33880 ( 66.7) ";"33668 ( 66.4) ";"";""
"cancer_diagnosis_time (%)";"";"";" 0.984";""
"   0";"11091 ( 21.8) ";"11092 ( 21.9) ";"";""
"   1";"10640 ( 20.9) ";"10606 ( 20.9) ";"";""
"   2";"10095 ( 19.9) ";"10104 ( 19.9) ";"";""
"   3";" 9486 ( 18.7) ";" 9462 ( 18.7) ";"";""
"   4";" 9501 ( 18.7) ";" 9403 ( 18.6) ";"";""
"cancer_dx_breast = 1 (%)";" 8909 ( 17.5) ";" 9135 ( 18.0) ";" 0.039";""
"cancer_dx_prostate = 1 (%)";" 7810 ( 15.4) ";" 8036 ( 15.9) ";" 0.032";""
"cancer_dx_colorectal = 1 (%)";" 7687 ( 15.1) ";" 7706 ( 15.2) ";" 0.725";""
"cancer_dx_lung = 1 (%)";" 2717 (  5.3) ";" 2509 (  5.0) ";" 0.005";""
"cancer_dx_head_neck = 1 (%)";" 1598 (  3.1) ";" 1528 (  3.0) ";" 0.241";""
"cancer_dx_endometrium = 1 (%)";" 1299 (  2.6) ";" 1182 (  2.3) ";" 0.022";""
"cancer_dx_cervix_uterus = 1 (%)";" 1070 (  2.1) ";"  971 (  1.9) ";" 0.034";""
"cancer_dx_bladder = 1 (%)";" 5654 ( 11.1) ";" 5453 ( 10.8) ";" 0.064";""
"cancer_dx_liver_biliary = 1 (%)";"  808 (  1.6) ";"  791 (  1.6) ";" 0.730";""
"cancer_dx_melanoma = 1 (%)";" 1983 (  3.9) ";" 2218 (  4.4) ";"<0.001";""
"cancer_dx_pancreas = 1 (%)";"  654 (  1.3) ";"  576 (  1.1) ";" 0.031";""
"cancer_dx_kidney = 1 (%)";" 1938 (  3.8) ";" 2064 (  4.1) ";" 0.035";""
"cancer_dx_gastric = 1 (%)";"  860 (  1.7) ";"  817 (  1.6) ";" 0.330";""
"cancer_dx_esophagus = 1 (%)";"  219 (  0.4) ";"  224 (  0.4) ";" 0.825";""
"cancer_dx_testis = 1 (%)";"  197 (  0.4) ";"  186 (  0.4) ";" 0.629";""
"cancer_dx_thyroid = 1 (%)";"  852 (  1.7) ";"  828 (  1.6) ";" 0.613";""
"cancer_dx_CNS = 1 (%)";"  316 (  0.6) ";"  301 (  0.6) ";" 0.596";""
"cancer_dx_neuroendocrine = 1 (%)";"  245 (  0.5) ";"  230 (  0.5) ";" 0.540";""
"cancer_dx_sarcomas = 1 (%)";"  443 (  0.9) ";"  461 (  0.9) ";" 0.541";""
"cancer_dx_leukemia = 1 (%)";" 1244 (  2.4) ";" 1259 (  2.5) ";" 0.722";""
"cancer_dx_myeloma = 1 (%)";"  538 (  1.1) ";"  462 (  0.9) ";" 0.019";""
"cancer_dx_lymphoma = 1 (%)";" 1540 (  3.0) ";" 1430 (  2.8) ";" 0.051";""
"cancer_dx_other = 1 (%)";" 1227 (  2.4) ";" 1234 (  2.4) ";" 0.846";""
"cancer_dx_other_2 = 1 (%)";" 4090 (  8.0) ";" 4019 (  7.9) ";" 0.499";""
"cancer_dx_undefined = 1 (%)";" 2110 (  4.2) ";" 2125 (  4.2) ";" 0.752";""
"cancer_group_gastro_intestinal = 1 (%)";"10217 ( 20.1) ";"10093 ( 19.9) ";" 0.462";""
"cancer_group_genito_urinary = 1 (%)";"15034 ( 29.6) ";"15159 ( 29.9) ";" 0.250";""
"cancer_group_thyroid = 1 (%)";"  852 (  1.7) ";"  828 (  1.6) ";" 0.613";""
"cancer_group_breast = 1 (%)";" 8909 ( 17.5) ";" 9135 ( 18.0) ";" 0.039";""
"cancer_group_sarcomas = 1 (%)";"  512 (  1.0) ";"  546 (  1.1) ";" 0.286";""
"cancer_group_thorax = 1 (%)";" 2799 (  5.5) ";" 2607 (  5.1) ";" 0.010";""
"cancer_group_gynecology = 1 (%)";" 2667 (  5.2) ";" 2495 (  4.9) ";" 0.019";""
"cancer_group_head_neck = 1 (%)";" 1598 (  3.1) ";" 1528 (  3.0) ";" 0.241";""
"cancer_group_hemathological = 1 (%)";" 3306 (  6.5) ";" 3099 (  6.1) ";" 0.011";""
"cancer_group_skin = 1 (%)";" 2526 (  5.0) ";" 2817 (  5.6) ";"<0.001";""
"cancer_group_CNS = 1 (%)";"  453 (  0.9) ";"  436 (  0.9) ";" 0.620";""
"cancer_group_undefined = 1 (%)";" 1137 (  2.2) ";" 1044 (  2.1) ";" 0.054";""
"cancer_group_nasopharynx = 1 (%)";"   21 (  0.0) ";"   29 (  0.1) ";" 0.317";""
"cancer_group_neuroendocrine = 1 (%)";"  245 (  0.5) ";"  230 (  0.5) ";" 0.540";""
"cancer_group_other = 1 (%)";"  342 (  0.7) ";"  362 (  0.7) ";" 0.449";""
"cancer_group_other_2 = 1 (%)";" 4090 (  8.0) ";" 4019 (  7.9) ";" 0.499";""
"charlson_index (median [IQR])";" 3.00 [2.00, 5.00]";" 3.00 [2.00, 5.00]";" 0.010";"nonnorm"
"CCI_Rheumatologic_Disease = 1 (%)";" 1492 (  2.9) ";" 1606 (  3.2) ";" 0.032";""
"CCI_Any_Malignancy = 1 (%)";"50813 (100.0) ";"50667 (100.0) ";"    NA";""
"CCI_Metastatic_Solid_Tumor = 1 (%)";" 6399 ( 12.6) ";" 5951 ( 11.7) ";"<0.001";""
"CCI_Diabetes_Mild = 1 (%)";"12621 ( 24.8) ";"12498 ( 24.7) ";" 0.532";""
"CCI_Mild_Liver_Disease = 1 (%)";" 1527 (  3.0) ";" 1415 (  2.8) ";" 0.046";""
"CCI_Peptic_Ulcer_Disease = 1 (%)";" 2944 (  5.8) ";" 3077 (  6.1) ";" 0.062";""
"CCI_Chronic_Pulmonary_Disease = 1 (%)";" 9661 ( 19.0) ";" 9576 ( 18.9) ";" 0.652";""
"CCI_Renal_Disease = 1 (%)";" 9404 ( 18.5) ";" 9299 ( 18.4) ";" 0.533";""
"CCI_Cerebrovascular_Disease = 1 (%)";" 3665 (  7.2) ";" 3579 (  7.1) ";" 0.363";""
"CCI_Diabetes_With_Complications = 1 (%)";" 3514 (  6.9) ";" 3399 (  6.7) ";" 0.195";""
"CCI_Congestive_Heart_Failure = 1 (%)";" 4292 (  8.4) ";" 4226 (  8.3) ";" 0.550";""
"CCI_Dementia = 1 (%)";" 1467 (  2.9) ";" 1418 (  2.8) ";" 0.408";""
"CCI_Peripheral_Artery_Disease = 1 (%)";" 2942 (  5.8) ";" 2907 (  5.7) ";" 0.730";""
"CCI_Myocardial_Infarction = 1 (%)";" 2546 (  5.0) ";" 2532 (  5.0) ";" 0.935";""
"CCI_Moderate_Severe_Liver_Disease = 1 (%)";"  696 (  1.4) ";"  633 (  1.2) ";" 0.097";""
"CCI_Hemiplegia_Paraplegia = 1 (%)";"  689 (  1.4) ";"  681 (  1.3) ";" 0.891";""
"CCI_AIDS = 1 (%)";"  187 (  0.4) ";"  187 (  0.4) ";" 1.000";""
"n_visits_outpatient (mean (SD))";" 7.25 (8.39)";" 7.44 (8.65)";" 0.001";""
"n_visits_telehealth (mean (SD))";" 7.68 (8.27)";" 7.95 (8.49)";"<0.001";""
"visits_outpatient_cat (%)";"";"";"<0.001";""
"   0";" 4627 (  9.1) ";" 4038 (  8.0) ";"";""
"   1";" 4842 (  9.5) ";" 4822 (  9.5) ";"";""
"   2";" 4827 (  9.5) ";" 4707 (  9.3) ";"";""
"   3+";"36517 ( 71.9) ";"37100 ( 73.2) ";"";""
