"0";"1";"p";"test"
"   Gironès Nord i Pla de l'Estany";" 1685 (  2.5) ";" 1799 (  2.5) ";"";""
"   Gironès Sud i Selva Interior";"  959 (  1.4) ";" 1021 (  1.4) ";"";""
"   L'Hospitalet Sud i el Prat de Llobregat";" 2907 (  4.2) ";" 2993 (  4.1) ";"";""
"   Lleida";" 3893 (  5.7) ";" 4125 (  5.6) ";"";""
"   Maresme Central";" 2466 (  3.6) ";" 2609 (  3.6) ";"";""
"   Montsià";"  704 (  1.0) ";"  767 (  1.0) ";"";""
"   Osona";" 1203 (  1.8) ";" 1271 (  1.7) ";"";""
"   Pallars";"  176 (  0.3) ";"  196 (  0.3) ";"";""
"   Ripollès";"  155 (  0.2) ";"  171 (  0.2) ";"";""
"   Selva Marítima";"  415 (  0.6) ";"  440 (  0.6) ";"";""
"   Tarragonès";" 1824 (  2.7) ";" 1947 (  2.7) ";"";""
"   Vallès Occidental Est";" 4946 (  7.2) ";" 5191 (  7.1) ";"";""
"   Vallès Occidental Oest";"  271 (  0.4) ";"  307 (  0.4) ";"";""
"   Vallès Oriental Central";" 2689 (  3.9) ";" 2816 (  3.8) ";"";""
"   NA";"   15 (  0.0) ";"   26 (  0.0) ";"";""
"vac_concept_id_1 (%)";"";"";"<0.001";""
"   Pfizer-mRNA-BNT162b";"32587 ( 47.5) ";"42044 ( 57.4) ";"";""
"   Moderna-mRNA-1273";" 8314 ( 12.1) ";"15012 ( 20.5) ";"";""
"   AZ-ChAdOx1";" 7497 ( 10.9) ";"13506 ( 18.5) ";"";""
"   Jansen-Ad26";" 3406 (  5.0) ";" 2635 (  3.6) ";"";""
"   NA";"16769 ( 24.5) ";"    0 (  0.0) ";"";""
"vac_concept_id_2 (%)";"";"";"   NaN";""
"   Pfizer-mRNA-BNT162b";"31975 ( 46.6) ";"41952 ( 57.3) ";"";""
"   Moderna-mRNA-1273";" 8009 ( 11.7) ";"14717 ( 20.1) ";"";""
"   AZ-ChAdOx1";" 7265 ( 10.6) ";"13088 ( 17.9) ";"";""
"   Jansen-Ad26";"    0 (  0.0) ";"    0 (  0.0) ";"";""
"   NA";"21324 ( 31.1) ";" 3440 (  4.7) ";"";""
"vac_concept_id_3 (%)";"";"";"   NaN";""
"   Pfizer-mRNA-BNT162b";" 5441 (  7.9) ";" 9700 ( 13.3) ";"";""
"   Moderna-mRNA-1273";" 2640 (  3.8) ";" 6398 (  8.7) ";"";""
"   AZ-ChAdOx1";"    2 (  0.0) ";"    2 (  0.0) ";"";""
"   Jansen-Ad26";"    0 (  0.0) ";"    0 (  0.0) ";"";""
"   NA";"60490 ( 88.2) ";"57097 ( 78.0) ";"";""
"vac_scheme (%)";"";"";"<0.001";""
"   AZ-ChAdOx1-AZ-ChAdOx1";" 7264 ( 10.6) ";"13087 ( 17.9) ";"";""
"   AZ-ChAdOx1-Moderna-mRNA-1273";"    1 (  0.0) ";"    4 (  0.0) ";"";""
"   AZ-ChAdOx1-NA";"  161 (  0.2) ";"  183 (  0.3) ";"";""
"   AZ-ChAdOx1-Pfizer-mRNA-BNT162b";"   71 (  0.1) ";"  232 (  0.3) ";"";""
"   Jansen-Ad26-Moderna-mRNA-1273";"   57 (  0.1) ";"   59 (  0.1) ";"";""
"   Jansen-Ad26-NA";" 3065 (  4.5) ";" 2278 (  3.1) ";"";""
"   Jansen-Ad26-Pfizer-mRNA-BNT162b";"  284 (  0.4) ";"  298 (  0.4) ";"";""
"   Moderna-mRNA-1273-AZ-ChAdOx1";"    1 (  0.0) ";"    1 (  0.0) ";"";""
"   Moderna-mRNA-1273-Moderna-mRNA-1273";" 7945 ( 11.6) ";"14647 ( 20.0) ";"";""
"   Moderna-mRNA-1273-NA";"  366 (  0.5) ";"  357 (  0.5) ";"";""
"   Moderna-mRNA-1273-Pfizer-mRNA-BNT162b";"    2 (  0.0) ";"    7 (  0.0) ";"";""
"   NA-NA";"16769 ( 24.5) ";"    0 (  0.0) ";"";""
"   Pfizer-mRNA-BNT162b-Moderna-mRNA-1273";"    6 (  0.0) ";"    7 (  0.0) ";"";""
"   Pfizer-mRNA-BNT162b-NA";"  963 (  1.4) ";"  622 (  0.8) ";"";""
"   Pfizer-mRNA-BNT162b-Pfizer-mRNA-BNT162b";"31618 ( 46.1) ";"41415 ( 56.6) ";"";""
"vac_heterologous (mean (SD))";" 0.32 (0.47)";" 0.06 (0.23)";"<0.001";""
"cancer_diagnosis_time (%)";"";"";" 0.004";""
"   0";"20982 ( 30.6) ";"21712 ( 29.7) ";"";""
"   1";"13749 ( 20.1) ";"14802 ( 20.2) ";"";""
"   2";"12190 ( 17.8) ";"13144 ( 18.0) ";"";""
"   3";"11117 ( 16.2) ";"12054 ( 16.5) ";"";""
"   4";"10535 ( 15.4) ";"11485 ( 15.7) ";"";""
"cancer_dx_breast = 1 (%)";"11279 ( 16.4) ";"12478 ( 17.0) ";" 0.003";""
"cancer_dx_prostate = 1 (%)";" 8153 ( 11.9) ";" 8551 ( 11.7) ";" 0.229";""
"cancer_dx_colorectal = 1 (%)";" 9569 ( 14.0) ";"10025 ( 13.7) ";" 0.161";""
"cancer_dx_lung = 1 (%)";" 4354 (  6.3) ";" 4547 (  6.2) ";" 0.291";""
"cancer_dx_head_neck = 1 (%)";" 2157 (  3.1) ";" 2194 (  3.0) ";" 0.109";""
"cancer_dx_endometrium = 1 (%)";" 1490 (  2.2) ";" 1501 (  2.1) ";" 0.114";""
"cancer_dx_cervix_uterus = 1 (%)";" 1540 (  2.2) ";" 1443 (  2.0) ";"<0.001";""
"cancer_dx_bladder = 1 (%)";" 6522 (  9.5) ";" 6878 (  9.4) ";" 0.467";""
"cancer_dx_liver_biliary = 1 (%)";" 1428 (  2.1) ";" 1457 (  2.0) ";" 0.228";""
"cancer_dx_melanoma = 1 (%)";" 2505 (  3.7) ";" 2798 (  3.8) ";" 0.096";""
"cancer_dx_pancreas = 1 (%)";" 1182 (  1.7) ";" 1177 (  1.6) ";" 0.093";""
"cancer_dx_kidney = 1 (%)";" 2514 (  3.7) ";" 2713 (  3.7) ";" 0.698";""
"cancer_dx_gastric = 1 (%)";" 1290 (  1.9) ";" 1263 (  1.7) ";" 0.029";""
"cancer_dx_esophagus = 1 (%)";"  433 (  0.6) ";"  433 (  0.6) ";" 0.353";""
"cancer_dx_testis = 1 (%)";"  443 (  0.6) ";"  469 (  0.6) ";" 0.927";""
"cancer_dx_thyroid = 1 (%)";" 1344 (  2.0) ";" 1354 (  1.8) ";" 0.134";""
"cancer_dx_CNS = 1 (%)";"  672 (  1.0) ";"  757 (  1.0) ";" 0.320";""
"cancer_dx_neuroendocrine = 1 (%)";"  336 (  0.5) ";"  369 (  0.5) ";" 0.734";""
"cancer_dx_sarcomas = 1 (%)";"  752 (  1.1) ";"  757 (  1.0) ";" 0.263";""
"cancer_dx_leukemia = 1 (%)";" 1604 (  2.3) ";" 1865 (  2.5) ";" 0.012";""
"cancer_dx_myeloma = 1 (%)";"  698 (  1.0) ";"  945 (  1.3) ";"<0.001";""
"cancer_dx_lymphoma = 1 (%)";" 2283 (  3.3) ";" 2567 (  3.5) ";" 0.068";""
"cancer_dx_other = 1 (%)";" 1777 (  2.6) ";" 1871 (  2.6) ";" 0.687";""
"cancer_dx_other_2 = 1 (%)";" 5541 (  8.1) ";" 5981 (  8.2) ";" 0.539";""
"cancer_dx_undefined = 1 (%)";" 6166 (  9.0) ";" 6781 (  9.3) ";" 0.077";""
"cancer_group_gastro_intestinal = 1 (%)";"13730 ( 20.0) ";"14255 ( 19.5) ";" 0.010";""
"cancer_group_genito_urinary = 1 (%)";"16919 ( 24.7) ";"17822 ( 24.3) ";" 0.157";""
"cancer_group_thyroid = 1 (%)";" 1344 (  2.0) ";" 1354 (  1.8) ";" 0.134";""
"cancer_group_breast = 1 (%)";"11279 ( 16.4) ";"12478 ( 17.0) ";" 0.003";""
"cancer_group_sarcomas = 1 (%)";"  879 (  1.3) ";"  901 (  1.2) ";" 0.403";""
"cancer_group_thorax = 1 (%)";" 4542 (  6.6) ";" 4761 (  6.5) ";" 0.371";""
"cancer_group_gynecology = 1 (%)";" 3739 (  5.5) ";" 3682 (  5.0) ";"<0.001";""
"cancer_group_head_neck = 1 (%)";" 2157 (  3.1) ";" 2194 (  3.0) ";" 0.109";""
"cancer_group_hemathological = 1 (%)";" 4497 (  6.6) ";" 5263 (  7.2) ";"<0.001";""
"cancer_group_skin = 1 (%)";" 6345 (  9.3) ";" 7084 (  9.7) ";" 0.006";""
"cancer_group_CNS = 1 (%)";"  843 (  1.2) ";"  942 (  1.3) ";" 0.343";""
"cancer_group_undefined = 1 (%)";" 1676 (  2.4) ";" 1780 (  2.4) ";" 0.894";""
"cancer_group_nasopharynx = 1 (%)";"   52 (  0.1) ";"   55 (  0.1) ";" 1.000";""
"cancer_group_neuroendocrine = 1 (%)";"  336 (  0.5) ";"  369 (  0.5) ";" 0.734";""
"cancer_group_other = 1 (%)";"  533 (  0.8) ";"  529 (  0.7) ";" 0.246";""
"cancer_group_other_2 = 1 (%)";" 5541 (  8.1) ";" 5981 (  8.2) ";" 0.539";""
"charlson_index (median [IQR])";" 3.00 [2.00, 6.00]";" 3.00 [2.00, 6.00]";" 0.607";"nonnorm"
"CCI_Rheumatologic_Disease = 1 (%)";" 2094 (  3.1) ";" 2238 (  3.1) ";" 0.979";""
"CCI_Any_Malignancy = 1 (%)";"68573 (100.0) ";"73197 (100.0) ";"    NA";""
"CCI_Metastatic_Solid_Tumor = 1 (%)";"11175 ( 16.3) ";"11781 ( 16.1) ";" 0.307";""
"CCI_Diabetes_Mild = 1 (%)";"15622 ( 22.8) ";"16766 ( 22.9) ";" 0.583";""
"CCI_Mild_Liver_Disease = 1 (%)";" 2512 (  3.7) ";" 2533 (  3.5) ";" 0.041";""
"CCI_Peptic_Ulcer_Disease = 1 (%)";" 4138 (  6.0) ";" 4454 (  6.1) ";" 0.699";""
"CCI_Chronic_Pulmonary_Disease = 1 (%)";"13150 ( 19.2) ";"13973 ( 19.1) ";" 0.682";""
"CCI_Renal_Disease = 1 (%)";"12092 ( 17.6) ";"13049 ( 17.8) ";" 0.344";""
"CCI_Cerebrovascular_Disease = 1 (%)";" 4721 (  6.9) ";" 4973 (  6.8) ";" 0.506";""
"CCI_Diabetes_With_Complications = 1 (%)";" 4595 (  6.7) ";" 5014 (  6.9) ";" 0.269";""
"CCI_Congestive_Heart_Failure = 1 (%)";" 5805 (  8.5) ";" 6379 (  8.7) ";" 0.096";""
"CCI_Dementia = 1 (%)";" 1750 (  2.6) ";" 1863 (  2.5) ";" 0.948";""
"CCI_Peripheral_Artery_Disease = 1 (%)";" 3869 (  5.6) ";" 4148 (  5.7) ";" 0.849";""
"CCI_Myocardial_Infarction = 1 (%)";" 3306 (  4.8) ";" 3562 (  4.9) ";" 0.701";""
"CCI_Moderate_Severe_Liver_Disease = 1 (%)";" 1273 (  1.9) ";" 1405 (  1.9) ";" 0.394";""
"CCI_Hemiplegia_Paraplegia = 1 (%)";" 1045 (  1.5) ";" 1152 (  1.6) ";" 0.460";""
"CCI_AIDS = 1 (%)";"  449 (  0.7) ";"  420 (  0.6) ";" 0.055";""
"n_visits_outpatient (mean (SD))";" 7.82 (8.88)";" 7.76 (8.73)";" 0.249";""
"n_visits_telehealth (mean (SD))";" 8.36 (9.10)";" 8.69 (9.30)";"<0.001";""
"visits_outpatient_cat (%)";"";"";" 0.004";""
"   0";" 5995 (  8.7) ";" 6030 (  8.2) ";"";""
"   1";" 5916 (  8.6) ";" 6474 (  8.8) ";"";""
"   2";" 6031 (  8.8) ";" 6510 (  8.9) ";"";""
"   3+";"50631 ( 73.8) ";"54183 ( 74.0) ";"";""
