"age_group";"vac_number";"vac_exposure_date";"n";"n_total";"cum_sum"
"18-49";"Dose One";2021-02-08;10;19154;0.0331001357418816
"18-49";"Dose One";2021-02-09;5;19154;0.0333611778218649
"18-49";"Dose One";2021-02-10;54;19154;0.0361804322856845
"18-49";"Dose One";2021-02-11;54;19154;0.038999686749504
"18-49";"Dose One";2021-02-12;73;19154;0.0428109011172601
"18-49";"Dose One";2021-02-13;8;19154;0.0432285684452334
"18-49";"Dose One";2021-02-14;4;19154;0.04343740210922
"18-49";"Dose One";2021-02-15;35;19154;0.0452646966691031
"18-49";"Dose One";2021-02-16;35;19154;0.0470919912289861
"18-49";"Dose One";2021-02-17;61;19154;0.0502767046047823
"18-49";"Dose One";2021-02-18;73;19154;0.0540879189725384
"18-49";"Dose One";2021-02-19;74;19154;0.0579513417562911
"18-49";"Dose One";2021-02-20;3;19154;0.0581079670042811
"18-49";"Dose One";2021-02-21;1;19154;0.0581601754202778
"18-49";"Dose One";2021-02-22;47;19154;0.0606139709721207
"18-49";"Dose One";2021-02-23;73;19154;0.0644251853398768
"18-49";"Dose One";2021-02-24;93;19154;0.069280568027566
"18-49";"Dose One";2021-02-25;98;19154;0.0743969927952386
"18-49";"Dose One";2021-02-26;84;19154;0.0787824997389579
"18-49";"Dose One";2021-02-27;17;19154;0.0796700428109011
"18-49";"Dose One";2021-02-28;4;19154;0.0798788764748878
"18-49";"Dose One";2021-03-01;17;19154;0.0807664195468309
"18-49";"Dose One";2021-03-02;33;19154;0.0824892972747207
"18-49";"Dose One";2021-03-03;39;19154;0.0845254254985904
"18-49";"Dose One";2021-03-04;80;19154;0.0887020987783231
"18-49";"Dose One";2021-03-05;79;19154;0.0928265636420591
"18-49";"Dose One";2021-03-06;10;19154;0.0933486478020257
"18-49";"Dose One";2021-03-07;7;19154;0.0937141067140023
"18-49";"Dose One";2021-03-08;49;19154;0.0962723190978386
"18-49";"Dose One";2021-03-09;53;19154;0.0990393651456615
"18-49";"Dose One";2021-03-10;69;19154;0.102641745849431
"18-49";"Dose One";2021-03-11;34;19154;0.104416831993317
"18-49";"Dose One";2021-03-12;33;19154;0.106139709721207
"18-49";"Dose One";2021-03-13;10;19154;0.106661793881174
"18-49";"Dose One";2021-03-14;1;19154;0.10671400229717
"18-49";"Dose One";2021-03-15;22;19154;0.107862587449097
"18-49";"Dose One";2021-03-16;5;19154;0.10812362952908
"18-49";"Dose One";2021-03-17;23;19154;0.109324423097003
"18-49";"Dose One";2021-03-18;37;19154;0.11125613448888
"18-49";"Dose One";2021-03-19;42;19154;0.113448887960739
"18-49";"Dose One";2021-03-22;79;19154;0.117573352824475
"18-49";"Dose One";2021-03-23;43;19154;0.119818314712332
"18-49";"Dose One";2021-03-24;80;19154;0.123994987992064
"18-49";"Dose One";2021-03-25;102;19154;0.129320246423724
"18-49";"Dose One";2021-03-26;125;19154;0.135846298423306
"18-49";"Dose One";2021-03-27;3;19154;0.136002923671296
"18-49";"Dose One";2021-03-29;91;19154;0.140753889526992
"18-49";"Dose One";2021-03-30;108;19154;0.146392398454631
"18-49";"Dose One";2021-03-31;86;19154;0.150882322230344
"18-49";"Dose One";2021-04-01;35;19154;0.152709616790227
"18-49";"Dose One";2021-04-02;6;19154;0.153022867286207
"18-49";"Dose One";2021-04-03;4;19154;0.153231700950193
"18-49";"Dose One";2021-04-04;2;19154;0.153336117782186
"18-49";"Dose One";2021-04-05;2;19154;0.15344053461418
"18-49";"Dose One";2021-04-06;65;19154;0.156834081653963
"18-49";"Dose One";2021-04-07;68;19154;0.160384253941735
"18-49";"Dose One";2021-04-08;65;19154;0.163777800981518
"18-49";"Dose One";2021-04-09;64;19154;0.167119139605304
"18-49";"Dose One";2021-04-10;9;19154;0.167589015349274
"18-49";"Dose One";2021-04-12;55;19154;0.170460478229091
"18-49";"Dose One";2021-04-13;45;19154;0.17280985694894
"18-49";"Dose One";2021-04-14;59;19154;0.175890153492743
"18-49";"Dose One";2021-04-15;55;19154;0.178761616372559
"18-49";"Dose One";2021-04-16;40;19154;0.180849953012426
"18-49";"Dose One";2021-04-17;16;19154;0.181685287668372
"18-49";"Dose One";2021-04-19;47;19154;0.184139083220215
"18-49";"Dose One";2021-04-20;59;19154;0.187219379764018
"18-49";"Dose One";2021-04-21;38;19154;0.189203299571891
"18-49";"Dose One";2021-04-22;48;19154;0.191709303539731
"18-49";"Dose One";2021-04-23;29;19154;0.193223347603634
"18-49";"Dose One";2021-04-24;10;19154;0.1937454317636
"18-49";"Dose One";2021-04-25;4;19154;0.193954265427587
"18-49";"Dose One";2021-04-26;39;19154;0.195990393651457
"18-49";"Dose One";2021-04-27;51;19154;0.198653022867286
"18-49";"Dose One";2021-04-28;36;19154;0.200532525843166
"18-49";"Dose One";2021-04-29;47;19154;0.202986321395009
"18-49";"Dose One";2021-04-30;42;19154;0.205179074866869
"18-49";"Dose One";2021-05-01;1;19154;0.205231283282865
"18-49";"Dose One";2021-05-02;1;19154;0.205283491698862
"18-49";"Dose One";2021-05-03;38;19154;0.207267411506735
"18-49";"Dose One";2021-05-04;32;19154;0.208938080818628
"18-49";"Dose One";2021-05-05;27;19154;0.210347708050538
"18-49";"Dose One";2021-05-06;29;19154;0.211861752114441
"18-49";"Dose One";2021-05-07;41;19154;0.214002297170304
"18-49";"Dose One";2021-05-08;3;19154;0.214158922418294
"18-49";"Dose One";2021-05-10;20;19154;0.215203090738227
"18-49";"Dose One";2021-05-11;33;19154;0.216925968466117
"18-49";"Dose One";2021-05-12;31;19154;0.218544429362013
"18-49";"Dose One";2021-05-13;39;19154;0.220580557585883
"18-49";"Dose One";2021-05-14;41;19154;0.222721102641746
"18-49";"Dose One";2021-05-15;6;19154;0.223034353137726
"18-49";"Dose One";2021-05-16;4;19154;0.223243186801712
"18-49";"Dose One";2021-05-17;26;19154;0.224600605617626
"18-49";"Dose One";2021-05-18;92;19154;0.229403779889318
"18-49";"Dose One";2021-05-19;90;19154;0.234102537329017
"18-49";"Dose One";2021-05-20;94;19154;0.239010128432703
"18-49";"Dose One";2021-05-21;70;19154;0.242664717552469
"18-49";"Dose One";2021-05-22;17;19154;0.243552260624413
"18-49";"Dose One";2021-05-23;9;19154;0.244022136368383
"18-49";"Dose One";2021-05-24;6;19154;0.244335386864363
"18-49";"Dose One";2021-05-25;62;19154;0.247572308656155
"18-49";"Dose One";2021-05-26;62;19154;0.250809230447948
"18-49";"Dose One";2021-05-27;71;19154;0.254516027983711
"18-49";"Dose One";2021-05-28;41;19154;0.256656573039574
"18-49";"Dose One";2021-05-29;13;19154;0.257335282447531
"18-49";"Dose One";2021-05-30;11;19154;0.257909575023494
"18-49";"Dose One";2021-05-31;37;19154;0.25984128641537
"18-49";"Dose One";2021-06-01;38;19154;0.261825206223243
"18-49";"Dose One";2021-06-02;55;19154;0.264696669103059
"18-49";"Dose One";2021-06-03;90;19154;0.269395426542759
"18-49";"Dose One";2021-06-04;108;19154;0.275033935470398
"18-49";"Dose One";2021-06-05;109;19154;0.280724652814034
"18-49";"Dose One";2021-06-06;65;19154;0.284118199853816
"18-49";"Dose One";2021-06-07;304;19154;0.299989558316801
"18-49";"Dose One";2021-06-08;260;19154;0.313563746475932
"18-49";"Dose One";2021-06-09;296;19154;0.329017437610943
"18-49";"Dose One";2021-06-10;305;19154;0.344941004489924
"18-49";"Dose One";2021-06-11;384;19154;0.364989036232641
"18-49";"Dose One";2021-06-12;207;19154;0.375796178343949
"18-49";"Dose One";2021-06-13;88;19154;0.380390518951655
"18-49";"Dose One";2021-06-14;398;19154;0.401169468518325
"18-49";"Dose One";2021-06-15;384;19154;0.421217500261042
"18-49";"Dose One";2021-06-16;361;19154;0.440064738435836
"18-49";"Dose One";2021-06-17;301;19154;0.45577947165083
"18-49";"Dose One";2021-06-18;370;19154;0.475096585569594
"18-49";"Dose One";2021-06-19;191;19154;0.485068393024956
"18-49";"Dose One";2021-06-20;98;19154;0.490184817792628
"18-49";"Dose One";2021-06-21;275;19154;0.504542132191709
"18-49";"Dose One";2021-06-22;358;19154;0.523232745118513
"18-49";"Dose One";2021-06-23;224;19154;0.534927430301765
"18-49";"Dose One";2021-06-24;75;19154;0.538843061501514
"18-49";"Dose One";2021-06-25;196;19154;0.549075911036859
"18-49";"Dose One";2021-06-26;99;19154;0.554244544220528
"18-49";"Dose One";2021-06-27;119;19154;0.560457345724131
"18-49";"Dose One";2021-06-28;195;19154;0.570637986843479
"18-49";"Dose One";2021-06-29;220;19154;0.582123838362744
"18-49";"Dose One";2021-06-30;221;19154;0.593661898298006
"18-49";"Dose One";2021-07-01;171;19154;0.602589537433434
"18-49";"Dose One";2021-07-02;217;19154;0.613918763704709
"18-49";"Dose One";2021-07-03;81;19154;0.618147645400439
"18-49";"Dose One";2021-07-04;93;19154;0.623003028088128
"18-49";"Dose One";2021-07-05;118;19154;0.629163621175734
"18-49";"Dose One";2021-07-06;113;19154;0.635063172183356
"18-49";"Dose One";2021-07-07;101;19154;0.640336222199019
"18-49";"Dose One";2021-07-08;137;19154;0.647488775190561
"18-49";"Dose One";2021-07-09;95;19154;0.652448574710243
"18-49";"Dose One";2021-07-10;63;19154;0.655737704918033
"18-49";"Dose One";2021-07-11;47;19154;0.658191500469876
"18-49";"Dose One";2021-07-12;73;19154;0.662002714837632
"18-49";"Dose One";2021-07-13;60;19154;0.665135219797431
"18-49";"Dose One";2021-07-14;102;19154;0.67046047822909
"18-49";"Dose One";2021-07-15;155;19154;0.678552782708573
"18-49";"Dose One";2021-07-16;84;19154;0.682938289652292
"18-49";"Dose One";2021-07-17;26;19154;0.684295708468205
"18-49";"Dose One";2021-07-18;16;19154;0.685131043124152
"18-49";"Dose One";2021-07-19;36;19154;0.687010546100031
"18-49";"Dose One";2021-07-20;66;19154;0.690456301555811
"18-49";"Dose One";2021-07-21;51;19154;0.69311893077164
"18-49";"Dose One";2021-07-22;78;19154;0.69719118721938
"18-49";"Dose One";2021-07-23;80;19154;0.701367860499112
"18-49";"Dose One";2021-07-24;34;19154;0.703142946642999
"18-49";"Dose One";2021-07-25;16;19154;0.703978281298945
"18-49";"Dose One";2021-07-26;54;19154;0.706797535762765
"18-49";"Dose One";2021-07-27;90;19154;0.711496293202464
"18-49";"Dose One";2021-07-28;86;19154;0.715986216978177
"18-49";"Dose One";2021-07-29;100;19154;0.721207058577843
"18-49";"Dose One";2021-07-30;87;19154;0.725749190769552
"18-49";"Dose One";2021-07-31;22;19154;0.726897775921479
"18-49";"Dose One";2021-08-01;14;19154;0.727628693745432
"18-49";"Dose One";2021-08-02;51;19154;0.730291322961261
"18-49";"Dose One";2021-08-03;118;19154;0.736451916048867
"18-49";"Dose One";2021-08-04;88;19154;0.741046256656573
"18-49";"Dose One";2021-08-05;77;19154;0.745066304688316
"18-49";"Dose One";2021-08-06;61;19154;0.748251018064112
"18-49";"Dose One";2021-08-07;24;19154;0.749504020048032
"18-49";"Dose One";2021-08-08;12;19154;0.750130521039992
"18-49";"Dose One";2021-08-09;41;19154;0.752271066095855
"18-49";"Dose One";2021-08-10;42;19154;0.754463819567714
"18-49";"Dose One";2021-08-11;41;19154;0.756604364623577
"18-49";"Dose One";2021-08-12;52;19154;0.759319202255404
"18-49";"Dose One";2021-08-13;60;19154;0.762451707215203
"18-49";"Dose One";2021-08-14;28;19154;0.76391354286311
"18-49";"Dose One";2021-08-15;4;19154;0.764122376527096
"18-49";"Dose One";2021-08-16;48;19154;0.766628380494936
"18-49";"Dose One";2021-08-17;41;19154;0.768768925550799
"18-49";"Dose One";2021-08-18;21;19154;0.769865302286729
"18-49";"Dose One";2021-08-19;43;19154;0.772110264174585
"18-49";"Dose One";2021-08-20;43;19154;0.774355226062441
"18-49";"Dose One";2021-08-21;7;19154;0.774720684974418
"18-49";"Dose One";2021-08-22;1;19154;0.774772893390415
"18-49";"Dose One";2021-08-23;23;19154;0.775973686958338
"18-49";"Dose One";2021-08-24;22;19154;0.777122272110264
"18-49";"Dose One";2021-08-25;25;19154;0.778427482510181
"18-49";"Dose One";2021-08-26;22;19154;0.779576067662107
"18-49";"Dose One";2021-08-27;15;19154;0.780359193902057
"18-49";"Dose One";2021-08-28;5;19154;0.78062023598204
"18-49";"Dose One";2021-08-29;1;19154;0.780672444398037
"18-49";"Dose One";2021-08-30;13;19154;0.781351153805994
"18-49";"Dose One";2021-08-31;18;19154;0.782290905293933
"18-49";"Dose One";2021-09-01;18;19154;0.783230656781873
"18-49";"Dose One";2021-09-02;24;19154;0.784483658765793
"18-49";"Dose One";2021-09-03;15;19154;0.785266785005743
"18-49";"Dose One";2021-09-04;6;19154;0.785580035501723
"18-49";"Dose One";2021-09-05;4;19154;0.78578886916571
"18-49";"Dose One";2021-09-06;16;19154;0.786624203821656
"18-49";"Dose One";2021-09-07;26;19154;0.787981622637569
"18-49";"Dose One";2021-09-08;26;19154;0.789339041453482
"18-49";"Dose One";2021-09-09;35;19154;0.791166336013365
"18-49";"Dose One";2021-09-10;20;19154;0.792210504333299
"18-49";"Dose One";2021-09-11;6;19154;0.792523754829279
"18-49";"Dose One";2021-09-12;2;19154;0.792628171661272
"18-49";"Dose One";2021-09-13;17;19154;0.793515714733215
"18-49";"Dose One";2021-09-14;19;19154;0.794507674637152
"18-49";"Dose One";2021-09-15;18;19154;0.795447426125091
"18-49";"Dose One";2021-09-16;18;19154;0.796387177613031
"18-49";"Dose One";2021-09-17;24;19154;0.797640179596951
"18-49";"Dose One";2021-09-18;4;19154;0.797849013260938
"18-49";"Dose One";2021-09-19;3;19154;0.798005638508928
"18-49";"Dose One";2021-09-20;14;19154;0.798736556332881
"18-49";"Dose One";2021-09-21;16;19154;0.799571890988827
"18-49";"Dose One";2021-09-22;17;19154;0.800459434060771
"18-49";"Dose One";2021-09-23;17;19154;0.801346977132714
"18-49";"Dose One";2021-09-24;9;19154;0.801816852876684
"18-49";"Dose One";2021-09-25;2;19154;0.801921269708677
"18-49";"Dose One";2021-09-26;1;19154;0.801973478124674
"18-49";"Dose One";2021-09-27;16;19154;0.80280881278062
"18-49";"Dose One";2021-09-28;11;19154;0.803383105356584
"18-49";"Dose One";2021-09-29;15;19154;0.804166231596533
"18-49";"Dose One";2021-09-30;13;19154;0.80484494100449
"18-49";"Dose One";2021-10-01;8;19154;0.805262608332463
"18-49";"Dose One";2021-10-02;1;19154;0.80531481674846
"18-49";"Dose One";2021-10-04;8;19154;0.805732484076433
"18-49";"Dose One";2021-10-05;8;19154;0.806150151404406
"18-49";"Dose One";2021-10-06;5;19154;0.80641119348439
"18-49";"Dose One";2021-10-07;19;19154;0.807403153388326
"18-49";"Dose One";2021-10-08;10;19154;0.807925237548293
"18-49";"Dose One";2021-10-09;3;19154;0.808081862796283
"18-49";"Dose One";2021-10-11;6;19154;0.808395113292263
"18-49";"Dose One";2021-10-13;9;19154;0.808864989036233
"18-49";"Dose One";2021-10-14;10;19154;0.809387073196199
"18-49";"Dose One";2021-10-15;10;19154;0.809909157356166
"18-49";"Dose One";2021-10-17;1;19154;0.809961365772162
"18-49";"Dose One";2021-10-18;5;19154;0.810222407852146
"18-49";"Dose One";2021-10-19;2;19154;0.810326824684139
"18-49";"Dose One";2021-10-20;11;19154;0.810901117260102
"18-49";"Dose One";2021-10-21;12;19154;0.811527618252062
"18-49";"Dose One";2021-10-22;8;19154;0.811945285580036
"18-49";"Dose One";2021-10-23;2;19154;0.812049702412029
"18-49";"Dose One";2021-10-25;6;19154;0.812362952908009
"18-49";"Dose One";2021-10-26;9;19154;0.812832828651979
"18-49";"Dose One";2021-10-27;7;19154;0.813198287563955
"18-49";"Dose One";2021-10-28;7;19154;0.813563746475932
"18-49";"Dose One";2021-10-29;8;19154;0.813981413803905
"18-49";"Dose One";2021-10-30;2;19154;0.814085830635898
"18-49";"Dose One";2021-10-31;1;19154;0.814138039051895
"18-49";"Dose One";2021-11-02;3;19154;0.814294664299885
"18-49";"Dose One";2021-11-03;5;19154;0.814555706379868
"18-49";"Dose One";2021-11-04;8;19154;0.814973373707842
"18-49";"Dose One";2021-11-05;2;19154;0.815077790539835
"18-49";"Dose One";2021-11-06;1;19154;0.815129998955832
"18-49";"Dose One";2021-11-08;4;19154;0.815338832619818
"18-49";"Dose One";2021-11-09;2;19154;0.815443249451812
"18-49";"Dose One";2021-11-10;5;19154;0.815704291531795
"18-49";"Dose One";2021-11-11;5;19154;0.815965333611778
"18-49";"Dose One";2021-11-12;2;19154;0.816069750443772
"18-49";"Dose One";2021-11-13;2;19154;0.816174167275765
"18-49";"Dose One";2021-11-14;3;19154;0.816330792523755
"18-49";"Dose One";2021-11-15;7;19154;0.816696251435731
"18-49";"Dose One";2021-11-16;9;19154;0.817166127179701
"18-49";"Dose One";2021-11-17;9;19154;0.817636002923671
"18-49";"Dose One";2021-11-18;9;19154;0.818105878667641
"18-49";"Dose One";2021-11-19;10;19154;0.818627962827608
"18-49";"Dose One";2021-11-20;1;19154;0.818680171243604
"18-49";"Dose One";2021-11-21;1;19154;0.818732379659601
"18-49";"Dose One";2021-11-22;2;19154;0.818836796491594
"18-49";"Dose One";2021-11-23;1;19154;0.818889004907591
"18-49";"Dose One";2021-11-24;13;19154;0.819567714315548
"18-49";"Dose One";2021-11-25;11;19154;0.820142006891511
"18-49";"Dose One";2021-11-26;14;19154;0.820872924715464
"18-49";"Dose One";2021-11-27;7;19154;0.821238383627441
"18-49";"Dose One";2021-11-28;4;19154;0.821447217291427
"18-49";"Dose One";2021-11-29;16;19154;0.822282551947374
"18-49";"Dose One";2021-11-30;16;19154;0.82311788660332
"18-49";"Dose One";2021-12-01;18;19154;0.82405763809126
"18-49";"Dose One";2021-12-02;14;19154;0.824788555915213
"18-49";"Dose One";2021-12-03;14;19154;0.825519473739167
"18-49";"Dose One";2021-12-04;7;19154;0.825884932651143
"18-49";"Dose One";2021-12-05;7;19154;0.82625039156312
"18-49";"Dose One";2021-12-06;3;19154;0.82640701681111
"18-49";"Dose One";2021-12-07;6;19154;0.82672026730709
"18-49";"Dose One";2021-12-08;1;19154;0.826772475723087
"18-49";"Dose One";2021-12-09;20;19154;0.82781664404302
"18-49";"Dose One";2021-12-10;13;19154;0.828495353450976
"18-49";"Dose One";2021-12-11;4;19154;0.828704187114963
"18-49";"Dose One";2021-12-12;4;19154;0.82891302077895
"18-49";"Dose One";2021-12-13;16;19154;0.829748355434896
"18-49";"Dose One";2021-12-14;15;19154;0.830531481674846
"18-49";"Dose One";2021-12-15;4;19154;0.830740315338833
"18-49";"Dose One";2021-12-16;15;19154;0.831523441578783
"18-49";"Dose One";2021-12-17;11;19154;0.832097734154746
"18-49";"Dose One";2021-12-18;5;19154;0.832358776234729
"18-49";"Dose One";2021-12-19;8;19154;0.832776443562702
"18-49";"Dose One";2021-12-20;8;19154;0.833194110890676
"18-49";"Dose One";2021-12-21;18;19154;0.834133862378615
"18-49";"Dose One";2021-12-22;7;19154;0.834499321290592
"18-49";"Dose One";2021-12-23;8;19154;0.834916988618565
"18-49";"Dose One";2021-12-24;4;19154;0.835125822282552
"18-49";"Dose One";2021-12-27;7;19154;0.835491281194529
"18-49";"Dose One";2021-12-28;7;19154;0.835856740106505
"18-49";"Dose One";2021-12-29;6;19154;0.836169990602485
"18-49";"Dose One";2021-12-30;7;19154;0.836535449514462
"18-49";"Dose One";2021-12-31;2;19154;0.836639866346455
"18-49";"Dose One";2022-01-02;1;19154;0.836692074762452
"18-49";"Dose One";2022-01-03;3;19154;0.836848700010442
"18-49";"Dose One";2022-01-04;4;19154;0.837057533674428
"18-49";"Dose One";2022-01-05;3;19154;0.837214158922418
"18-49";"Dose One";2022-01-07;4;19154;0.837422992586405
"18-49";"Dose One";2022-01-09;2;19154;0.837527409418398
"18-49";"Dose One";2022-01-10;5;19154;0.837788451498382
"18-49";"Dose One";2022-01-11;4;19154;0.837997285162368
"18-49";"Dose One";2022-01-12;6;19154;0.838310535658348
"18-49";"Dose One";2022-01-13;4;19154;0.838519369322335
"18-49";"Dose One";2022-01-14;2;19154;0.838623786154328
"18-49";"Dose One";2022-01-15;2;19154;0.838728202986321
"18-49";"Dose One";2022-01-16;4;19154;0.838937036650308
"18-49";"Dose One";2022-01-17;3;19154;0.839093661898298
"18-49";"Dose One";2022-01-18;3;19154;0.839250287146288
"18-49";"Dose One";2022-01-19;5;19154;0.839511329226271
"18-49";"Dose One";2022-01-20;4;19154;0.839720162890258
"18-49";"Dose One";2022-01-21;2;19154;0.839824579722251
"18-49";"Dose One";2022-01-22;1;19154;0.839876788138248
"18-49";"Dose One";2022-01-24;3;19154;0.840033413386238
"18-49";"Dose One";2022-01-25;2;19154;0.840137830218231
"18-49";"Dose One";2022-01-26;3;19154;0.840294455466221
"18-49";"Dose One";2022-01-28;2;19154;0.840398872298215
"18-49";"Dose One";2022-01-29;1;19154;0.840451080714211
"18-49";"Dose One";2022-02-01;1;19154;0.840503289130208
"18-49";"Dose One";2022-02-03;1;19154;0.840555497546204
"18-49";"Dose One";2022-02-04;2;19154;0.840659914378198
"18-49";"Dose One";2022-02-07;1;19154;0.840712122794194
"18-49";"Dose One";2022-02-10;1;19154;0.840764331210191
"18-49";"Dose One";2022-02-11;1;19154;0.840816539626188
"18-49";"Dose One";2022-02-15;2;19154;0.840920956458181
"18-49";"Dose One";2022-02-17;2;19154;0.841025373290174
"18-49";"Dose One";2022-02-18;3;19154;0.841181998538164
"18-49";"Dose One";2022-02-25;1;19154;0.841234206954161
"18-49";"Dose One";2022-02-28;1;19154;0.841286415370158
"18-49";"Dose One";2022-03-04;2;19154;0.841390832202151
"18-49";"Dose One";2022-03-05;1;19154;0.841443040618148
"18-49";"Dose One";2022-03-09;1;19154;0.841495249034144
"18-49";"Dose One";2022-03-11;1;19154;0.841547457450141
"18-49";"Dose One";2022-03-14;1;19154;0.841599665866138
"18-49";"Dose One";2022-03-18;1;19154;0.841651874282134
"18-49";"Dose One";2022-03-22;2;19154;0.841756291114128
"18-49";"Dose One";2022-04-01;1;19154;0.841808499530124
"18-49";"Dose One";2022-05-17;1;19154;0.841860707946121
"18-49";"Dose One";2022-05-18;1;19154;0.841912916362118
"18-49";"Dose One";2022-05-20;1;19154;0.841965124778114
"18-49";"Dose One";2022-06-02;1;19154;0.842017333194111
"18-49";"Dose One";2022-06-16;1;19154;0.842069541610107
"18-49";"Dose One";NA;3025;19154;1
"18-49";"Dose Two";2021-01-19;2;19154;0.000104416831993317
"18-49";"Dose Two";2021-01-20;4;19154;0.000313250495979952
"18-49";"Dose Two";2021-01-21;3;19154;0.000469875743969928
"18-49";"Dose Two";2021-01-22;8;19154;0.000887543071943197
"18-49";"Dose Two";2021-01-23;1;19154;0.000939751487939856
"18-49";"Dose Two";2021-01-25;4;19154;0.00114858515192649
"18-49";"Dose Two";2021-01-26;22;19154;0.00229717030385298
"18-49";"Dose Two";2021-01-27;15;19154;0.00308029654380286
"18-49";"Dose Two";2021-01-28;28;19154;0.0045421321917093
"18-49";"Dose Two";2021-01-29;47;19154;0.00699592774355226
"18-49";"Dose Two";2021-01-30;16;19154;0.0078312623994988
"18-49";"Dose Two";2021-01-31;11;19154;0.00840555497546205
"18-49";"Dose Two";2021-02-01;28;19154;0.00986739062336849
"18-49";"Dose Two";2021-02-02;48;19154;0.0123733945912081
"18-49";"Dose Two";2021-02-03;48;19154;0.0148793985590477
"18-49";"Dose Two";2021-02-04;35;19154;0.0167066931189308
"18-49";"Dose Two";2021-02-05;63;19154;0.0199958233267203
"18-49";"Dose Two";2021-02-06;13;19154;0.0206745327346768
"18-49";"Dose Two";2021-02-07;1;19154;0.0207267411506735
"18-49";"Dose Two";2021-02-08;29;19154;0.0222407852145766
"18-49";"Dose Two";2021-02-09;31;19154;0.023859246110473
"18-49";"Dose Two";2021-02-10;30;19154;0.0254254985903728
"18-49";"Dose Two";2021-02-11;13;19154;0.0261042079983293
"18-49";"Dose Two";2021-02-12;24;19154;0.0273572099822491
"18-49";"Dose Two";2021-02-13;4;19154;0.0275660436462358
"18-49";"Dose Two";2021-02-14;1;19154;0.0276182520622324
"18-49";"Dose Two";2021-02-15;11;19154;0.0281925446381957
"18-49";"Dose Two";2021-02-16;4;19154;0.0284013783021823
"18-49";"Dose Two";2021-02-17;3;19154;0.0285580035501723
"18-49";"Dose Two";2021-02-18;8;19154;0.0289756708781456
"18-49";"Dose Two";2021-02-19;13;19154;0.0296543802861021
"18-49";"Dose Two";2021-02-20;1;19154;0.0297065887020988
"18-49";"Dose Two";2021-02-22;5;19154;0.0299676307820821
"18-49";"Dose Two";2021-02-23;3;19154;0.030124256030072
"18-49";"Dose Two";2021-02-24;2;19154;0.0302286728620654
"18-49";"Dose Two";2021-02-25;6;19154;0.0305419233580453
"18-49";"Dose Two";2021-02-26;5;19154;0.0308029654380286
"18-49";"Dose Two";2021-03-01;1;19154;0.0308551738540253
"18-49";"Dose Two";2021-03-03;3;19154;0.0310117991020152
"18-49";"Dose Two";2021-03-04;14;19154;0.0317427169259685
"18-49";"Dose Two";2021-03-05;42;19154;0.0339354703978281
"18-49";"Dose Two";2021-03-06;8;19154;0.0343531377258014
"18-49";"Dose Two";2021-03-07;1;19154;0.0344053461417981
"18-49";"Dose Two";2021-03-08;20;19154;0.0354495144617312
