"vac_exposure_date";"vac_number";"cancer_diagnosis_time";"n"
2021-01-17;"Dose One";"1";3
2021-01-17;"Dose One";"2";2
2021-01-17;"Dose One";"3";2
2021-01-17;"Dose One";"4";1
2021-01-18;"Dose One";"0";31
2021-01-18;"Dose One";"1";18
2021-01-18;"Dose One";"2";25
2021-01-18;"Dose One";"3";17
2021-01-18;"Dose One";"4";18
2021-01-19;"Dose One";"0";10
2021-01-19;"Dose One";"1";6
2021-01-19;"Dose One";"2";5
2021-01-19;"Dose One";"3";6
2021-01-19;"Dose One";"4";4
2021-01-19;"Dose Two";"0";2
2021-01-19;"Dose Two";"4";2
2021-01-20;"Dose One";"0";7
2021-01-20;"Dose One";"1";5
2021-01-20;"Dose One";"2";6
2021-01-20;"Dose One";"3";3
2021-01-20;"Dose One";"4";6
2021-01-20;"Dose Two";"0";6
2021-01-20;"Dose Two";"2";4
2021-01-20;"Dose Two";"4";1
2021-01-21;"Dose One";"0";8
2021-01-21;"Dose One";"1";5
2021-01-21;"Dose One";"2";4
2021-01-21;"Dose One";"3";5
2021-01-21;"Dose One";"4";6
2021-01-21;"Dose Two";"0";2
2021-01-21;"Dose Two";"2";2
2021-01-22;"Dose One";"0";15
2021-01-22;"Dose One";"1";7
2021-01-22;"Dose One";"2";7
2021-01-22;"Dose One";"3";9
2021-01-22;"Dose One";"4";6
2021-01-22;"Dose Two";"0";8
2021-01-23;"Dose One";"0";5
2021-01-23;"Dose One";"1";2
2021-01-23;"Dose One";"2";4
2021-01-23;"Dose One";"3";4
2021-01-23;"Dose One";"4";1
2021-01-23;"Dose Two";"0";1
2021-01-23;"Dose Two";"2";1
2021-01-24;"Dose One";"1";1
2021-01-24;"Dose One";"3";1
2021-01-24;"Dose One";"4";1
2021-01-24;"Dose Two";"0";1
2021-01-25;"Dose One";"0";5
2021-01-25;"Dose One";"1";6
2021-01-25;"Dose One";"2";3
2021-01-25;"Dose One";"3";3
2021-01-25;"Dose One";"4";4
2021-01-25;"Dose Two";"0";7
2021-01-25;"Dose Two";"1";2
2021-01-25;"Dose Two";"2";2
2021-01-25;"Dose Two";"3";2
2021-01-26;"Dose One";"0";5
2021-01-26;"Dose One";"1";3
2021-01-26;"Dose One";"2";3
2021-01-26;"Dose One";"3";1
2021-01-26;"Dose One";"4";2
2021-01-26;"Dose Two";"0";14
2021-01-26;"Dose Two";"1";18
2021-01-26;"Dose Two";"2";9
2021-01-26;"Dose Two";"3";13
2021-01-26;"Dose Two";"4";10
2021-01-27;"Dose One";"0";4
2021-01-27;"Dose One";"1";4
2021-01-27;"Dose Two";"0";11
2021-01-27;"Dose Two";"1";7
2021-01-27;"Dose Two";"2";5
2021-01-27;"Dose Two";"3";8
2021-01-27;"Dose Two";"4";7
2021-01-28;"Dose One";"0";1
2021-01-28;"Dose One";"1";3
2021-01-28;"Dose One";"2";3
2021-01-28;"Dose One";"3";3
2021-01-28;"Dose Two";"0";19
2021-01-28;"Dose Two";"1";12
2021-01-28;"Dose Two";"2";15
2021-01-28;"Dose Two";"3";13
2021-01-28;"Dose Two";"4";13
2021-01-29;"Dose One";"0";5
2021-01-29;"Dose One";"1";3
2021-01-29;"Dose One";"2";1
2021-01-29;"Dose One";"3";1
2021-01-29;"Dose One";"4";1
2021-01-29;"Dose Two";"0";37
2021-01-29;"Dose Two";"1";26
2021-01-29;"Dose Two";"2";28
2021-01-29;"Dose Two";"3";19
2021-01-29;"Dose Two";"4";13
2021-01-30;"Dose One";"0";3
2021-01-30;"Dose One";"1";1
2021-01-30;"Dose Two";"0";19
2021-01-30;"Dose Two";"1";6
2021-01-30;"Dose Two";"2";5
2021-01-30;"Dose Two";"3";6
2021-01-30;"Dose Two";"4";6
2021-01-31;"Dose One";"0";3
2021-01-31;"Dose One";"1";1
2021-01-31;"Dose One";"2";2
2021-01-31;"Dose Two";"0";10
2021-01-31;"Dose Two";"1";5
2021-01-31;"Dose Two";"2";1
2021-01-31;"Dose Two";"3";4
2021-01-31;"Dose Two";"4";3
2021-02-01;"Dose One";"0";4
2021-02-01;"Dose One";"2";3
2021-02-01;"Dose One";"3";5
2021-02-01;"Dose One";"4";2
2021-02-01;"Dose Two";"0";23
2021-02-01;"Dose Two";"1";11
2021-02-01;"Dose Two";"2";15
2021-02-01;"Dose Two";"3";13
2021-02-01;"Dose Two";"4";11
2021-02-02;"Dose One";"0";1
2021-02-02;"Dose One";"1";1
2021-02-02;"Dose One";"3";3
2021-02-02;"Dose Two";"0";27
2021-02-02;"Dose Two";"1";15
2021-02-02;"Dose Two";"2";26
2021-02-02;"Dose Two";"3";19
2021-02-02;"Dose Two";"4";20
2021-02-03;"Dose One";"0";3
2021-02-03;"Dose One";"2";3
2021-02-03;"Dose One";"3";1
2021-02-03;"Dose Two";"0";35
2021-02-03;"Dose Two";"1";25
2021-02-03;"Dose Two";"2";15
2021-02-03;"Dose Two";"3";22
2021-02-03;"Dose Two";"4";17
2021-02-04;"Dose One";"0";3
2021-02-04;"Dose One";"1";2
2021-02-04;"Dose One";"2";2
2021-02-04;"Dose One";"3";1
2021-02-04;"Dose Two";"0";31
2021-02-04;"Dose Two";"1";18
2021-02-04;"Dose Two";"2";18
2021-02-04;"Dose Two";"3";11
2021-02-04;"Dose Two";"4";14
2021-02-05;"Dose One";"0";5
2021-02-05;"Dose One";"1";4
2021-02-05;"Dose One";"2";1
2021-02-05;"Dose One";"3";4
2021-02-05;"Dose One";"4";1
2021-02-05;"Dose Two";"0";53
2021-02-05;"Dose Two";"1";29
2021-02-05;"Dose Two";"2";20
2021-02-05;"Dose Two";"3";22
2021-02-05;"Dose Two";"4";23
2021-02-06;"Dose One";"0";1
2021-02-06;"Dose One";"2";1
2021-02-06;"Dose Two";"0";12
2021-02-06;"Dose Two";"1";4
2021-02-06;"Dose Two";"2";5
2021-02-06;"Dose Two";"3";5
2021-02-06;"Dose Two";"4";1
2021-02-07;"Dose One";"0";3
2021-02-07;"Dose One";"1";1
2021-02-07;"Dose One";"4";1
2021-02-07;"Dose Two";"0";1
2021-02-07;"Dose Two";"2";1
2021-02-08;"Dose One";"0";6
2021-02-08;"Dose One";"1";12
2021-02-08;"Dose One";"2";2
2021-02-08;"Dose One";"3";6
2021-02-08;"Dose One";"4";3
2021-02-08;"Dose Two";"0";19
2021-02-08;"Dose Two";"1";14
2021-02-08;"Dose Two";"2";14
2021-02-08;"Dose Two";"3";13
2021-02-08;"Dose Two";"4";10
2021-02-09;"Dose One";"0";6
2021-02-09;"Dose One";"1";4
2021-02-09;"Dose One";"2";4
2021-02-09;"Dose One";"3";1
2021-02-09;"Dose One";"4";1
2021-02-09;"Dose Two";"0";28
2021-02-09;"Dose Two";"1";15
2021-02-09;"Dose Two";"2";19
2021-02-09;"Dose Two";"3";14
2021-02-09;"Dose Two";"4";11
2021-02-10;"Dose One";"0";23
2021-02-10;"Dose One";"1";17
2021-02-10;"Dose One";"2";13
2021-02-10;"Dose One";"3";16
2021-02-10;"Dose One";"4";12
2021-02-10;"Dose Two";"0";14
2021-02-10;"Dose Two";"1";8
2021-02-10;"Dose Two";"2";19
2021-02-10;"Dose Two";"3";8
2021-02-10;"Dose Two";"4";17
2021-02-11;"Dose One";"0";37
2021-02-11;"Dose One";"1";18
2021-02-11;"Dose One";"2";17
2021-02-11;"Dose One";"3";16
2021-02-11;"Dose One";"4";15
2021-02-11;"Dose Two";"0";20
2021-02-11;"Dose Two";"1";8
2021-02-11;"Dose Two";"2";9
2021-02-11;"Dose Two";"3";13
2021-02-11;"Dose Two";"4";6
2021-02-12;"Dose One";"0";47
2021-02-12;"Dose One";"1";23
2021-02-12;"Dose One";"2";26
2021-02-12;"Dose One";"3";19
2021-02-12;"Dose One";"4";15
2021-02-12;"Dose Two";"0";25
2021-02-12;"Dose Two";"1";14
2021-02-12;"Dose Two";"2";13
2021-02-12;"Dose Two";"3";14
2021-02-12;"Dose Two";"4";11
2021-02-13;"Dose One";"0";3
2021-02-13;"Dose One";"1";5
2021-02-13;"Dose One";"2";6
2021-02-13;"Dose One";"3";6
2021-02-13;"Dose One";"4";5
2021-02-13;"Dose Two";"0";4
2021-02-13;"Dose Two";"1";3
2021-02-13;"Dose Two";"2";4
2021-02-13;"Dose Two";"3";5
2021-02-13;"Dose Two";"4";2
2021-02-14;"Dose One";"0";1
2021-02-14;"Dose One";"1";1
2021-02-14;"Dose One";"2";2
2021-02-14;"Dose One";"4";2
2021-02-14;"Dose Two";"0";1
2021-02-14;"Dose Two";"1";2
2021-02-14;"Dose Two";"3";1
2021-02-14;"Dose Two";"4";1
2021-02-15;"Dose One";"0";32
2021-02-15;"Dose One";"1";13
2021-02-15;"Dose One";"2";13
2021-02-15;"Dose One";"3";10
2021-02-15;"Dose One";"4";23
2021-02-15;"Dose Two";"0";9
2021-02-15;"Dose Two";"1";6
2021-02-15;"Dose Two";"2";3
2021-02-15;"Dose Two";"3";4
2021-02-15;"Dose Two";"4";4
2021-02-16;"Dose One";"0";29
2021-02-16;"Dose One";"1";15
2021-02-16;"Dose One";"2";16
2021-02-16;"Dose One";"3";10
2021-02-16;"Dose One";"4";8
2021-02-16;"Dose Two";"0";4
2021-02-16;"Dose Two";"1";1
2021-02-16;"Dose Two";"3";2
2021-02-17;"Dose One";"0";42
2021-02-17;"Dose One";"1";27
2021-02-17;"Dose One";"2";23
2021-02-17;"Dose One";"3";29
2021-02-17;"Dose One";"4";20
2021-02-17;"Dose Two";"0";4
2021-02-17;"Dose Two";"1";3
2021-02-17;"Dose Two";"2";2
2021-02-18;"Dose One";"0";53
2021-02-18;"Dose One";"1";84
2021-02-18;"Dose One";"2";58
2021-02-18;"Dose One";"3";52
2021-02-18;"Dose One";"4";48
2021-02-18;"Dose Two";"0";3
2021-02-18;"Dose Two";"1";4
2021-02-18;"Dose Two";"2";4
2021-02-18;"Dose Two";"3";2
2021-02-18;"Dose Two";"4";2
2021-02-19;"Dose One";"0";90
2021-02-19;"Dose One";"1";66
2021-02-19;"Dose One";"2";65
2021-02-19;"Dose One";"3";64
2021-02-19;"Dose One";"4";62
2021-02-19;"Dose Two";"0";9
2021-02-19;"Dose Two";"1";4
2021-02-19;"Dose Two";"2";3
2021-02-19;"Dose Two";"3";8
2021-02-19;"Dose Two";"4";5
2021-02-20;"Dose One";"0";9
2021-02-20;"Dose One";"1";3
2021-02-20;"Dose One";"2";6
2021-02-20;"Dose One";"3";6
2021-02-20;"Dose One";"4";1
2021-02-20;"Dose Two";"0";3
2021-02-21;"Dose One";"0";2
2021-02-21;"Dose One";"1";1
2021-02-21;"Dose One";"3";1
2021-02-21;"Dose One";"4";1
2021-02-22;"Dose One";"0";31
2021-02-22;"Dose One";"1";37
2021-02-22;"Dose One";"2";31
2021-02-22;"Dose One";"3";36
2021-02-22;"Dose One";"4";32
2021-02-22;"Dose Two";"0";9
2021-02-22;"Dose Two";"1";1
2021-02-22;"Dose Two";"3";1
2021-02-22;"Dose Two";"4";1
2021-02-23;"Dose One";"0";141
2021-02-23;"Dose One";"1";152
2021-02-23;"Dose One";"2";131
2021-02-23;"Dose One";"3";118
2021-02-23;"Dose One";"4";121
2021-02-23;"Dose Two";"0";3
2021-02-23;"Dose Two";"1";4
2021-02-23;"Dose Two";"2";3
2021-02-23;"Dose Two";"4";3
2021-02-24;"Dose One";"0";235
2021-02-24;"Dose One";"1";277
2021-02-24;"Dose One";"2";230
2021-02-24;"Dose One";"3";214
2021-02-24;"Dose One";"4";190
2021-02-24;"Dose Two";"0";4
2021-02-24;"Dose Two";"1";1
2021-02-24;"Dose Two";"2";1
2021-02-24;"Dose Two";"3";1
2021-02-24;"Dose Two";"4";1
2021-02-25;"Dose One";"0";233
2021-02-25;"Dose One";"1";258
2021-02-25;"Dose One";"2";222
2021-02-25;"Dose One";"3";231
2021-02-25;"Dose One";"4";232
2021-02-25;"Dose Two";"0";2
2021-02-25;"Dose Two";"1";1
2021-02-25;"Dose Two";"2";4
2021-02-26;"Dose One";"0";179
2021-02-26;"Dose One";"1";178
2021-02-26;"Dose One";"2";131
2021-02-26;"Dose One";"3";173
2021-02-26;"Dose One";"4";151
2021-02-26;"Dose Two";"1";2
2021-02-26;"Dose Two";"2";3
2021-02-26;"Dose Two";"3";7
2021-02-27;"Dose One";"0";9
2021-02-27;"Dose One";"1";13
2021-02-27;"Dose One";"2";5
2021-02-27;"Dose One";"3";10
2021-02-27;"Dose One";"4";8
2021-02-28;"Dose One";"0";3
2021-02-28;"Dose One";"1";1
2021-02-28;"Dose One";"4";1
2021-03-01;"Dose One";"0";23
2021-03-01;"Dose One";"1";18
2021-03-01;"Dose One";"2";21
2021-03-01;"Dose One";"3";18
2021-03-01;"Dose One";"4";13
2021-03-01;"Dose Two";"0";1
2021-03-01;"Dose Two";"1";1
2021-03-01;"Dose Two";"2";1
2021-03-01;"Dose Two";"3";1
2021-03-02;"Dose One";"0";135
2021-03-02;"Dose One";"1";117
2021-03-02;"Dose One";"2";98
2021-03-02;"Dose One";"3";101
2021-03-02;"Dose One";"4";105
2021-03-02;"Dose Two";"0";2
2021-03-02;"Dose Two";"1";1
2021-03-03;"Dose One";"0";199
2021-03-03;"Dose One";"1";200
2021-03-03;"Dose One";"2";185
2021-03-03;"Dose One";"3";166
2021-03-03;"Dose One";"4";200
2021-03-03;"Dose Two";"0";3
2021-03-03;"Dose Two";"1";2
2021-03-03;"Dose Two";"3";2
2021-03-03;"Dose Two";"4";1
2021-03-04;"Dose One";"0";182
2021-03-04;"Dose One";"1";159
2021-03-04;"Dose One";"2";168
2021-03-04;"Dose One";"3";170
2021-03-04;"Dose One";"4";140
2021-03-04;"Dose Two";"0";11
2021-03-04;"Dose Two";"1";6
2021-03-04;"Dose Two";"2";4
2021-03-04;"Dose Two";"3";6
2021-03-04;"Dose Two";"4";2
2021-03-05;"Dose One";"0";116
2021-03-05;"Dose One";"1";128
2021-03-05;"Dose One";"2";121
2021-03-05;"Dose One";"3";100
2021-03-05;"Dose One";"4";94
2021-03-05;"Dose Two";"0";25
2021-03-05;"Dose Two";"1";18
2021-03-05;"Dose Two";"2";15
2021-03-05;"Dose Two";"3";15
2021-03-05;"Dose Two";"4";11
2021-03-06;"Dose One";"0";11
2021-03-06;"Dose One";"1";10
2021-03-06;"Dose One";"2";6
2021-03-06;"Dose One";"3";10
2021-03-06;"Dose One";"4";3
2021-03-06;"Dose Two";"0";5
2021-03-06;"Dose Two";"1";2
2021-03-06;"Dose Two";"2";5
2021-03-06;"Dose Two";"3";6
2021-03-06;"Dose Two";"4";1
2021-03-07;"Dose One";"0";2
2021-03-07;"Dose One";"1";2
2021-03-07;"Dose One";"2";1
2021-03-07;"Dose One";"3";3
2021-03-07;"Dose One";"4";3
2021-03-07;"Dose Two";"1";1
2021-03-08;"Dose One";"0";34
2021-03-08;"Dose One";"1";28
2021-03-08;"Dose One";"2";31
2021-03-08;"Dose One";"3";22
2021-03-08;"Dose One";"4";28
2021-03-08;"Dose Two";"0";19
2021-03-08;"Dose Two";"1";15
2021-03-08;"Dose Two";"2";9
2021-03-08;"Dose Two";"3";8
2021-03-08;"Dose Two";"4";14
2021-03-09;"Dose One";"0";91
2021-03-09;"Dose One";"1";73
2021-03-09;"Dose One";"2";60
2021-03-09;"Dose One";"3";78
2021-03-09;"Dose One";"4";46
2021-03-09;"Dose Two";"0";21
2021-03-09;"Dose Two";"1";14
2021-03-09;"Dose Two";"2";15
2021-03-09;"Dose Two";"3";4
2021-03-09;"Dose Two";"4";8
2021-03-10;"Dose One";"0";105
2021-03-10;"Dose One";"1";86
2021-03-10;"Dose One";"2";88
2021-03-10;"Dose One";"3";80
2021-03-10;"Dose One";"4";97
2021-03-10;"Dose Two";"0";19
2021-03-10;"Dose Two";"1";11
2021-03-10;"Dose Two";"2";8
2021-03-10;"Dose Two";"3";11
2021-03-10;"Dose Two";"4";9
2021-03-11;"Dose One";"0";71
2021-03-11;"Dose One";"1";69
2021-03-11;"Dose One";"2";67
2021-03-11;"Dose One";"3";45
2021-03-11;"Dose One";"4";55
2021-03-11;"Dose Two";"0";42
2021-03-11;"Dose Two";"1";48
2021-03-11;"Dose Two";"2";45
2021-03-11;"Dose Two";"3";28
2021-03-11;"Dose Two";"4";27
2021-03-12;"Dose One";"0";46
2021-03-12;"Dose One";"1";43
2021-03-12;"Dose One";"2";31
2021-03-12;"Dose One";"3";37
2021-03-12;"Dose One";"4";35
2021-03-12;"Dose Two";"0";76
2021-03-12;"Dose Two";"1";62
2021-03-12;"Dose Two";"2";50
2021-03-12;"Dose Two";"3";52
2021-03-12;"Dose Two";"4";58
2021-03-13;"Dose One";"0";2
2021-03-13;"Dose One";"1";5
2021-03-13;"Dose One";"2";2
2021-03-13;"Dose One";"3";4
2021-03-13;"Dose One";"4";5
2021-03-13;"Dose Two";"0";3
2021-03-13;"Dose Two";"2";5
2021-03-13;"Dose Two";"3";5
2021-03-13;"Dose Two";"4";1
2021-03-14;"Dose One";"1";1
2021-03-14;"Dose Two";"0";1
2021-03-15;"Dose One";"0";15
2021-03-15;"Dose One";"1";22
2021-03-15;"Dose One";"2";12
2021-03-15;"Dose One";"3";20
2021-03-15;"Dose One";"4";12
2021-03-15;"Dose Two";"0";18
2021-03-15;"Dose Two";"1";14
2021-03-15;"Dose Two";"2";16
2021-03-15;"Dose Two";"3";9
2021-03-15;"Dose Two";"4";15
2021-03-16;"Dose One";"0";14
2021-03-16;"Dose One";"1";16
2021-03-16;"Dose One";"2";14
2021-03-16;"Dose One";"3";8
2021-03-16;"Dose One";"4";9
2021-03-16;"Dose Two";"0";86
2021-03-16;"Dose Two";"1";104
2021-03-16;"Dose Two";"2";98
2021-03-16;"Dose Two";"3";73
2021-03-16;"Dose Two";"4";90
2021-03-17;"Dose One";"0";51
2021-03-17;"Dose One";"1";39
2021-03-17;"Dose One";"2";23
2021-03-17;"Dose One";"3";29
2021-03-17;"Dose One";"4";17
2021-03-17;"Dose Two";"0";184
2021-03-17;"Dose Two";"1";234
2021-03-17;"Dose Two";"2";195
2021-03-17;"Dose Two";"3";181
2021-03-17;"Dose Two";"4";167
2021-03-18;"Dose One";"0";99
2021-03-18;"Dose One";"1";52
2021-03-18;"Dose One";"2";61
2021-03-18;"Dose One";"3";34
2021-03-18;"Dose One";"4";38
2021-03-18;"Dose Two";"0";207
2021-03-18;"Dose Two";"1";237
2021-03-18;"Dose Two";"2";208
2021-03-18;"Dose Two";"3";211
2021-03-18;"Dose Two";"4";207
2021-03-19;"Dose One";"0";120
2021-03-19;"Dose One";"1";60
2021-03-19;"Dose One";"2";51
2021-03-19;"Dose One";"3";51
2021-03-19;"Dose One";"4";48
2021-03-19;"Dose Two";"0";170
2021-03-19;"Dose Two";"1";188
2021-03-19;"Dose Two";"2";150
2021-03-19;"Dose Two";"3";185
2021-03-19;"Dose Two";"4";148
2021-03-20;"Dose One";"0";1
2021-03-20;"Dose One";"1";2
2021-03-20;"Dose Two";"0";4
2021-03-20;"Dose Two";"1";6
2021-03-20;"Dose Two";"2";3
2021-03-20;"Dose Two";"3";4
2021-03-20;"Dose Two";"4";4
2021-03-22;"Dose One";"0";145
2021-03-22;"Dose One";"1";114
2021-03-22;"Dose One";"2";73
2021-03-22;"Dose One";"3";73
2021-03-22;"Dose One";"4";47
2021-03-22;"Dose Two";"0";15
2021-03-22;"Dose Two";"1";8
2021-03-22;"Dose Two";"2";10
2021-03-22;"Dose Two";"3";10
2021-03-22;"Dose Two";"4";11
2021-03-23;"Dose One";"0";111
2021-03-23;"Dose One";"1";87
2021-03-23;"Dose One";"2";75
2021-03-23;"Dose One";"3";62
2021-03-23;"Dose One";"4";52
2021-03-23;"Dose Two";"0";115
2021-03-23;"Dose Two";"1";100
2021-03-23;"Dose Two";"2";84
2021-03-23;"Dose Two";"3";93
2021-03-23;"Dose Two";"4";97
2021-03-24;"Dose One";"0";315
2021-03-24;"Dose One";"1";319
2021-03-24;"Dose One";"2";247
2021-03-24;"Dose One";"3";218
2021-03-24;"Dose One";"4";220
2021-03-24;"Dose Two";"0";174
2021-03-24;"Dose Two";"1";176
2021-03-24;"Dose Two";"2";166
2021-03-24;"Dose Two";"3";162
2021-03-24;"Dose Two";"4";183
2021-03-25;"Dose One";"0";412
2021-03-25;"Dose One";"1";436
2021-03-25;"Dose One";"2";346
2021-03-25;"Dose One";"3";283
2021-03-25;"Dose One";"4";293
2021-03-25;"Dose Two";"0";160
2021-03-25;"Dose Two";"1";134
2021-03-25;"Dose Two";"2";133
2021-03-25;"Dose Two";"3";138
2021-03-25;"Dose Two";"4";126
2021-03-26;"Dose One";"0";372
2021-03-26;"Dose One";"1";313
2021-03-26;"Dose One";"2";311
2021-03-26;"Dose One";"3";260
2021-03-26;"Dose One";"4";237
2021-03-26;"Dose Two";"0";89
2021-03-26;"Dose Two";"1";96
2021-03-26;"Dose Two";"2";96
2021-03-26;"Dose Two";"3";102
2021-03-26;"Dose Two";"4";93
2021-03-27;"Dose One";"0";84
2021-03-27;"Dose One";"1";94
2021-03-27;"Dose One";"2";86
2021-03-27;"Dose One";"3";90
2021-03-27;"Dose One";"4";88
2021-03-27;"Dose Two";"0";3
2021-03-27;"Dose Two";"1";1
2021-03-27;"Dose Two";"2";1
2021-03-28;"Dose One";"0";34
2021-03-28;"Dose One";"1";18
2021-03-28;"Dose One";"2";15
2021-03-28;"Dose One";"3";18
2021-03-28;"Dose One";"4";21
2021-03-28;"Dose Two";"0";1
2021-03-29;"Dose One";"0";314
2021-03-29;"Dose One";"1";278
2021-03-29;"Dose One";"2";204
2021-03-29;"Dose One";"3";197
2021-03-29;"Dose One";"4";180
2021-03-29;"Dose Two";"0";14
2021-03-29;"Dose Two";"1";5
2021-03-29;"Dose Two";"2";13
2021-03-29;"Dose Two";"3";10
2021-03-29;"Dose Two";"4";6
2021-03-30;"Dose One";"0";622
2021-03-30;"Dose One";"1";630
2021-03-30;"Dose One";"2";581
2021-03-30;"Dose One";"3";511
2021-03-30;"Dose One";"4";484
2021-03-30;"Dose Two";"0";76
2021-03-30;"Dose Two";"1";62
2021-03-30;"Dose Two";"2";53
2021-03-30;"Dose Two";"3";68
2021-03-30;"Dose Two";"4";44
2021-03-31;"Dose One";"0";651
2021-03-31;"Dose One";"1";659
2021-03-31;"Dose One";"2";663
2021-03-31;"Dose One";"3";587
2021-03-31;"Dose One";"4";581
2021-03-31;"Dose Two";"0";94
2021-03-31;"Dose Two";"1";79
2021-03-31;"Dose Two";"2";70
2021-03-31;"Dose Two";"3";78
2021-03-31;"Dose Two";"4";93
2021-04-01;"Dose One";"0";408
2021-04-01;"Dose One";"1";422
2021-04-01;"Dose One";"2";393
2021-04-01;"Dose One";"3";392
2021-04-01;"Dose One";"4";369
2021-04-01;"Dose Two";"0";66
2021-04-01;"Dose Two";"1";73
2021-04-01;"Dose Two";"2";77
2021-04-01;"Dose Two";"3";62
2021-04-01;"Dose Two";"4";53
2021-04-02;"Dose One";"0";41
2021-04-02;"Dose One";"1";50
2021-04-02;"Dose One";"2";49
2021-04-02;"Dose One";"3";41
2021-04-02;"Dose One";"4";32
2021-04-02;"Dose Two";"0";4
2021-04-02;"Dose Two";"1";4
2021-04-02;"Dose Two";"2";1
2021-04-02;"Dose Two";"3";2
2021-04-02;"Dose Two";"4";1
2021-04-03;"Dose One";"0";66
2021-04-03;"Dose One";"1";79
2021-04-03;"Dose One";"2";85
2021-04-03;"Dose One";"3";91
2021-04-03;"Dose One";"4";64
2021-04-03;"Dose Two";"0";8
2021-04-03;"Dose Two";"1";6
2021-04-03;"Dose Two";"2";5
2021-04-03;"Dose Two";"3";4
2021-04-03;"Dose Two";"4";1
2021-04-04;"Dose One";"0";43
2021-04-04;"Dose One";"1";49
2021-04-04;"Dose One";"2";59
2021-04-04;"Dose One";"3";73
2021-04-04;"Dose One";"4";44
2021-04-05;"Dose One";"0";59
2021-04-05;"Dose One";"1";86
2021-04-05;"Dose One";"2";65
2021-04-05;"Dose One";"3";86
2021-04-05;"Dose One";"4";73
2021-04-05;"Dose Two";"1";1
2021-04-06;"Dose One";"0";399
2021-04-06;"Dose One";"1";422
2021-04-06;"Dose One";"2";339
2021-04-06;"Dose One";"3";345
2021-04-06;"Dose One";"4";345
2021-04-06;"Dose Two";"0";16
2021-04-06;"Dose Two";"1";28
2021-04-06;"Dose Two";"2";32
2021-04-06;"Dose Two";"3";23
2021-04-06;"Dose Two";"4";17
2021-04-07;"Dose One";"0";648
2021-04-07;"Dose One";"1";705
2021-04-07;"Dose One";"2";664
2021-04-07;"Dose One";"3";602
2021-04-07;"Dose One";"4";596
2021-04-07;"Dose Two";"0";32
2021-04-07;"Dose Two";"1";38
2021-04-07;"Dose Two";"2";27
2021-04-07;"Dose Two";"3";35
2021-04-07;"Dose Two";"4";30
2021-04-08;"Dose One";"0";630
2021-04-08;"Dose One";"1";624
