"level";"0";"1";"p";"test"
"cancer_group_sarcomas (%)";"0";"91240 ( 98.8) ";"91287 ( 98.8) ";" 0.326";""
"";"1";" 1132 (  1.2) ";" 1085 (  1.2) ";"";""
"cancer_group_thorax (%)";"0";"86642 ( 93.8) ";"86930 ( 94.1) ";" 0.005";""
"";"1";" 5730 (  6.2) ";" 5442 (  5.9) ";"";""
"cancer_group_gynecology (%)";"0";"87309 ( 94.5) ";"87736 ( 95.0) ";"<0.001";""
"";"1";" 5063 (  5.5) ";" 4636 (  5.0) ";"";""
"cancer_group_head_neck (%)";"0";"89545 ( 96.9) ";"89669 ( 97.1) ";" 0.093";""
"";"1";" 2827 (  3.1) ";" 2703 (  2.9) ";"";""
"cancer_group_hemathological (%)";"0";"86355 ( 93.5) ";"85761 ( 92.8) ";"<0.001";""
"";"1";" 6017 (  6.5) ";" 6611 (  7.2) ";"";""
"cancer_group_skin (%)";"0";"83071 ( 89.9) ";"82785 ( 89.6) ";" 0.029";""
"";"1";" 9301 ( 10.1) ";" 9587 ( 10.4) ";"";""
"cancer_group_CNS (%)";"0";"91249 ( 98.8) ";"91234 ( 98.8) ";" 0.767";""
"";"1";" 1123 (  1.2) ";" 1138 (  1.2) ";"";""
"cancer_group_undefined (%)";"0";"90186 ( 97.6) ";"90253 ( 97.7) ";" 0.309";""
"";"1";" 2186 (  2.4) ";" 2119 (  2.3) ";"";""
"cancer_group_nasopharynx (%)";"0";"92304 ( 99.9) ";"92306 ( 99.9) ";" 0.931";""
"";"1";"   68 (  0.1) ";"   66 (  0.1) ";"";""
"cancer_group_neuroendocrine (%)";"0";"91978 ( 99.6) ";"91943 ( 99.5) ";" 0.235";""
"";"1";"  394 (  0.4) ";"  429 (  0.5) ";"";""
"cancer_group_other (%)";"0";"91701 ( 99.3) ";"91734 ( 99.3) ";" 0.375";""
"";"1";"  671 (  0.7) ";"  638 (  0.7) ";"";""
"cancer_group_other_2 (%)";"0";"84495 ( 91.5) ";"84483 ( 91.5) ";" 0.927";""
"";"1";" 7877 (  8.5) ";" 7889 (  8.5) ";"";""
"charlson_index (median [IQR])";"";" 3.00 [2.00, 6.00]";" 3.00 [2.00, 6.00]";" 0.094";"nonnorm"
"CCI_Rheumatologic_Disease (%)";"0";"89725 ( 97.1) ";"89636 ( 97.0) ";" 0.223";""
"";"1";" 2647 (  2.9) ";" 2736 (  3.0) ";"";""
"CCI_Any_Malignancy (%)";"1";"92372 (100.0) ";"92372 (100.0) ";"    NA";""
"CCI_Metastatic_Solid_Tumor (%)";"0";"78520 ( 85.0) ";"78865 ( 85.4) ";" 0.024";""
"";"1";"13852 ( 15.0) ";"13507 ( 14.6) ";"";""
"CCI_Diabetes_Mild (%)";"0";"72023 ( 78.0) ";"71630 ( 77.5) ";" 0.028";""
"";"1";"20349 ( 22.0) ";"20742 ( 22.5) ";"";""
"CCI_Mild_Liver_Disease (%)";"0";"89275 ( 96.6) ";"89451 ( 96.8) ";" 0.022";""
"";"1";" 3097 (  3.4) ";" 2921 (  3.2) ";"";""
"CCI_Peptic_Ulcer_Disease (%)";"0";"87189 ( 94.4) ";"87030 ( 94.2) ";" 0.113";""
"";"1";" 5183 (  5.6) ";" 5342 (  5.8) ";"";""
"CCI_Chronic_Pulmonary_Disease (%)";"0";"76004 ( 82.3) ";"75934 ( 82.2) ";" 0.674";""
"";"1";"16368 ( 17.7) ";"16438 ( 17.8) ";"";""
"CCI_Renal_Disease (%)";"0";"77194 ( 83.6) ";"76605 ( 82.9) ";"<0.001";""
"";"1";"15178 ( 16.4) ";"15767 ( 17.1) ";"";""
"CCI_Cerebrovascular_Disease (%)";"0";"86506 ( 93.6) ";"86396 ( 93.5) ";" 0.300";""
"";"1";" 5866 (  6.4) ";" 5976 (  6.5) ";"";""
"CCI_Diabetes_With_Complications (%)";"0";"86756 ( 93.9) ";"86520 ( 93.7) ";" 0.023";""
"";"1";" 5616 (  6.1) ";" 5852 (  6.3) ";"";""
"CCI_Congestive_Heart_Failure (%)";"0";"85447 ( 92.5) ";"85088 ( 92.1) ";" 0.002";""
"";"1";" 6925 (  7.5) ";" 7284 (  7.9) ";"";""
"CCI_Dementia (%)";"0";"90071 ( 97.5) ";"90030 ( 97.5) ";" 0.552";""
"";"1";" 2301 (  2.5) ";" 2342 (  2.5) ";"";""
"CCI_Peripheral_Artery_Disease (%)";"0";"87566 ( 94.8) ";"87487 ( 94.7) ";" 0.416";""
"";"1";" 4806 (  5.2) ";" 4885 (  5.3) ";"";""
"CCI_Myocardial_Infarction (%)";"0";"88332 ( 95.6) ";"88248 ( 95.5) ";" 0.347";""
"";"1";" 4040 (  4.4) ";" 4124 (  4.5) ";"";""
"CCI_Moderate_Severe_Liver_Disease (%)";"0";"90849 ( 98.4) ";"90817 ( 98.3) ";" 0.573";""
"";"1";" 1523 (  1.6) ";" 1555 (  1.7) ";"";""
"CCI_Hemiplegia_Paraplegia (%)";"0";"91066 ( 98.6) ";"91028 ( 98.5) ";" 0.469";""
"";"1";" 1306 (  1.4) ";" 1344 (  1.5) ";"";""
"CCI_AIDS (%)";"0";"91798 ( 99.4) ";"91855 ( 99.4) ";" 0.089";""
"";"1";"  574 (  0.6) ";"  517 (  0.6) ";"";""
