"level";"0";"1";"p";"test"
"";"AZ-ChAdOx1";"12814 ( 23.6) ";"12814 ( 23.6) ";"";""
"";"Jansen-Ad26";"    0 (  0.0) ";"    0 (  0.0) ";"";""
"vac_concept_id_3 (%)";"Pfizer-mRNA-BNT162b";" 6197 ( 11.4) ";"13649 ( 25.2) ";"   NaN";""
"";"Moderna-mRNA-1273";"37362 ( 68.8) ";"40613 ( 74.8) ";"";""
"";"AZ-ChAdOx1";"    7 (  0.0) ";"    5 (  0.0) ";"";""
"";"Jansen-Ad26";"    0 (  0.0) ";"    0 (  0.0) ";"";""
"";NA;"10701 ( 19.7) ";"    0 (  0.0) ";"";""
"vac_scheme (%)";"AZ-ChAdOx1-AZ-ChAdOx1";"    0 (  0.0) ";"12814 ( 23.6) ";"<0.001";""
"";"Moderna-mRNA-1273-Moderna-mRNA-1273";"    0 (  0.0) ";" 5037 (  9.3) ";"";""
"";"Pfizer-mRNA-BNT162b-Pfizer-mRNA-BNT162b";"    0 (  0.0) ";"36416 ( 67.1) ";"";""
"";NA;"54267 (100.0) ";"    0 (  0.0) ";"";""
"cancer_diagnosis_time (%)";"0";"    0 (  0.0) ";"11604 ( 21.4) ";"<0.001";""
"";"1";"    0 (  0.0) ";"11263 ( 20.8) ";"";""
"";"2";"    0 (  0.0) ";"10869 ( 20.0) ";"";""
"";"3";"    0 (  0.0) ";"10254 ( 18.9) ";"";""
"";"4";"    0 (  0.0) ";"10277 ( 18.9) ";"";""
"";NA;"54267 (100.0) ";"    0 (  0.0) ";"";""
"cancer_dx_breast (%)";"0";"45356 ( 83.6) ";"45130 ( 83.2) ";" 0.067";""
"";"1";" 8911 ( 16.4) ";" 9137 ( 16.8) ";"";""
"cancer_dx_prostate (%)";"0";"46457 ( 85.6) ";"46231 ( 85.2) ";" 0.053";""
"";"1";" 7810 ( 14.4) ";" 8036 ( 14.8) ";"";""
"cancer_dx_colorectal (%)";"0";"46580 ( 85.8) ";"46561 ( 85.8) ";" 0.876";""
"";"1";" 7687 ( 14.2) ";" 7706 ( 14.2) ";"";""
"cancer_dx_lung (%)";"0";"51550 ( 95.0) ";"51758 ( 95.4) ";" 0.003";""
"";"1";" 2717 (  5.0) ";" 2509 (  4.6) ";"";""
"cancer_dx_head_neck (%)";"0";"52650 ( 97.0) ";"52728 ( 97.2) ";" 0.164";""
"";"1";" 1617 (  3.0) ";" 1539 (  2.8) ";"";""
"cancer_dx_endometrium (%)";"0";"52968 ( 97.6) ";"53085 ( 97.8) ";" 0.018";""
"";"1";" 1299 (  2.4) ";" 1182 (  2.2) ";"";""
"cancer_dx_cervix_uterus (%)";"0";"53197 ( 98.0) ";"53296 ( 98.2) ";" 0.029";""
"";"1";" 1070 (  2.0) ";"  971 (  1.8) ";"";""
"cancer_dx_bladder (%)";"0";"48613 ( 89.6) ";"48814 ( 90.0) ";" 0.045";""
"";"1";" 5654 ( 10.4) ";" 5453 ( 10.0) ";"";""
"cancer_dx_liver_biliary (%)";"0";"53459 ( 98.5) ";"53476 ( 98.5) ";" 0.687";""
"";"1";"  808 (  1.5) ";"  791 (  1.5) ";"";""
"cancer_dx_melanoma (%)";"0";"52283 ( 96.3) ";"52048 ( 95.9) ";"<0.001";""
"";"1";" 1984 (  3.7) ";" 2219 (  4.1) ";"";""
"cancer_dx_pancreas (%)";"0";"53613 ( 98.8) ";"53691 ( 98.9) ";" 0.027";""
"";"1";"  654 (  1.2) ";"  576 (  1.1) ";"";""
"cancer_dx_kidney (%)";"0";"52329 ( 96.4) ";"52203 ( 96.2) ";" 0.044";""
"";"1";" 1938 (  3.6) ";" 2064 (  3.8) ";"";""
"cancer_dx_gastric (%)";"0";"53407 ( 98.4) ";"53450 ( 98.5) ";" 0.301";""
"";"1";"  860 (  1.6) ";"  817 (  1.5) ";"";""
"cancer_dx_esophagus (%)";"0";"54048 ( 99.6) ";"54043 ( 99.6) ";" 0.849";""
"";"1";"  219 (  0.4) ";"  224 (  0.4) ";"";""
"cancer_dx_testis (%)";"0";"54070 ( 99.6) ";"54081 ( 99.7) ";" 0.609";""
"";"1";"  197 (  0.4) ";"  186 (  0.3) ";"";""
"cancer_dx_thyroid (%)";"0";"53415 ( 98.4) ";"53439 ( 98.5) ";" 0.572";""
"";"1";"  852 (  1.6) ";"  828 (  1.5) ";"";""
"cancer_dx_CNS (%)";"0";"53951 ( 99.4) ";"53966 ( 99.4) ";" 0.572";""
"";"1";"  316 (  0.6) ";"  301 (  0.6) ";"";""
"cancer_dx_neuroendocrine (%)";"0";"54022 ( 99.5) ";"54037 ( 99.6) ";" 0.520";""
"";"1";"  245 (  0.5) ";"  230 (  0.4) ";"";""
"cancer_dx_sarcomas (%)";"0";"53824 ( 99.2) ";"53806 ( 99.2) ";" 0.570";""
"";"1";"  443 (  0.8) ";"  461 (  0.8) ";"";""
"cancer_dx_leukemia (%)";"0";"53023 ( 97.7) ";"53008 ( 97.7) ";" 0.777";""
"";"1";" 1244 (  2.3) ";" 1259 (  2.3) ";"";""
"cancer_dx_myeloma (%)";"0";"53729 ( 99.0) ";"53805 ( 99.1) ";" 0.017";""
"";"1";"  538 (  1.0) ";"  462 (  0.9) ";"";""
"cancer_dx_lymphoma (%)";"0";"52723 ( 97.2) ";"52830 ( 97.4) ";" 0.049";""
"";"1";" 1544 (  2.8) ";" 1437 (  2.6) ";"";""
"cancer_dx_other (%)";"0";"53040 ( 97.7) ";"53033 ( 97.7) ";" 0.903";""
"";"1";" 1227 (  2.3) ";" 1234 (  2.3) ";"";""
"cancer_dx_other_2 (%)";"0";"50099 ( 92.3) ";"50145 ( 92.4) ";" 0.607";""
"";"1";" 4168 (  7.7) ";" 4122 (  7.6) ";"";""
"cancer_dx_undefined (%)";"0";"48807 ( 89.9) ";"48665 ( 89.7) ";" 0.157";""
"";"1";" 5460 ( 10.1) ";" 5602 ( 10.3) ";"";""
"cancer_group_gastro_intestinal (%)";"0";"44050 ( 81.2) ";"44174 ( 81.4) ";" 0.338";""
"";"1";"10217 ( 18.8) ";"10093 ( 18.6) ";"";""
"cancer_group_genito_urinary (%)";"0";"39233 ( 72.3) ";"39108 ( 72.1) ";" 0.401";""
"";"1";"15034 ( 27.7) ";"15159 ( 27.9) ";"";""
"cancer_group_thyroid (%)";"0";"53415 ( 98.4) ";"53439 ( 98.5) ";" 0.572";""
"";"1";"  852 (  1.6) ";"  828 (  1.5) ";"";""
"cancer_group_breast (%)";"0";"45356 ( 83.6) ";"45130 ( 83.2) ";" 0.067";""
"";"1";" 8911 ( 16.4) ";" 9137 ( 16.8) ";"";""
"cancer_group_sarcomas (%)";"0";"53755 ( 99.1) ";"53721 ( 99.0) ";" 0.308";""
"";"1";"  512 (  0.9) ";"  546 (  1.0) ";"";""
"cancer_group_thorax (%)";"0";"51468 ( 94.8) ";"51660 ( 95.2) ";" 0.008";""
"";"1";" 2799 (  5.2) ";" 2607 (  4.8) ";"";""
"cancer_group_gynecology (%)";"0";"51600 ( 95.1) ";"51772 ( 95.4) ";" 0.015";""
"";"1";" 2667 (  4.9) ";" 2495 (  4.6) ";"";""
"cancer_group_head_neck (%)";"0";"52650 ( 97.0) ";"52728 ( 97.2) ";" 0.164";""
"";"1";" 1617 (  3.0) ";" 1539 (  2.8) ";"";""
"cancer_group_hemathological (%)";"0";"50957 ( 93.9) ";"51161 ( 94.3) ";" 0.009";""
"";"1";" 3310 (  6.1) ";" 3106 (  5.7) ";"";""
"cancer_group_skin (%)";"0";"48390 ( 89.2) ";"47972 ( 88.4) ";"<0.001";""
"";"1";" 5877 ( 10.8) ";" 6295 ( 11.6) ";"";""
"cancer_group_CNS (%)";"0";"53814 ( 99.2) ";"53831 ( 99.2) ";" 0.590";""
"";"1";"  453 (  0.8) ";"  436 (  0.8) ";"";""
"cancer_group_undefined (%)";"0";"53130 ( 97.9) ";"53223 ( 98.1) ";" 0.047";""
"";"1";" 1137 (  2.1) ";" 1044 (  1.9) ";"";""
"cancer_group_nasopharynx (%)";"0";"54246 (100.0) ";"54238 ( 99.9) ";" 0.322";""
"";"1";"   21 (  0.0) ";"   29 (  0.1) ";"";""
"cancer_group_neuroendocrine (%)";"0";"54022 ( 99.5) ";"54037 ( 99.6) ";" 0.520";""
"";"1";"  245 (  0.5) ";"  230 (  0.4) ";"";""
"cancer_group_other (%)";"0";"53925 ( 99.4) ";"53905 ( 99.3) ";" 0.472";""
"";"1";"  342 (  0.6) ";"  362 (  0.7) ";"";""
"cancer_group_other_2 (%)";"0";"50099 ( 92.3) ";"50145 ( 92.4) ";" 0.607";""
"";"1";" 4168 (  7.7) ";" 4122 (  7.6) ";"";""
"charlson_index (median [IQR])";"";" 3.00 [2.00, 5.00]";" 3.00 [2.00, 5.00]";" 0.014";"nonnorm"
"CCI_Rheumatologic_Disease (%)";"0";"52634 ( 97.0) ";"52499 ( 96.7) ";" 0.020";""
"";"1";" 1633 (  3.0) ";" 1768 (  3.3) ";"";""
"CCI_Any_Malignancy (%)";"1";"54267 (100.0) ";"54267 (100.0) ";"    NA";""
"CCI_Metastatic_Solid_Tumor (%)";"0";"47868 ( 88.2) ";"48315 ( 89.0) ";"<0.001";""
"";"1";" 6399 ( 11.8) ";" 5952 ( 11.0) ";"";""
"CCI_Diabetes_Mild (%)";"0";"40899 ( 75.4) ";"40972 ( 75.5) ";" 0.612";""
"";"1";"13368 ( 24.6) ";"13295 ( 24.5) ";"";""
"CCI_Mild_Liver_Disease (%)";"0";"52673 ( 97.1) ";"52779 ( 97.3) ";" 0.055";""
"";"1";" 1594 (  2.9) ";" 1488 (  2.7) ";"";""
"CCI_Peptic_Ulcer_Disease (%)";"0";"51168 ( 94.3) ";"50999 ( 94.0) ";" 0.030";""
"";"1";" 3099 (  5.7) ";" 3268 (  6.0) ";"";""
"CCI_Chronic_Pulmonary_Disease (%)";"0";"44075 ( 81.2) ";"44130 ( 81.3) ";" 0.674";""
"";"1";"10192 ( 18.8) ";"10137 ( 18.7) ";"";""
"CCI_Renal_Disease (%)";"0";"44243 ( 81.5) ";"44270 ( 81.6) ";" 0.839";""
"";"1";"10024 ( 18.5) ";" 9997 ( 18.4) ";"";""
"CCI_Cerebrovascular_Disease (%)";"0";"50314 ( 92.7) ";"50378 ( 92.8) ";" 0.460";""
"";"1";" 3953 (  7.3) ";" 3889 (  7.2) ";"";""
"CCI_Diabetes_With_Complications (%)";"0";"50548 ( 93.1) ";"50656 ( 93.3) ";" 0.196";""
"";"1";" 3719 (  6.9) ";" 3611 (  6.7) ";"";""
"CCI_Congestive_Heart_Failure (%)";"0";"49589 ( 91.4) ";"49701 ( 91.6) ";" 0.227";""
"";"1";" 4678 (  8.6) ";" 4566 (  8.4) ";"";""
"CCI_Dementia (%)";"0";"52629 ( 97.0) ";"52695 ( 97.1) ";" 0.244";""
"";"1";" 1638 (  3.0) ";" 1572 (  2.9) ";"";""
"CCI_Peripheral_Artery_Disease (%)";"0";"51149 ( 94.3) ";"51169 ( 94.3) ";" 0.804";""
"";"1";" 3118 (  5.7) ";" 3098 (  5.7) ";"";""
"CCI_Myocardial_Infarction (%)";"0";"51572 ( 95.0) ";"51594 ( 95.1) ";" 0.769";""
"";"1";" 2695 (  5.0) ";" 2673 (  4.9) ";"";""
"CCI_Moderate_Severe_Liver_Disease (%)";"0";"53558 ( 98.7) ";"53614 ( 98.8) ";" 0.134";""
"";"1";"  709 (  1.3) ";"  653 (  1.2) ";"";""
"CCI_Hemiplegia_Paraplegia (%)";"0";"53536 ( 98.7) ";"53532 ( 98.6) ";" 0.937";""
"";"1";"  731 (  1.3) ";"  735 (  1.4) ";"";""
"CCI_AIDS (%)";"0";"54073 ( 99.6) ";"54068 ( 99.6) ";" 0.840";""
"";"1";"  194 (  0.4) ";"  199 (  0.4) ";"";""
"n_visits_outpatient (mean (SD))";"";" 7.22 (8.36)";" 7.43 (8.62)";"<0.001";""
"n_visits_telehealth (mean (SD))";"";" 7.62 (8.25)";" 7.89 (8.46)";"<0.001";""
"visits_outpatient_cat (%)";"0";" 4982 (  9.2) ";" 4380 (  8.1) ";"<0.001";""
"";"1";" 5208 (  9.6) ";" 5137 (  9.5) ";"";""
"";"2";" 5157 (  9.5) ";" 5025 (  9.3) ";"";""
"";"3+";"38920 ( 71.7) ";"39725 ( 73.2) ";"";""
