"0";"1";"p";"test";"SMD"
"   Baix Empordà";"  155 (  0.4) ";"  151 (  0.4) ";"";"";""
"   Baix Llobregat Centre i Fontsanta -L'H N";" 2849 (  7.0) ";" 2871 (  7.0) ";"";"";""
"   Baix Llobregat Litoral i Sant Boi";"  861 (  2.1) ";"  900 (  2.2) ";"";"";""
"   Baix Llobregat Litoral i Viladecans";" 1202 (  3.0) ";" 1197 (  2.9) ";"";"";""
"   Baix Llobregat Nord";"  821 (  2.0) ";"  820 (  2.0) ";"";"";""
"   Baix Montseny";"  304 (  0.7) ";"  295 (  0.7) ";"";"";""
"   Baix Penedès";"    1 (  0.0) ";"    1 (  0.0) ";"";"";""
"   Baix Vallès";" 1327 (  3.3) ";" 1331 (  3.2) ";"";"";""
"   Barcelona Dreta";" 1903 (  4.7) ";" 1908 (  4.7) ";"";"";""
"   Barcelona Esquerra";" 3024 (  7.4) ";" 2975 (  7.3) ";"";"";""
"   Barcelona Litoral Mar";" 1539 (  3.8) ";" 1558 (  3.8) ";"";"";""
"   Barcelona Nord";" 2901 (  7.1) ";" 2952 (  7.2) ";"";"";""
"   Barcelonès Nord i Baix Maresme";" 2301 (  5.7) ";" 2350 (  5.7) ";"";"";""
"   Berguedà";"  232 (  0.6) ";"  243 (  0.6) ";"";"";""
"   Garraf";"  894 (  2.2) ";"  907 (  2.2) ";"";"";""
"   Garrotxa";"  206 (  0.5) ";"  215 (  0.5) ";"";"";""
"   Gironès Nord i Pla de l'Estany";"  986 (  2.4) ";" 1012 (  2.5) ";"";"";""
"   Gironès Sud i Selva Interior";"  501 (  1.2) ";"  502 (  1.2) ";"";"";""
"   L'Hospitalet Sud i el Prat de Llobregat";" 1800 (  4.4) ";" 1807 (  4.4) ";"";"";""
"   Lleida";" 2537 (  6.2) ";" 2584 (  6.3) ";"";"";""
"   Maresme Central";" 1434 (  3.5) ";" 1391 (  3.4) ";"";"";""
"   Montsià";"  396 (  1.0) ";"  426 (  1.0) ";"";"";""
"   Osona";"  681 (  1.7) ";"  693 (  1.7) ";"";"";""
"   Pallars";"   86 (  0.2) ";"   88 (  0.2) ";"";"";""
"   Ripollès";"   70 (  0.2) ";"   78 (  0.2) ";"";"";""
"   Selva Marítima";"  205 (  0.5) ";"  204 (  0.5) ";"";"";""
"   Tarragonès";" 1107 (  2.7) ";" 1111 (  2.7) ";"";"";""
"   Vallès Occidental Est";" 3044 (  7.5) ";" 3047 (  7.4) ";"";"";""
"   Vallès Occidental Oest";"  162 (  0.4) ";"  153 (  0.4) ";"";"";""
"   Vallès Oriental Central";" 1621 (  4.0) ";" 1679 (  4.1) ";"";"";""
"   NA";"    2 (  0.0) ";"    2 (  0.0) ";"";"";""
"vac_concept_id_1 (%)";"";"";"   NaN";"";" 0.002"
"   Pfizer-mRNA-BNT162b";"26776 ( 65.9) ";"27073 ( 66.0) ";"";"";""
"   Moderna-mRNA-1273";" 4217 ( 10.4) ";" 4249 ( 10.4) ";"";"";""
"   AZ-ChAdOx1";" 9617 ( 23.7) ";" 9688 ( 23.6) ";"";"";""
"   Jansen-Ad26";"    0 (  0.0) ";"    0 (  0.0) ";"";"";""
"vac_concept_id_2 (%)";"";"";"   NaN";"";" 0.002"
"   Pfizer-mRNA-BNT162b";"26776 ( 65.9) ";"27073 ( 66.0) ";"";"";""
"   Moderna-mRNA-1273";" 4217 ( 10.4) ";" 4249 ( 10.4) ";"";"";""
"   AZ-ChAdOx1";" 9617 ( 23.7) ";" 9688 ( 23.6) ";"";"";""
"   Jansen-Ad26";"    0 (  0.0) ";"    0 (  0.0) ";"";"";""
"vac_concept_id_3 (%)";"";"";"   NaN";"";" 0.770"
"   Pfizer-mRNA-BNT162b";" 4655 ( 11.5) ";"10258 ( 25.0) ";"";"";""
"   Moderna-mRNA-1273";"27645 ( 68.1) ";"30749 ( 75.0) ";"";"";""
"   AZ-ChAdOx1";"    6 (  0.0) ";"    3 (  0.0) ";"";"";""
"   Jansen-Ad26";"    0 (  0.0) ";"    0 (  0.0) ";"";"";""
"   NA";" 8304 ( 20.4) ";"    0 (  0.0) ";"";"";""
"vac_scheme (%)";"";"";" 0.971";"";" 0.002"
"   AZ-ChAdOx1-AZ-ChAdOx1";" 9617 ( 23.7) ";" 9688 ( 23.6) ";"";"";""
"   Moderna-mRNA-1273-Moderna-mRNA-1273";" 4217 ( 10.4) ";" 4249 ( 10.4) ";"";"";""
"   Pfizer-mRNA-BNT162b-Pfizer-mRNA-BNT162b";"26776 ( 65.9) ";"27073 ( 66.0) ";"";"";""
"cancer_diagnosis_time (%)";"";"";" 0.949";"";" 0.006"
"   0";"10334 ( 25.4) ";"10431 ( 25.4) ";"";"";""
"   1";" 8421 ( 20.7) ";" 8465 ( 20.6) ";"";"";""
"   2";" 7671 ( 18.9) ";" 7726 ( 18.8) ";"";"";""
"   3";" 7191 ( 17.7) ";" 7237 ( 17.6) ";"";"";""
"   4";" 6993 ( 17.2) ";" 7151 ( 17.4) ";"";"";""
"cancer_dx_breast = 1 (%)";" 6729 ( 16.6) ";" 6902 ( 16.8) ";" 0.324";"";" 0.007"
"cancer_dx_prostate = 1 (%)";" 5580 ( 13.7) ";" 5850 ( 14.3) ";" 0.032";"";" 0.015"
"cancer_dx_colorectal = 1 (%)";" 5994 ( 14.8) ";" 6165 ( 15.0) ";" 0.278";"";" 0.008"
"cancer_dx_lung = 1 (%)";" 2275 (  5.6) ";" 2115 (  5.2) ";" 0.005";"";" 0.020"
"cancer_dx_head_neck = 1 (%)";" 1249 (  3.1) ";" 1212 (  3.0) ";" 0.325";"";" 0.007"
"cancer_dx_endometrium = 1 (%)";"  952 (  2.3) ";"  880 (  2.1) ";" 0.059";"";" 0.013"
"cancer_dx_cervix_uterus = 1 (%)";"  767 (  1.9) ";"  719 (  1.8) ";" 0.155";"";" 0.010"
"cancer_dx_bladder = 1 (%)";" 4637 ( 11.4) ";" 4442 ( 10.8) ";" 0.008";"";" 0.019"
"cancer_dx_liver_biliary = 1 (%)";"  674 (  1.7) ";"  670 (  1.6) ";" 0.792";"";" 0.002"
"cancer_dx_melanoma = 1 (%)";" 1436 (  3.5) ";" 1662 (  4.1) ";"<0.001";"";" 0.027"
"cancer_dx_pancreas = 1 (%)";"  554 (  1.4) ";"  476 (  1.2) ";" 0.010";"";" 0.018"
"cancer_dx_kidney = 1 (%)";" 1525 (  3.8) ";" 1581 (  3.9) ";" 0.467";"";" 0.005"
"cancer_dx_gastric = 1 (%)";"  676 (  1.7) ";"  654 (  1.6) ";" 0.447";"";" 0.006"
"cancer_dx_esophagus = 1 (%)";"  197 (  0.5) ";"  199 (  0.5) ";" 1.000";"";"<0.001"
"cancer_dx_testis = 1 (%)";"  129 (  0.3) ";"  138 (  0.3) ";" 0.682";"";" 0.003"
"cancer_dx_thyroid = 1 (%)";"  655 (  1.6) ";"  657 (  1.6) ";" 0.924";"";" 0.001"
"cancer_dx_CNS = 1 (%)";"  252 (  0.6) ";"  233 (  0.6) ";" 0.353";"";" 0.007"
"cancer_dx_neuroendocrine = 1 (%)";"  198 (  0.5) ";"  195 (  0.5) ";" 0.843";"";" 0.002"
"cancer_dx_sarcomas = 1 (%)";"  351 (  0.9) ";"  358 (  0.9) ";" 0.924";"";" 0.001"
"cancer_dx_leukemia = 1 (%)";"  903 (  2.2) ";"  885 (  2.2) ";" 0.538";"";" 0.004"
"cancer_dx_myeloma = 1 (%)";"  425 (  1.0) ";"  365 (  0.9) ";" 0.025";"";" 0.016"
"cancer_dx_lymphoma = 1 (%)";" 1175 (  2.9) ";" 1103 (  2.7) ";" 0.081";"";" 0.012"
"cancer_dx_other = 1 (%)";"  946 (  2.3) ";"  979 (  2.4) ";" 0.603";"";" 0.004"
"cancer_dx_other_2 = 1 (%)";" 2940 (  7.2) ";" 2949 (  7.2) ";" 0.799";"";" 0.002"
"cancer_dx_undefined = 1 (%)";" 3878 (  9.5) ";" 3990 (  9.7) ";" 0.390";"";" 0.006"
"cancer_group_gastro_intestinal = 1 (%)";" 8061 ( 19.8) ";" 8120 ( 19.8) ";" 0.865";"";" 0.001"
"cancer_group_genito_urinary = 1 (%)";"11363 ( 28.0) ";"11506 ( 28.1) ";" 0.816";"";" 0.002"
"cancer_group_thyroid = 1 (%)";"  655 (  1.6) ";"  657 (  1.6) ";" 0.924";"";" 0.001"
"cancer_group_breast = 1 (%)";" 6729 ( 16.6) ";" 6902 ( 16.8) ";" 0.324";"";" 0.007"
"cancer_group_sarcomas = 1 (%)";"  407 (  1.0) ";"  428 (  1.0) ";" 0.580";"";" 0.004"
"cancer_group_thorax = 1 (%)";" 2338 (  5.8) ";" 2196 (  5.4) ";" 0.013";"";" 0.018"
"cancer_group_gynecology = 1 (%)";" 1983 (  4.9) ";" 1866 (  4.6) ";" 0.026";"";" 0.016"
"cancer_group_head_neck = 1 (%)";" 1249 (  3.1) ";" 1212 (  3.0) ";" 0.325";"";" 0.007"
"cancer_group_hemathological = 1 (%)";" 2484 (  6.1) ";" 2303 (  5.6) ";" 0.002";"";" 0.021"
"cancer_group_skin = 1 (%)";" 4050 ( 10.0) ";" 4433 ( 10.8) ";"<0.001";"";" 0.027"
"cancer_group_CNS = 1 (%)";"  351 (  0.9) ";"  339 (  0.8) ";" 0.582";"";" 0.004"
"cancer_group_undefined = 1 (%)";"  925 (  2.3) ";"  825 (  2.0) ";" 0.009";"";" 0.018"
"cancer_group_nasopharynx = 1 (%)";"   18 (  0.0) ";"   23 (  0.1) ";" 0.553";"";" 0.005"
"cancer_group_neuroendocrine = 1 (%)";"  198 (  0.5) ";"  195 (  0.5) ";" 0.843";"";" 0.002"
"cancer_group_other = 1 (%)";"  264 (  0.7) ";"  298 (  0.7) ";" 0.200";"";" 0.009"
"cancer_group_other_2 = 1 (%)";" 2940 (  7.2) ";" 2949 (  7.2) ";" 0.799";"";" 0.002"
"charlson_index (median [IQR])";" 3.00 [2.00, 6.00]";" 3.00 [2.00, 5.00]";"<0.001";"nonnorm";" 0.031"
"CCI_Rheumatologic_Disease = 1 (%)";" 1285 (  3.2) ";" 1396 (  3.4) ";" 0.057";"";" 0.013"
"CCI_Any_Malignancy = 1 (%)";"40610 (100.0) ";"41010 (100.0) ";"    NA";"";"<0.001"
"CCI_Metastatic_Solid_Tumor = 1 (%)";" 5299 ( 13.0) ";" 4960 ( 12.1) ";"<0.001";"";" 0.029"
"CCI_Diabetes_Mild = 1 (%)";"10368 ( 25.5) ";"10298 ( 25.1) ";" 0.170";"";" 0.010"
"CCI_Mild_Liver_Disease = 1 (%)";" 1340 (  3.3) ";" 1238 (  3.0) ";" 0.023";"";" 0.016"
"CCI_Peptic_Ulcer_Disease = 1 (%)";" 2468 (  6.1) ";" 2627 (  6.4) ";" 0.054";"";" 0.014"
"CCI_Chronic_Pulmonary_Disease = 1 (%)";" 8396 ( 20.7) ";" 8320 ( 20.3) ";" 0.173";"";" 0.010"
"CCI_Renal_Disease = 1 (%)";" 7920 ( 19.5) ";" 7896 ( 19.3) ";" 0.373";"";" 0.006"
"CCI_Cerebrovascular_Disease = 1 (%)";" 3161 (  7.8) ";" 3104 (  7.6) ";" 0.254";"";" 0.008"
"CCI_Diabetes_With_Complications = 1 (%)";" 3125 (  7.7) ";" 2989 (  7.3) ";" 0.028";"";" 0.015"
"CCI_Congestive_Heart_Failure = 1 (%)";" 3998 (  9.8) ";" 3890 (  9.5) ";" 0.084";"";" 0.012"
"CCI_Dementia = 1 (%)";" 1268 (  3.1) ";" 1197 (  2.9) ";" 0.093";"";" 0.012"
"CCI_Peripheral_Artery_Disease = 1 (%)";" 2563 (  6.3) ";" 2546 (  6.2) ";" 0.553";"";" 0.004"
"CCI_Myocardial_Infarction = 1 (%)";" 2230 (  5.5) ";" 2247 (  5.5) ";" 0.952";"";" 0.001"
"CCI_Moderate_Severe_Liver_Disease = 1 (%)";"  633 (  1.6) ";"  569 (  1.4) ";" 0.045";"";" 0.014"
"CCI_Hemiplegia_Paraplegia = 1 (%)";"  598 (  1.5) ";"  600 (  1.5) ";" 0.933";"";" 0.001"
"CCI_AIDS = 1 (%)";"  156 (  0.4) ";"  163 (  0.4) ";" 0.803";"";" 0.002"
"n_visits_outpatient (mean (SD))";" 7.89 (8.83)";" 8.06 (9.10)";" 0.006";"";" 0.019"
"n_visits_telehealth (mean (SD))";" 8.40 (8.68)";" 8.66 (8.92)";"<0.001";"";" 0.029"
"visits_outpatient_cat (%)";"";"";"<0.001";"";" 0.038"
"   0";" 3046 (  7.5) ";" 2698 (  6.6) ";"";"";""
"   1";" 3348 (  8.2) ";" 3375 (  8.2) ";"";"";""
"   2";" 3567 (  8.8) ";" 3511 (  8.6) ";"";"";""
"   3+";"30649 ( 75.5) ";"31426 ( 76.6) ";"";"";""
