"level";"0";"1";"p";"test"
"cancer_dx_cervix_uterus (%)";"0";"39843 ( 98.1) ";"40291 ( 98.2) ";" 0.155";""
"";"1";"  767 (  1.9) ";"  719 (  1.8) ";"";""
"cancer_dx_bladder (%)";"0";"35973 ( 88.6) ";"36568 ( 89.2) ";" 0.008";""
"";"1";" 4637 ( 11.4) ";" 4442 ( 10.8) ";"";""
"cancer_dx_liver_biliary (%)";"0";"39936 ( 98.3) ";"40340 ( 98.4) ";" 0.792";""
"";"1";"  674 (  1.7) ";"  670 (  1.6) ";"";""
"cancer_dx_melanoma (%)";"0";"39174 ( 96.5) ";"39348 ( 95.9) ";"<0.001";""
"";"1";" 1436 (  3.5) ";" 1662 (  4.1) ";"";""
"cancer_dx_pancreas (%)";"0";"40056 ( 98.6) ";"40534 ( 98.8) ";" 0.010";""
"";"1";"  554 (  1.4) ";"  476 (  1.2) ";"";""
"cancer_dx_kidney (%)";"0";"39085 ( 96.2) ";"39429 ( 96.1) ";" 0.467";""
"";"1";" 1525 (  3.8) ";" 1581 (  3.9) ";"";""
"cancer_dx_gastric (%)";"0";"39934 ( 98.3) ";"40356 ( 98.4) ";" 0.447";""
"";"1";"  676 (  1.7) ";"  654 (  1.6) ";"";""
"cancer_dx_esophagus (%)";"0";"40413 ( 99.5) ";"40811 ( 99.5) ";" 1.000";""
"";"1";"  197 (  0.5) ";"  199 (  0.5) ";"";""
"cancer_dx_testis (%)";"0";"40481 ( 99.7) ";"40872 ( 99.7) ";" 0.682";""
"";"1";"  129 (  0.3) ";"  138 (  0.3) ";"";""
"cancer_dx_thyroid (%)";"0";"39955 ( 98.4) ";"40353 ( 98.4) ";" 0.924";""
"";"1";"  655 (  1.6) ";"  657 (  1.6) ";"";""
"cancer_dx_CNS (%)";"0";"40358 ( 99.4) ";"40777 ( 99.4) ";" 0.353";""
"";"1";"  252 (  0.6) ";"  233 (  0.6) ";"";""
"cancer_dx_neuroendocrine (%)";"0";"40412 ( 99.5) ";"40815 ( 99.5) ";" 0.843";""
"";"1";"  198 (  0.5) ";"  195 (  0.5) ";"";""
"cancer_dx_sarcomas (%)";"0";"40259 ( 99.1) ";"40652 ( 99.1) ";" 0.924";""
"";"1";"  351 (  0.9) ";"  358 (  0.9) ";"";""
"cancer_dx_leukemia (%)";"0";"39707 ( 97.8) ";"40125 ( 97.8) ";" 0.538";""
"";"1";"  903 (  2.2) ";"  885 (  2.2) ";"";""
"cancer_dx_myeloma (%)";"0";"40185 ( 99.0) ";"40645 ( 99.1) ";" 0.025";""
"";"1";"  425 (  1.0) ";"  365 (  0.9) ";"";""
"cancer_dx_lymphoma (%)";"0";"39435 ( 97.1) ";"39907 ( 97.3) ";" 0.081";""
"";"1";" 1175 (  2.9) ";" 1103 (  2.7) ";"";""
"cancer_dx_other (%)";"0";"39664 ( 97.7) ";"40031 ( 97.6) ";" 0.603";""
"";"1";"  946 (  2.3) ";"  979 (  2.4) ";"";""
"cancer_dx_other_2 (%)";"0";"37670 ( 92.8) ";"38061 ( 92.8) ";" 0.799";""
"";"1";" 2940 (  7.2) ";" 2949 (  7.2) ";"";""
"cancer_dx_undefined (%)";"0";"36732 ( 90.5) ";"37020 ( 90.3) ";" 0.390";""
"";"1";" 3878 (  9.5) ";" 3990 (  9.7) ";"";""
"cancer_group_gastro_intestinal (%)";"0";"32549 ( 80.2) ";"32890 ( 80.2) ";" 0.865";""
"";"1";" 8061 ( 19.8) ";" 8120 ( 19.8) ";"";""
"cancer_group_genito_urinary (%)";"0";"29247 ( 72.0) ";"29504 ( 71.9) ";" 0.816";""
"";"1";"11363 ( 28.0) ";"11506 ( 28.1) ";"";""
"cancer_group_thyroid (%)";"0";"39955 ( 98.4) ";"40353 ( 98.4) ";" 0.924";""
"";"1";"  655 (  1.6) ";"  657 (  1.6) ";"";""
"cancer_group_breast (%)";"0";"33881 ( 83.4) ";"34108 ( 83.2) ";" 0.324";""
"";"1";" 6729 ( 16.6) ";" 6902 ( 16.8) ";"";""
"cancer_group_sarcomas (%)";"0";"40203 ( 99.0) ";"40582 ( 99.0) ";" 0.580";""
"";"1";"  407 (  1.0) ";"  428 (  1.0) ";"";""
"cancer_group_thorax (%)";"0";"38272 ( 94.2) ";"38814 ( 94.6) ";" 0.013";""
"";"1";" 2338 (  5.8) ";" 2196 (  5.4) ";"";""
"cancer_group_gynecology (%)";"0";"38627 ( 95.1) ";"39144 ( 95.4) ";" 0.026";""
"";"1";" 1983 (  4.9) ";" 1866 (  4.6) ";"";""
"cancer_group_head_neck (%)";"0";"39361 ( 96.9) ";"39798 ( 97.0) ";" 0.325";""
"";"1";" 1249 (  3.1) ";" 1212 (  3.0) ";"";""
"cancer_group_hemathological (%)";"0";"38126 ( 93.9) ";"38707 ( 94.4) ";" 0.002";""
"";"1";" 2484 (  6.1) ";" 2303 (  5.6) ";"";""
"cancer_group_skin (%)";"0";"36560 ( 90.0) ";"36577 ( 89.2) ";"<0.001";""
"";"1";" 4050 ( 10.0) ";" 4433 ( 10.8) ";"";""
"cancer_group_CNS (%)";"0";"40259 ( 99.1) ";"40671 ( 99.2) ";" 0.582";""
"";"1";"  351 (  0.9) ";"  339 (  0.8) ";"";""
"cancer_group_undefined (%)";"0";"39685 ( 97.7) ";"40185 ( 98.0) ";" 0.009";""
"";"1";"  925 (  2.3) ";"  825 (  2.0) ";"";""
"cancer_group_nasopharynx (%)";"0";"40592 (100.0) ";"40987 ( 99.9) ";" 0.553";""
"";"1";"   18 (  0.0) ";"   23 (  0.1) ";"";""
"cancer_group_neuroendocrine (%)";"0";"40412 ( 99.5) ";"40815 ( 99.5) ";" 0.843";""
"";"1";"  198 (  0.5) ";"  195 (  0.5) ";"";""
"cancer_group_other (%)";"0";"40346 ( 99.3) ";"40712 ( 99.3) ";" 0.200";""
"";"1";"  264 (  0.7) ";"  298 (  0.7) ";"";""
"cancer_group_other_2 (%)";"0";"37670 ( 92.8) ";"38061 ( 92.8) ";" 0.799";""
"";"1";" 2940 (  7.2) ";" 2949 (  7.2) ";"";""
"charlson_index (median [IQR])";"";" 3.00 [2.00, 6.00]";" 3.00 [2.00, 5.00]";"<0.001";"nonnorm"
"CCI_Rheumatologic_Disease (%)";"0";"39325 ( 96.8) ";"39614 ( 96.6) ";" 0.057";""
"";"1";" 1285 (  3.2) ";" 1396 (  3.4) ";"";""
"CCI_Any_Malignancy (%)";"1";"40610 (100.0) ";"41010 (100.0) ";"    NA";""
"CCI_Metastatic_Solid_Tumor (%)";"0";"35311 ( 87.0) ";"36050 ( 87.9) ";"<0.001";""
"";"1";" 5299 ( 13.0) ";" 4960 ( 12.1) ";"";""
"CCI_Diabetes_Mild (%)";"0";"30242 ( 74.5) ";"30712 ( 74.9) ";" 0.170";""
"";"1";"10368 ( 25.5) ";"10298 ( 25.1) ";"";""
"CCI_Mild_Liver_Disease (%)";"0";"39270 ( 96.7) ";"39772 ( 97.0) ";" 0.023";""
"";"1";" 1340 (  3.3) ";" 1238 (  3.0) ";"";""
"CCI_Peptic_Ulcer_Disease (%)";"0";"38142 ( 93.9) ";"38383 ( 93.6) ";" 0.054";""
"";"1";" 2468 (  6.1) ";" 2627 (  6.4) ";"";""
"CCI_Chronic_Pulmonary_Disease (%)";"0";"32214 ( 79.3) ";"32690 ( 79.7) ";" 0.173";""
"";"1";" 8396 ( 20.7) ";" 8320 ( 20.3) ";"";""
"CCI_Renal_Disease (%)";"0";"32690 ( 80.5) ";"33114 ( 80.7) ";" 0.373";""
"";"1";" 7920 ( 19.5) ";" 7896 ( 19.3) ";"";""
"CCI_Cerebrovascular_Disease (%)";"0";"37449 ( 92.2) ";"37906 ( 92.4) ";" 0.254";""
"";"1";" 3161 (  7.8) ";" 3104 (  7.6) ";"";""
"CCI_Diabetes_With_Complications (%)";"0";"37485 ( 92.3) ";"38021 ( 92.7) ";" 0.028";""
"";"1";" 3125 (  7.7) ";" 2989 (  7.3) ";"";""
"CCI_Congestive_Heart_Failure (%)";"0";"36612 ( 90.2) ";"37120 ( 90.5) ";" 0.084";""
"";"1";" 3998 (  9.8) ";" 3890 (  9.5) ";"";""
"CCI_Dementia (%)";"0";"39342 ( 96.9) ";"39813 ( 97.1) ";" 0.093";""
"";"1";" 1268 (  3.1) ";" 1197 (  2.9) ";"";""
"CCI_Peripheral_Artery_Disease (%)";"0";"38047 ( 93.7) ";"38464 ( 93.8) ";" 0.553";""
"";"1";" 2563 (  6.3) ";" 2546 (  6.2) ";"";""
"CCI_Myocardial_Infarction (%)";"0";"38380 ( 94.5) ";"38763 ( 94.5) ";" 0.952";""
"";"1";" 2230 (  5.5) ";" 2247 (  5.5) ";"";""
"CCI_Moderate_Severe_Liver_Disease (%)";"0";"39977 ( 98.4) ";"40441 ( 98.6) ";" 0.045";""
"";"1";"  633 (  1.6) ";"  569 (  1.4) ";"";""
"CCI_Hemiplegia_Paraplegia (%)";"0";"40012 ( 98.5) ";"40410 ( 98.5) ";" 0.933";""
"";"1";"  598 (  1.5) ";"  600 (  1.5) ";"";""
"CCI_AIDS (%)";"0";"40454 ( 99.6) ";"40847 ( 99.6) ";" 0.803";""
"";"1";"  156 (  0.4) ";"  163 (  0.4) ";"";""
"n_visits_outpatient (mean (SD))";"";" 7.89 (8.83)";" 8.06 (9.10)";" 0.006";""
"n_visits_telehealth (mean (SD))";"";" 8.40 (8.68)";" 8.66 (8.92)";"<0.001";""
"visits_outpatient_cat (%)";"0";" 3046 (  7.5) ";" 2698 (  6.6) ";"<0.001";""
"";"1";" 3348 (  8.2) ";" 3375 (  8.2) ";"";""
"";"2";" 3567 (  8.8) ";" 3511 (  8.6) ";"";""
"";"3+";"30649 ( 75.5) ";"31426 ( 76.6) ";"";""
